league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
BEL-First Division A,2324,Anderlecht,Alexis Flips,FRA,"FW,MF",23,2000,12,5,381,4.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,alexis flips||anderlecht||2324,BEL-First Division A,2324,Anderlecht,Alexis Flips,FRA,"FW,MF",23,2000,4.2,0,13,3,23.1,3.07,0.71,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL-First Division A,2324,Anderlecht,Alexis Flips,FRA,"FW,MF",23,2000,12,381,32,10.6,4.2,5,67,0,7,7,6,2.08,4,5,-1,-0.24,-1.05,BEL-First Division A,2324,Anderlecht,Alexis Flips,FRA,"FW,MF",23,2000,4.2,2,0,0,7,5,0,30,2,8,,,0,Belgium,2,3.2
BEL-First Division A,2324,Anderlecht,Amadou Diawara,GUI,MF,26,1997,11,6,594,6.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,amadou diawara||anderlecht||2324,BEL-First Division A,2324,Anderlecht,Amadou Diawara,GUI,MF,26,1997,6.6,0,4,0,0.0,0.61,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL-First Division A,2324,Anderlecht,Amadou Diawara,GUI,MF,26,1997,11,594,54,16.5,6.6,6,87,3,5,14,6,2.18,10,7,3,0.45,-0.29,BEL-First Division A,2324,Anderlecht,Amadou Diawara,GUI,MF,26,1997,6.6,1,0,0,9,9,0,0,11,9,,,0,Belgium,2,3.2
BEL-First Division A,2324,Anderlecht,Anders Dreyer,DEN,"FW,MF",25,1998,37,35,2972,33.0,19,9,28,16,3,3,2,1,0.58,0.27,0.85,0.48,0.76,anders dreyer||anderlecht||2324,BEL-First Division A,2324,Anderlecht,Anders Dreyer,DEN,"FW,MF",25,1998,33.0,19,95,43,45.3,2.88,1.3,0.17,0.37,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL-First Division A,2324,Anderlecht,Anders Dreyer,DEN,"FW,MF",25,1998,37,2972,80,82.6,33.0,35,84,22,2,8,0,1.89,60,35,25,0.76,0.33,BEL-First Division A,2324,Anderlecht,Anders Dreyer,DEN,"FW,MF",25,1998,33.0,2,1,0,9,25,17,109,11,12,,,0,Belgium,2,3.2
BEL-First Division A,2324,Anderlecht,Antoine Colassin,BEL,"FW,MF",22,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,antoine colassin||anderlecht||2324,BEL-First Division A,2324,Anderlecht,Antoine Colassin,BEL,"FW,MF",22,2001,0.1,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL-First Division A,2324,Anderlecht,Antoine Colassin,BEL,"FW,MF",22,2001,1,9,9,0.3,0.1,0,,0,1,9,3,3.0,0,0,0,0.0,-0.7,BEL-First Division A,2324,Anderlecht,Antoine Colassin,BEL,"FW,MF",22,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Belgium,2,3.2
BEL-First Division A,2324,Anderlecht,Benito Raman,BEL,FW,28,1994,10,3,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,benito raman||anderlecht||2324,BEL-First Division A,2324,Anderlecht,Benito Raman,BEL,FW,28,1994,3.1,0,18,4,22.2,5.89,1.31,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL-First Division A,2324,Anderlecht,Benito Raman,BEL,FW,28,1994,10,275,28,7.6,3.1,3,57,0,7,15,0,2.1,5,2,3,0.98,0.31,BEL-First Division A,2324,Anderlecht,Benito Raman,BEL,FW,28,1994,3.1,0,0,0,4,2,5,11,5,3,,,0,Belgium,2,3.2
BEL-First Division A,2324,Anderlecht,Colin Coosemans,BEL,GK,30,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,colin coosemans||anderlecht||2324,BEL-First Division A,2324,Anderlecht,Colin Coosemans,BEL,GK,30,1992,2.5,0,0,0,,0.0,0.0,,,0,0,BEL-First Division A,2324,Anderlecht,Colin Coosemans,BEL,GK,30,1992,3,2,225,2.5,4,1.6,11,7,63.6,0,1,1,1,50.0,0,0,0,0,,BEL-First Division A,2324,Anderlecht,Colin Coosemans,BEL,GK,30,1992,3,225,75,6.3,2.5,2,90,2,1,45,24,1.33,3,4,-1,-0.4,-1.17,BEL-First Division A,2324,Anderlecht,Colin Coosemans,BEL,GK,30,1992,2.5,0,0,0,0,0,0,0,0,0,,,0,Belgium,2,3.2
BEL-First Division A,2324,Anderlecht,Federico Gattoni,ARG,DF,24,1999,10,5,541,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,federico gattoni||anderlecht||2324,BEL-First Division A,2324,Anderlecht,Federico Gattoni,ARG,DF,24,1999,6.0,0,2,0,0.0,0.33,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL-First Division A,2324,Anderlecht,Federico Gattoni,ARG,DF,24,1999,10,541,54,15.0,6.0,5,90,4,5,18,8,1.9,6,5,1,0.17,-0.63,BEL-First Division A,2324,Anderlecht,Federico Gattoni,ARG,DF,24,1999,6.0,0,0,0,9,5,0,0,7,4,,,0,Belgium,2,3.2
BEL-First Division A,2324,Anderlecht,Francis Amuzu,BEL,FW,23,1999,21,7,950,10.6,4,0,4,4,0,0,2,0,0.38,0.0,0.38,0.38,0.38,francis amuzu||anderlecht||2324,BEL-First Division A,2324,Anderlecht,Francis Amuzu,BEL,FW,23,1999,10.6,4,31,8,25.8,2.94,0.76,0.13,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL-First Division A,2324,Anderlecht,Francis Amuzu,BEL,FW,23,1999,21,950,45,26.4,10.6,7,77,2,14,29,1,1.71,14,13,1,0.09,-0.82,BEL-First Division A,2324,Anderlecht,Francis Amuzu,BEL,FW,23,1999,10.6,2,0,0,8,32,7,42,3,7,,,0,Belgium,2,3.2
BEL-First Division A,2324,Anderlecht,Hannes Delcroix,HAI,DF,24,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,hannes delcroix||anderlecht||2324,BEL-First Division A,2324,Anderlecht,Hannes Delcroix,HAI,DF,24,1999,0.1,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL-First Division A,2324,Anderlecht,Hannes Delcroix,HAI,DF,24,1999,1,7,7,0.2,0.1,0,,0,1,7,1,3.0,0,0,0,0.0,-0.7,BEL-First Division A,2324,Anderlecht,Hannes Delcroix,HAI,DF,24,1999,0.1,0,0,0,1,0,0,0,1,1,,,0,Belgium,2,3.2
BEL-First Division A,2324,Anderlecht,Jan Vertonghen,BEL,DF,36,1987,34,34,2997,33.3,3,1,4,3,0,0,4,0,0.09,0.03,0.12,0.09,0.12,jan vertonghen||anderlecht||2324,BEL-First Division A,2324,Anderlecht,Jan Vertonghen,BEL,DF,36,1987,33.3,3,17,9,52.9,0.51,0.27,0.18,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL-First Division A,2324,Anderlecht,Jan Vertonghen,BEL,DF,36,1987,34,2997,88,83.3,33.3,34,88,32,0,,0,1.91,62,36,26,0.78,0.48,BEL-First Division A,2324,Anderlecht,Jan Vertonghen,BEL,DF,36,1987,33.3,4,0,0,16,37,0,7,29,15,,,0,Belgium,2,3.2
