league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,32,13,1405,15.6,3,2,5,3,0,0,1,1,0.19,0.13,0.32,0.19,0.32,arne engels||augsburg||2324,GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,15.6,3,20,7,35.0,1.28,0.45,0.15,0.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,32,1405,44,45.9,15.6,13,74,2,19,23,0,1.22,25,21,4,0.26,1.02,GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,15.6,1,1,0,24,15,1,82,14,21,,,0,Germany,1,4.7
GER-Bundesliga,2324,Augsburg,Arne Maier,GER,"MF,FW",24,1999,22,10,1003,11.1,2,4,6,2,0,0,0,0,0.18,0.36,0.54,0.18,0.54,arne maier||augsburg||2324,GER-Bundesliga,2324,Augsburg,Arne Maier,GER,"MF,FW",24,1999,11.1,2,22,5,22.7,1.97,0.45,0.09,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER-Bundesliga,2324,Augsburg,Arne Maier,GER,"MF,FW",24,1999,22,1003,46,32.8,11.1,10,77,3,12,19,5,1.0,20,19,1,0.09,0.57,GER-Bundesliga,2324,Augsburg,Arne Maier,GER,"MF,FW",24,1999,11.1,0,0,0,4,4,0,83,6,9,,,0,Germany,1,4.7
GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,26,3,581,6.5,2,0,2,2,0,0,2,0,0.31,0.0,0.31,0.31,0.31,dion drena beljo||augsburg||2324,GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,6.5,2,19,9,47.4,2.94,1.39,0.11,0.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,26,581,22,19.0,6.5,3,74,1,23,16,5,1.12,10,14,-4,-0.62,-0.4,GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,6.5,2,0,0,9,7,6,3,1,0,,,0,Germany,1,4.7
GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,25,24,1985,22.1,2,0,2,1,1,1,4,0,0.09,0.0,0.09,0.05,0.05,elvis rexhbeçaj||augsburg||2324,GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,22.1,2,28,4,14.3,1.27,0.18,0.04,0.25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,25,1985,79,64.9,22.1,24,81,14,1,31,1,1.2,29,40,-11,-0.5,-0.58,GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,22.1,4,0,0,20,42,2,22,20,21,,,0,Germany,1,4.7
GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,33,33,2873,31.9,15,9,24,12,3,4,7,0,0.47,0.28,0.75,0.38,0.66,ermedin demirović||augsburg||2324,GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,31.9,15,82,36,43.9,2.57,1.13,0.15,0.33,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,33,2873,87,93.9,31.9,33,87,23,0,,0,1.15,47,56,-9,-0.28,0.2,GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,31.9,7,0,0,60,35,16,10,11,14,,,0,Germany,1,4.7
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31,31,2790,31.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,finn dahmen||augsburg||2324,GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31.0,0,0,0,,0.0,0.0,,,0,0,GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31,31,2790,31.0,52,1.68,151,108,70.2,10,9,12,3,9.7,10,7,2,1,22.2,GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31,2790,90,91.2,31.0,31,90,31,0,,0,1.26,48,52,-4,-0.13,1.87,GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31.0,4,0,0,2,4,0,0,0,0,,,1,Germany,1,4.7
GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,MF,25,1997,22,18,1338,14.9,2,4,6,2,0,0,1,0,0.13,0.27,0.4,0.13,0.4,fredrik jensen||augsburg||2324,GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,MF,25,1997,14.9,2,14,5,35.7,0.94,0.34,0.14,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,MF,25,1997,22,1338,61,43.7,14.9,18,70,0,4,19,2,1.45,26,22,4,0.27,1.0,GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,MF,25,1997,14.9,1,0,0,14,2,5,91,13,13,,,0,Germany,1,4.7
GER-Bundesliga,2324,Augsburg,Iago,BRA,"DF,MF",26,1997,23,18,1622,18.0,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,iago||augsburg||2324,GER-Bundesliga,2324,Augsburg,Iago,BRA,"DF,MF",26,1997,18.0,1,18,7,38.9,1.0,0.39,0.06,0.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER-Bundesliga,2324,Augsburg,Iago,BRA,"DF,MF",26,1997,23,1622,71,53.0,18.0,18,82,12,5,29,0,1.43,29,20,9,0.5,1.69,GER-Bundesliga,2324,Augsburg,Iago,BRA,"DF,MF",26,1997,18.0,4,0,0,15,23,4,45,17,17,,,0,Germany,1,4.7
GER-Bundesliga,2324,Augsburg,Irvin Cardona,MLT,"FW,MF",25,1997,3,0,54,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,irvin cardona||augsburg||2324,GER-Bundesliga,2324,Augsburg,Irvin Cardona,MLT,"FW,MF",25,1997,0.6,0,3,0,0.0,5.0,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER-Bundesliga,2324,Augsburg,Irvin Cardona,MLT,"FW,MF",25,1997,3,54,18,1.8,0.6,0,,0,3,18,1,0.33,2,1,1,1.67,2.0,GER-Bundesliga,2324,Augsburg,Irvin Cardona,MLT,"FW,MF",25,1997,0.6,1,0,0,1,0,0,5,0,1,,,0,Germany,1,4.7
GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,30,29,2593,28.8,1,0,1,1,0,0,7,0,0.03,0.0,0.03,0.03,0.03,jeffrey gouweleeuw||augsburg||2324,GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,28.8,1,23,3,13.0,0.8,0.1,0.04,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,30,2593,86,84.7,28.8,29,88,27,1,45,0,1.13,40,46,-6,-0.21,0.56,GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,28.8,7,0,0,26,9,4,16,34,24,,,0,Germany,1,4.7
