league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,aaron ramsdale||arsenal||2324,ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,0,0,0,,0.0,0.0,,,0,0,ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6,6,540,6.0,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,,ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6,540,90,15.8,6.0,6,90,6,0,,31,2.67,11,5,6,1.0,-0.75,ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,0,0,0,0,1,0,0,0,0,,,0,England,1,5.0
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,1997,37,35,2988,33.2,4,4,8,4,0,0,8,0,0.12,0.12,0.24,0.12,0.24,ben white||arsenal||2324,ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,1997,33.2,4,13,8,61.5,0.39,0.24,0.31,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,1997,37,2988,81,87.4,33.2,35,85,27,2,7,0,2.32,81,26,55,1.66,0.2,ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,1997,33.2,8,0,0,19,12,11,57,30,28,,,0,England,1,5.0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,0.49,0.28,0.77,0.31,0.59,bukayo saka||arsenal||2324,ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,16,107,37,34.6,3.3,1.14,0.09,0.27,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,35,2919,83,85.4,32.4,35,83,17,0,,0,2.29,78,27,51,1.57,-0.4,ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,4,0,0,41,69,8,181,16,37,,,0,England,1,5.0
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,"DF,MF",31,1991,3,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,cédric soares||arsenal||2324,ENG-Premier League,2324,Arsenal,Cédric Soares,POR,"DF,MF",31,1991,0.7,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League,2324,Arsenal,Cédric Soares,POR,"DF,MF",31,1991,3,62,21,1.8,0.7,0,,0,3,21,15,3.0,1,0,1,1.45,-0.18,ENG-Premier League,2324,Arsenal,Cédric Soares,POR,"DF,MF",31,1991,0.7,0,0,0,0,1,0,4,0,0,,,0,England,1,5.0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,david raya||arsenal||2324,ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32.0,0,0,0,,0.0,0.0,,,0,0,ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32,32,2880,32.0,24,0.75,66,45,66.7,23,4,5,14,43.8,3,2,1,0,33.3,ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32,2880,90,84.2,32.0,32,90,32,0,,3,2.28,80,24,56,1.75,0.75,ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32.0,2,0,0,0,4,0,0,0,1,,,0,England,1,5.0
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,38,37,3225,35.8,7,8,15,7,0,0,5,0,0.2,0.22,0.42,0.2,0.42,declan rice||arsenal||2324,ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,38,3225,85,94.3,35.8,37,87,29,1,24,0,2.34,84,28,56,1.56,-1.21,ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,5,0,0,34,14,2,61,44,50,,,0,England,1,5.0
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,1999,27,10,1082,12.0,5,2,7,5,0,0,3,0,0.42,0.17,0.58,0.42,0.58,eddie nketiah||arsenal||2324,ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,5,38,12,31.6,3.16,1.0,0.13,0.42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,1999,27,1082,40,31.6,12.0,10,78,3,17,18,11,2.15,24,10,14,1.16,-0.68,ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,3,0,0,24,28,8,5,4,7,,,0,England,1,5.0
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,13,3,353,3.9,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,emile smith rowe||arsenal||2324,ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,0,15,7,46.7,3.82,1.78,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,13,353,27,10.3,3.9,3,76,0,10,13,18,2.23,12,3,9,2.29,0.74,ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,0,0,0,5,2,0,1,3,1,,,0,England,1,5.0
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,MF,16,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ethan nwaneri||arsenal||2324,ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,MF,16,2007,0.2,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,MF,16,2007,1,14,14,0.4,0.2,0,,0,1,14,1,3.0,0,0,0,0.0,-1.64,ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,MF,16,2007,0.2,0,0,0,1,1,0,0,0,0,,,0,England,1,5.0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23,2000,11,2,297,3.3,1,2,3,0,1,1,0,1,0.3,0.61,0.91,0.0,0.61,fabio vieira||arsenal||2324,ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23,2000,3.3,1,7,2,28.6,2.12,0.61,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23,2000,11,297,27,8.7,3.3,2,62,0,9,19,13,2.36,11,2,9,2.73,1.2,ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23,2000,3.3,0,1,0,8,10,2,15,2,2,,,0,England,1,5.0
