league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
NED-Eredivisie,2324,AZ Alkmaar,Alexandre Penetra,POR,DF,21,2001,25,19,1756,19.5,0,1,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05,alexandre penetra||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Alexandre Penetra,POR,DF,21,2001,19.5,0,13,1,7.7,0.67,0.05,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Alexandre Penetra,POR,DF,21,2001,25,1756,70,57.4,19.5,19,86,16,6,19,9,1.96,41,21,20,1.03,0.27,NED-Eredivisie,2324,AZ Alkmaar,Alexandre Penetra,POR,DF,21,2001,19.5,0,0,0,8,8,0,8,20,6,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Bruno Martins Indi,NED,DF,31,1992,14,7,759,8.4,1,2,3,1,0,0,3,0,0.12,0.24,0.36,0.12,0.36,bruno martins indi||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Bruno Martins Indi,NED,DF,31,1992,8.4,1,6,3,50.0,0.71,0.36,0.17,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Bruno Martins Indi,NED,DF,31,1992,14,759,54,24.8,8.4,7,83,5,7,25,3,1.43,10,13,-3,-0.36,-1.69,NED-Eredivisie,2324,AZ Alkmaar,Bruno Martins Indi,NED,DF,31,1992,8.4,3,0,0,7,4,0,7,8,4,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Dani de Wit,NED,MF,25,1998,32,29,2513,27.9,10,3,13,9,1,1,7,1,0.36,0.11,0.47,0.32,0.43,dani de wit||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Dani de Wit,NED,MF,25,1998,27.9,10,40,15,37.5,1.43,0.54,0.23,0.6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Dani de Wit,NED,MF,25,1998,32,2513,79,82.1,27.9,29,83,18,3,34,1,1.91,58,29,29,1.04,0.71,NED-Eredivisie,2324,AZ Alkmaar,Dani de Wit,NED,MF,25,1998,27.9,7,1,0,69,29,5,6,16,23,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Dave Kwakman,NED,MF,18,2004,3,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,dave kwakman||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Dave Kwakman,NED,MF,18,2004,0.8,0,2,0,0.0,2.37,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Dave Kwakman,NED,MF,18,2004,3,76,25,2.5,0.8,1,61,0,2,8,5,3.0,0,2,-2,-2.37,-3.36,NED-Eredivisie,2324,AZ Alkmaar,Dave Kwakman,NED,MF,18,2004,0.8,0,0,0,3,4,0,2,1,0,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,David Møller Wolfe,NOR,DF,21,2002,34,29,2374,26.4,1,2,3,1,0,0,4,0,0.04,0.08,0.11,0.04,0.11,david møller wolfe||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,David Møller Wolfe,NOR,DF,21,2002,26.4,1,14,5,35.7,0.53,0.19,0.07,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,David Møller Wolfe,NOR,DF,21,2002,34,2374,70,77.6,26.4,29,79,13,5,14,0,1.91,51,33,18,0.68,-1.02,NED-Eredivisie,2324,AZ Alkmaar,David Møller Wolfe,NOR,DF,21,2002,26.4,4,0,0,23,16,0,54,28,25,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Denso Kasius,NED,DF,20,2002,16,3,453,5.0,0,1,1,0,0,0,0,1,0.0,0.2,0.2,0.0,0.2,denso kasius||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Denso Kasius,NED,DF,20,2002,5.0,0,8,1,12.5,1.59,0.2,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Denso Kasius,NED,DF,20,2002,16,453,28,14.8,5.0,3,69,1,13,19,13,1.56,8,9,-1,-0.2,-1.3,NED-Eredivisie,2324,AZ Alkmaar,Denso Kasius,NED,DF,20,2002,5.0,0,1,0,5,2,0,17,9,11,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Djordje Mihailovic,USA,MF,24,1998,8,3,277,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,djordje mihailovic||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Djordje Mihailovic,USA,MF,24,1998,3.1,0,2,0,0.0,0.65,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Djordje Mihailovic,USA,MF,24,1998,8,277,35,9.1,3.1,3,62,0,5,18,8,2.38,7,5,2,0.65,-0.29,NED-Eredivisie,2324,AZ Alkmaar,Djordje Mihailovic,USA,MF,24,1998,3.1,0,0,0,4,7,0,5,3,6,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Ernest Poku,NED,MF,19,2004,21,5,663,7.4,1,3,4,1,0,0,1,0,0.14,0.41,0.54,0.14,0.54,ernest poku||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Ernest Poku,NED,MF,19,2004,7.4,1,21,9,42.9,2.85,1.22,0.05,0.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Ernest Poku,NED,MF,19,2004,21,663,32,21.7,7.4,5,62,1,16,22,12,1.81,15,11,4,0.54,-0.47,NED-Eredivisie,2324,AZ Alkmaar,Ernest Poku,NED,MF,19,2004,7.4,1,0,0,9,9,2,10,5,7,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Finn Stam,NED,DF,20,2003,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,finn stam||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Finn Stam,NED,DF,20,2003,0.4,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Finn Stam,NED,DF,20,2003,1,35,35,1.1,0.4,0,,0,1,35,1,1.0,0,1,-1,-2.57,-3.52,NED-Eredivisie,2324,AZ Alkmaar,Finn Stam,NED,DF,20,2003,0.4,0,0,0,3,0,0,0,0,0,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Hobie Verhulst,NED,GK,30,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,hobie verhulst||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Hobie Verhulst,NED,GK,30,1993,1.0,0,0,0,,0.0,0.0,,,0,0,NED-Eredivisie,2324,AZ Alkmaar,Hobie Verhulst,NED,GK,30,1993,1,1,90,1.0,4,4.0,7,4,57.1,0,0,1,0,0.0,1,1,0,0,0.0,NED-Eredivisie,2324,AZ Alkmaar,Hobie Verhulst,NED,GK,30,1993,1,90,90,2.9,1.0,1,90,1,0,,27,0.0,0,4,-4,-4.0,-5.06,NED-Eredivisie,2324,AZ Alkmaar,Hobie Verhulst,NED,GK,30,1993,1.0,0,0,0,1,0,0,0,0,0,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Ibrahim Sadiq,GHA,"FW,MF",23,2000,16,5,658,7.3,2,3,5,2,0,0,3,0,0.27,0.41,0.68,0.27,0.68,ibrahim sadiq||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Ibrahim Sadiq,GHA,"FW,MF",23,2000,7.3,2,14,7,50.0,1.91,0.96,0.14,0.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Ibrahim Sadiq,GHA,"FW,MF",23,2000,16,658,41,21.5,7.3,5,79,1,11,24,10,1.88,15,11,4,0.55,-0.46,NED-Eredivisie,2324,AZ Alkmaar,Ibrahim Sadiq,GHA,"FW,MF",23,2000,7.3,3,0,0,12,12,3,12,4,12,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Jayden Addai,NED,"MF,FW",17,2005,8,2,297,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,jayden addai||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Jayden Addai,NED,"MF,FW",17,2005,3.3,0,7,0,0.0,2.12,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Jayden Addai,NED,"MF,FW",17,2005,8,297,37,9.7,3.3,2,63,0,6,29,12,1.38,5,6,-1,-0.3,-1.35,NED-Eredivisie,2324,AZ Alkmaar,Jayden Addai,NED,"MF,FW",17,2005,3.3,1,0,0,5,8,0,6,0,7,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Jens Odgaard,DEN,MF,24,1999,17,4,444,4.9,1,2,3,1,0,0,0,0,0.2,0.41,0.61,0.2,0.61,jens odgaard||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Jens Odgaard,DEN,MF,24,1999,4.9,1,12,3,25.0,2.43,0.61,0.08,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Jens Odgaard,DEN,MF,24,1999,17,444,26,14.5,4.9,4,59,0,13,16,2,1.88,12,3,9,1.82,1.07,NED-Eredivisie,2324,AZ Alkmaar,Jens Odgaard,DEN,MF,24,1999,4.9,0,0,0,11,12,2,23,1,4,,,0,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Jordy Clasie,NED,MF,32,1991,28,28,2468,27.4,2,3,5,2,0,0,4,0,0.07,0.11,0.18,0.07,0.18,jordy clasie||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Jordy Clasie,NED,MF,32,1991,27.4,2,20,5,25.0,0.73,0.18,0.1,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Jordy Clasie,NED,MF,32,1991,28,2468,88,80.7,27.4,28,88,23,0,,1,1.68,50,34,16,0.58,-1.7,NED-Eredivisie,2324,AZ Alkmaar,Jordy Clasie,NED,MF,32,1991,27.4,4,0,0,22,11,0,6,43,34,,,1,Netherlands,2,3.5
NED-Eredivisie,2324,AZ Alkmaar,Kees Smit,NED,MF,17,2006,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,kees smit||az alkmaar||2324,NED-Eredivisie,2324,AZ Alkmaar,Kees Smit,NED,MF,17,2006,0.2,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED-Eredivisie,2324,AZ Alkmaar,Kees Smit,NED,MF,17,2006,1,17,17,0.6,0.2,0,,0,1,17,1,3.0,0,0,0,0.0,-0.92,NED-Eredivisie,2324,AZ Alkmaar,Kees Smit,NED,MF,17,2006,0.2,0,0,0,0,0,0,0,1,2,,,0,Netherlands,2,3.5
