league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
ESP-La Liga,2324,Alavés,Abde Rebbach,ALG,MF,24,1998,23,6,722,8.0,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,abde rebbach||alavés||2324,ESP-La Liga,2324,Alavés,Abde Rebbach,ALG,MF,24,1998,8.0,1,17,4,23.5,2.12,0.5,0.06,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP-La Liga,2324,Alavés,Abde Rebbach,ALG,MF,24,1998,23,722,31,21.1,8.0,6,64,0,17,20,15,0.7,5,6,-1,-0.12,0.18,ESP-La Liga,2324,Alavés,Abde Rebbach,ALG,MF,24,1998,8.0,1,0,0,13,10,3,63,4,5,,,0,Spain,1,4.8
ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24,1999,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,abdel abqar||alavés||2324,ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24,1999,27,2312,86,67.6,25.7,27,86,23,0,,4,1.07,21,30,-9,-0.35,-0.27,ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24,1999,25.7,10,0,0,32,23,1,2,25,21,,,1,Spain,1,4.8
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,11,11,946,10.5,1,0,1,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,aleksandar sedlar||alavés||2324,ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,10.5,1,4,1,25.0,0.38,0.1,0.25,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,11,946,86,27.7,10.5,11,86,8,0,,1,1.09,10,14,-4,-0.38,-0.16,ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,10.5,2,0,0,14,4,1,0,15,8,,,0,Spain,1,4.8
ESP-La Liga,2324,Alavés,Alex Sola,ESP,MF,24,1999,29,14,1262,14.0,0,3,3,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,alex sola||alavés||2324,ESP-La Liga,2324,Alavés,Alex Sola,ESP,MF,24,1999,14.0,0,28,7,25.0,2.0,0.5,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP-La Liga,2324,Alavés,Alex Sola,ESP,MF,24,1999,29,1262,44,36.9,14.0,14,71,3,15,18,6,1.24,9,20,-11,-0.78,-0.83,ESP-La Liga,2324,Alavés,Alex Sola,ESP,MF,24,1999,14.0,2,0,0,11,28,10,82,10,15,,,0,Spain,1,4.8
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26,1997,37,33,2932,32.6,1,0,1,1,0,0,7,0,0.03,0.0,0.03,0.03,0.03,ander guevara||alavés||2324,ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26,1997,32.6,1,16,3,18.8,0.49,0.09,0.06,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26,1997,37,2932,79,85.7,32.6,33,86,23,4,22,0,1.24,31,41,-10,-0.31,-0.31,ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26,1997,32.6,7,0,0,49,30,0,10,14,34,,,0,Spain,1,4.8
ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,26,1996,36,33,2854,31.7,1,0,1,1,0,0,6,0,0.03,0.0,0.03,0.03,0.03,andoni gorosabel||alavés||2324,ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,26,1996,31.7,1,15,6,40.0,0.47,0.19,0.07,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,26,1996,36,2854,79,83.5,31.7,33,85,21,3,13,1,1.25,28,35,-7,-0.22,0.26,ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,26,1996,31.7,6,0,0,29,41,0,83,25,40,,,0,Spain,1,4.8
ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23,2000,33,29,2426,27.0,0,1,1,0,0,0,5,1,0.0,0.04,0.04,0.0,0.04,antonio blanco||alavés||2324,ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23,2000,27.0,0,20,3,15.0,0.74,0.11,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23,2000,33,2426,74,70.9,27.0,29,82,16,4,11,2,1.3,22,30,-8,-0.3,-0.12,ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23,2000,27.0,5,1,0,35,40,0,14,33,37,,,0,Spain,1,4.8
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,antonio sivera||alavés||2324,ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34.0,0,0,0,,0.0,0.0,,,0,0,ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34,34,3060,34.0,38,1.12,117,87,74.4,11,8,15,9,26.5,8,8,0,0,0.0,ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34,3060,90,89.5,34.0,34,90,34,0,,4,1.21,32,38,-6,-0.18,0.82,ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34.0,3,0,0,0,2,0,0,0,0,,,0,Spain,1,4.8
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25,1998,29,10,1136,12.6,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32,carlos benavídez||alavés||2324,ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25,1998,12.6,3,14,7,50.0,1.11,0.55,0.21,0.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25,1998,29,1136,39,33.2,12.6,10,79,5,19,18,4,1.34,19,13,6,0.48,1.11,ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25,1998,12.6,5,0,0,37,9,1,6,18,35,,,0,Spain,1,4.8
ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,MF,24,1999,18,12,1114,12.4,2,4,6,2,0,0,1,0,0.16,0.32,0.48,0.16,0.48,carlos vicente||alavés||2324,ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,MF,24,1999,12.4,2,15,8,53.3,1.21,0.65,0.13,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,MF,24,1999,18,1114,62,32.6,12.4,12,79,2,6,28,1,1.67,17,13,4,0.32,0.87,ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,MF,24,1999,12.4,1,0,0,18,25,9,90,5,7,,,0,Spain,1,4.8
