league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
FRA-Ligue 1,2324,Brest,Achraf Dari,MAR,DF,24,1999,4,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,achraf dari||brest||2324,FRA-Ligue 1,2324,Brest,Achraf Dari,MAR,DF,24,1999,1.3,0,1,1,100.0,0.74,0.74,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA-Ligue 1,2324,Brest,Achraf Dari,MAR,DF,24,1999,4,121,30,4.0,1.3,1,90,1,3,10,11,1.0,0,2,-2,-1.49,-2.13,FRA-Ligue 1,2324,Brest,Achraf Dari,MAR,DF,24,1999,1.3,0,0,0,2,1,0,0,5,1,,,0,France,1,4.3
FRA-Ligue 1,2324,Brest,Adrien Lebeau,FRA,MF,24,1999,7,0,54,0.6,0,1,1,0,0,0,0,0,0.0,1.67,1.67,0.0,1.67,adrien lebeau||brest||2324,FRA-Ligue 1,2324,Brest,Adrien Lebeau,FRA,MF,24,1999,0.6,0,1,0,0.0,1.67,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA-Ligue 1,2324,Brest,Adrien Lebeau,FRA,MF,24,1999,7,54,8,1.8,0.6,0,,0,7,8,20,2.43,1,0,1,1.67,1.13,FRA-Ligue 1,2324,Brest,Adrien Lebeau,FRA,MF,24,1999,0.6,0,0,0,1,2,0,3,0,0,,,0,France,1,4.3
FRA-Ligue 1,2324,Brest,Axel Camblan,FRA,FW,19,2003,7,0,90,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,axel camblan||brest||2324,FRA-Ligue 1,2324,Brest,Axel Camblan,FRA,FW,19,2003,1.0,0,2,0,0.0,2.0,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA-Ligue 1,2324,Brest,Axel Camblan,FRA,FW,19,2003,7,90,13,2.9,1.0,0,,0,7,13,15,1.57,0,1,-1,-1.0,-1.61,FRA-Ligue 1,2324,Brest,Axel Camblan,FRA,FW,19,2003,1.0,2,0,0,3,1,0,1,0,1,,,0,France,1,4.3
FRA-Ligue 1,2324,Brest,Bilal Brahimi,ALG,FW,23,2000,18,1,221,2.5,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,bilal brahimi||brest||2324,FRA-Ligue 1,2324,Brest,Bilal Brahimi,ALG,FW,23,2000,2.5,0,4,2,50.0,1.63,0.81,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA-Ligue 1,2324,Brest,Bilal Brahimi,ALG,FW,23,2000,18,221,12,7.2,2.5,1,59,0,17,10,8,1.56,2,0,2,0.81,0.28,FRA-Ligue 1,2324,Brest,Bilal Brahimi,ALG,FW,23,2000,2.5,1,1,0,3,4,2,33,0,0,,,0,France,1,4.3
FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,21,2002,33,33,2959,32.9,0,3,3,0,0,0,5,0,0.0,0.09,0.09,0.0,0.09,bradley locko||brest||2324,FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,21,2002,32.9,0,12,2,16.7,0.36,0.06,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,21,2002,33,2959,90,96.7,32.9,33,90,31,0,,0,1.76,50,34,16,0.49,-2.19,FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,21,2002,32.9,5,0,0,26,41,1,94,36,56,,,0,France,1,4.3
FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,28,1994,33,33,2970,33.0,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,brendan chardonnet||brest||2324,FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,28,1994,33.0,1,19,3,15.8,0.58,0.09,0.05,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,28,1994,33,2970,90,97.1,33.0,33,90,33,0,,1,1.82,52,33,19,0.58,0.58,FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,28,1994,33.0,4,0,0,35,22,0,12,50,39,,,0,France,1,4.3
FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24,1999,3,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,grégoire coudert||brest||2324,FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24,1999,2.0,0,0,0,,0.0,0.0,,,0,0,FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24,1999,3,2,181,2.0,0,0.0,4,4,100.0,2,0,0,2,100.0,0,0,0,0,,FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24,1999,3,181,60,5.9,2.0,2,90,2,1,1,31,2.33,4,0,4,1.99,1.52,FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24,1999,2.0,0,0,0,0,0,0,0,0,0,,,0,France,1,4.3
FRA-Ligue 1,2324,Brest,Hianga'a Mbock,FRA,MF,23,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,hianga'a mbock||brest||2324,FRA-Ligue 1,2324,Brest,Hianga'a Mbock,FRA,MF,23,1999,0.1,0,1,0,0.0,10.0,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA-Ligue 1,2324,Brest,Hianga'a Mbock,FRA,MF,23,1999,2,9,5,0.3,0.1,0,,0,2,5,1,1.5,0,0,0,0.0,-0.56,FRA-Ligue 1,2324,Brest,Hianga'a Mbock,FRA,MF,23,1999,0.1,0,0,0,0,0,0,0,1,0,,,0,France,1,4.3
FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25,1998,33,30,2340,26.0,2,0,2,2,0,0,6,0,0.08,0.0,0.08,0.08,0.08,hugo magnetti||brest||2324,FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25,1998,26.0,2,36,11,30.6,1.38,0.42,0.06,0.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25,1998,33,2340,71,76.5,26.0,30,76,8,3,23,0,1.76,33,29,4,0.15,-1.72,FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25,1998,26.0,6,0,0,21,18,2,20,18,28,,,0,France,1,4.3
FRA-Ligue 1,2324,Brest,Jonas Martin,FRA,MF,33,1990,31,9,1208,13.4,0,1,1,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07,jonas martin||brest||2324,FRA-Ligue 1,2324,Brest,Jonas Martin,FRA,MF,33,1990,13.4,0,10,3,30.0,0.75,0.22,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA-Ligue 1,2324,Brest,Jonas Martin,FRA,MF,33,1990,31,1208,39,39.5,13.4,9,80,3,22,22,0,1.87,23,10,13,0.97,0.68,FRA-Ligue 1,2324,Brest,Jonas Martin,FRA,MF,33,1990,13.4,5,0,0,27,11,1,8,9,25,,,0,France,1,4.3
