league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
POR-Primeira Liga,2324,Arouca,Alfonso Trezza,URU,"FW,MF",24,1999,24,8,840,9.3,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,alfonso trezza||arouca||2324,POR-Primeira Liga,2324,Arouca,Alfonso Trezza,URU,"FW,MF",24,1999,9.3,0,11,2,18.2,1.18,0.21,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR-Primeira Liga,2324,Arouca,Alfonso Trezza,URU,"FW,MF",24,1999,24,840,35,27.5,9.3,8,66,0,16,19,8,1.13,8,18,-10,-1.07,-1.64,POR-Primeira Liga,2324,Arouca,Alfonso Trezza,URU,"FW,MF",24,1999,9.3,6,0,0,21,20,1,26,6,14,,,0,Portugal,2,3.4
POR-Primeira Liga,2324,Arouca,André Bukia,COD,"FW,MF",28,1995,10,0,157,1.7,1,1,2,1,0,0,0,0,0.57,0.57,1.15,0.57,1.15,andré bukia||arouca||2324,POR-Primeira Liga,2324,Arouca,André Bukia,COD,"FW,MF",28,1995,1.7,1,5,1,20.0,2.87,0.57,0.2,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR-Primeira Liga,2324,Arouca,André Bukia,COD,"FW,MF",28,1995,10,157,16,5.1,1.7,0,,0,10,16,4,1.1,3,2,1,0.57,0.48,POR-Primeira Liga,2324,Arouca,André Bukia,COD,"FW,MF",28,1995,1.7,0,0,0,3,7,0,18,0,4,,,0,Portugal,2,3.4
POR-Primeira Liga,2324,Arouca,Benji Michel,USA,"FW,MF",25,1997,5,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,benji michel||arouca||2324,POR-Primeira Liga,2324,Arouca,Benji Michel,USA,"FW,MF",25,1997,0.5,0,1,0,0.0,2.0,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR-Primeira Liga,2324,Arouca,Benji Michel,USA,"FW,MF",25,1997,5,45,9,1.5,0.5,0,,0,5,9,5,1.2,1,1,0,0.0,-0.12,POR-Primeira Liga,2324,Arouca,Benji Michel,USA,"FW,MF",25,1997,0.5,0,0,0,1,0,1,0,0,0,,,0,Portugal,2,3.4
POR-Primeira Liga,2324,Arouca,Bogdan Milovanov,UKR,DF,25,1998,22,12,1205,13.4,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,bogdan milovanov||arouca||2324,POR-Primeira Liga,2324,Arouca,Bogdan Milovanov,UKR,DF,25,1998,13.4,0,4,0,0.0,0.3,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR-Primeira Liga,2324,Arouca,Bogdan Milovanov,UKR,DF,25,1998,22,1205,55,39.4,13.4,12,81,8,10,24,9,1.36,20,17,3,0.22,0.18,POR-Primeira Liga,2324,Arouca,Bogdan Milovanov,UKR,DF,25,1998,13.4,4,1,1,20,4,0,38,14,33,,,0,Portugal,2,3.4
POR-Primeira Liga,2324,Arouca,Cristo González,ESP,"MF,FW",25,1997,34,33,2777,30.9,15,9,24,12,3,6,3,0,0.49,0.29,0.78,0.39,0.68,cristo gonzález||arouca||2324,POR-Primeira Liga,2324,Arouca,Cristo González,ESP,"MF,FW",25,1997,30.9,15,123,45,36.6,3.99,1.46,0.1,0.27,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR-Primeira Liga,2324,Arouca,Cristo González,ESP,"MF,FW",25,1997,34,2777,82,90.8,30.9,33,83,16,1,24,0,1.35,51,42,9,0.29,1.88,POR-Primeira Liga,2324,Arouca,Cristo González,ESP,"MF,FW",25,1997,30.9,3,0,0,23,32,7,33,8,14,,,0,Portugal,2,3.4
POR-Primeira Liga,2324,Arouca,David Simão,POR,MF,33,1990,32,31,2557,28.4,0,7,7,0,0,0,9,1,0.0,0.25,0.25,0.0,0.25,david simão||arouca||2324,POR-Primeira Liga,2324,Arouca,David Simão,POR,MF,33,1990,28.4,0,11,1,9.1,0.39,0.04,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR-Primeira Liga,2324,Arouca,David Simão,POR,MF,33,1990,32,2557,80,83.6,28.4,31,81,10,1,45,0,1.44,49,39,10,0.35,1.43,POR-Primeira Liga,2324,Arouca,David Simão,POR,MF,33,1990,28.4,9,1,0,41,40,0,100,34,33,,,0,Portugal,2,3.4
POR-Primeira Liga,2324,Arouca,Eboue Kouassi,CIV,MF,25,1997,25,14,1352,15.0,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,eboue kouassi||arouca||2324,POR-Primeira Liga,2324,Arouca,Eboue Kouassi,CIV,MF,25,1997,15.0,0,10,4,40.0,0.67,0.27,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR-Primeira Liga,2324,Arouca,Eboue Kouassi,CIV,MF,25,1997,25,1352,54,44.2,15.0,14,82,9,11,19,3,1.4,25,25,0,0.0,-0.21,POR-Primeira Liga,2324,Arouca,Eboue Kouassi,CIV,MF,25,1997,15.0,5,1,0,27,15,2,1,11,18,,,0,Portugal,2,3.4
POR-Primeira Liga,2324,Arouca,Ignacio De Arruabarrena,URU,GK,26,1997,31,31,2790,31.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,ignacio de arruabarrena||arouca||2324,POR-Primeira Liga,2324,Arouca,Ignacio De Arruabarrena,URU,GK,26,1997,31.0,0,0,0,,0.0,0.0,,,0,0,POR-Primeira Liga,2324,Arouca,Ignacio De Arruabarrena,URU,GK,26,1997,31,31,2790,31.0,45,1.45,131,94,71.0,13,5,13,4,12.9,9,7,1,1,12.5,POR-Primeira Liga,2324,Arouca,Ignacio De Arruabarrena,URU,GK,26,1997,31,2790,90,91.2,31.0,31,90,31,0,,0,1.42,51,45,6,0.19,0.86,POR-Primeira Liga,2324,Arouca,Ignacio De Arruabarrena,URU,GK,26,1997,31.0,4,0,0,3,1,0,0,1,2,,,0,Portugal,2,3.4
POR-Primeira Liga,2324,Arouca,Jason,ESP,"MF,FW",29,1994,34,32,2565,28.5,6,5,11,6,0,0,4,0,0.21,0.18,0.39,0.21,0.39,jason||arouca||2324,POR-Primeira Liga,2324,Arouca,Jason,ESP,"MF,FW",29,1994,28.5,6,65,22,33.8,2.28,0.77,0.09,0.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR-Primeira Liga,2324,Arouca,Jason,ESP,"MF,FW",29,1994,34,2565,75,83.8,28.5,32,78,6,2,34,0,1.35,48,36,12,0.42,1.88,POR-Primeira Liga,2324,Arouca,Jason,ESP,"MF,FW",29,1994,28.5,4,0,0,26,60,6,136,11,18,,,0,Portugal,2,3.4
POR-Primeira Liga,2324,Arouca,Javi Montero,ESP,DF,24,1999,29,29,2587,28.7,1,1,2,1,0,0,9,0,0.03,0.03,0.07,0.03,0.07,javi montero||arouca||2324,POR-Primeira Liga,2324,Arouca,Javi Montero,ESP,DF,24,1999,28.7,1,5,1,20.0,0.17,0.03,0.2,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR-Primeira Liga,2324,Arouca,Javi Montero,ESP,DF,24,1999,29,2587,89,84.5,28.7,29,89,26,0,,0,1.31,44,37,7,0.24,0.81,POR-Primeira Liga,2324,Arouca,Javi Montero,ESP,DF,24,1999,28.7,9,0,0,46,22,1,4,34,18,,,0,Portugal,2,3.4
