league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
SAU-Pro League,2324,Abha,Abdullah Al Shammari,KSA,"MF,DF",24,1999,21,10,968,10.8,0,1,1,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,abdullah al shammari||abha||2324,SAU-Pro League,2324,Abha,Abdullah Al Shammari,KSA,"MF,DF",24,1999,10.8,0,1,0,0.0,0.09,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Abdullah Al Shammari,KSA,"MF,DF",24,1999,21,968,46,31.6,10.8,10,79,5,11,16,4,1.0,12,26,-14,-1.3,0.2,SAU-Pro League,2324,Abha,Abdullah Al Shammari,KSA,"MF,DF",24,1999,10.8,3,0,0,18,38,0,17,6,22,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Ahmed Abdu,KSA,FW,26,1996,24,10,959,10.7,3,2,5,3,0,0,2,0,0.28,0.19,0.47,0.28,0.47,ahmed abdu||abha||2324,SAU-Pro League,2324,Abha,Ahmed Abdu,KSA,FW,26,1996,10.7,3,23,6,26.1,2.16,0.56,0.13,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Ahmed Abdu,KSA,FW,26,1996,24,959,40,31.3,10.7,10,71,2,14,18,8,0.96,13,29,-16,-1.5,-0.09,SAU-Pro League,2324,Abha,Ahmed Abdu,KSA,FW,26,1996,10.7,2,0,0,15,21,8,1,2,8,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Ahmed Al-Habib,KSA,DF,30,1993,10,5,481,5.3,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,ahmed al-habib||abha||2324,SAU-Pro League,2324,Abha,Ahmed Al-Habib,KSA,DF,30,1993,5.3,0,1,0,0.0,0.19,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Ahmed Al-Habib,KSA,DF,30,1993,10,481,48,15.7,5.3,5,80,3,5,16,5,1.0,6,15,-9,-1.68,-0.29,SAU-Pro League,2324,Abha,Ahmed Al-Habib,KSA,DF,30,1993,5.3,5,1,1,9,2,1,0,6,3,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Ciprian Tătărușanu,ROU,GK,37,1986,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ciprian tătărușanu||abha||2324,SAU-Pro League,2324,Abha,Ciprian Tătărușanu,ROU,GK,37,1986,33.0,0,0,0,,0.0,0.0,,,0,0,SAU-Pro League,2324,Abha,Ciprian Tătărușanu,ROU,GK,37,1986,33,33,2970,33.0,84,2.55,190,112,58.4,9,5,19,3,9.1,6,5,1,0,16.7,SAU-Pro League,2324,Abha,Ciprian Tătărușanu,ROU,GK,37,1986,33,2970,90,97.1,33.0,33,90,33,0,,0,0.97,37,84,-47,-1.42,0.58,SAU-Pro League,2324,Abha,Ciprian Tătărușanu,ROU,GK,37,1986,33.0,1,0,0,0,5,0,0,0,0,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Devis Epassy,CMR,GK,30,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,devis epassy||abha||2324,SAU-Pro League,2324,Abha,Devis Epassy,CMR,GK,30,1993,1.0,0,0,0,,0.0,0.0,,,0,0,SAU-Pro League,2324,Abha,Devis Epassy,CMR,GK,30,1993,1,1,90,1.0,3,3.0,8,5,62.5,0,0,1,0,0.0,0,0,0,0,,SAU-Pro League,2324,Abha,Devis Epassy,CMR,GK,30,1993,1,90,90,2.9,1.0,1,90,1,0,,0,0.0,1,3,-2,-2.0,-0.58,SAU-Pro League,2324,Abha,Devis Epassy,CMR,GK,30,1993,1.0,0,0,0,0,0,0,0,0,0,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Fabián Noguera,ARG,DF,30,1993,30,29,2615,29.1,3,0,3,3,0,0,3,0,0.1,0.0,0.1,0.1,0.1,fabián noguera||abha||2324,SAU-Pro League,2324,Abha,Fabián Noguera,ARG,DF,30,1993,29.1,3,22,7,31.8,0.76,0.24,0.14,0.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Fabián Noguera,ARG,DF,30,1993,30,2615,87,85.5,29.1,29,90,28,1,10,3,1.03,32,72,-40,-1.38,0.44,SAU-Pro League,2324,Abha,Fabián Noguera,ARG,DF,30,1993,29.1,3,0,0,21,9,1,1,32,27,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Fahad bin Jumayah,KSA,"DF,MF",28,1995,26,24,1939,21.5,1,2,3,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,fahad bin jumayah||abha||2324,SAU-Pro League,2324,Abha,Fahad bin Jumayah,KSA,"DF,MF",28,1995,21.5,1,15,3,20.0,0.7,0.14,0.07,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Fahad bin Jumayah,KSA,"DF,MF",28,1995,26,1939,75,63.4,21.5,24,79,13,2,21,2,1.23,25,46,-21,-0.97,1.27,SAU-Pro League,2324,Abha,Fahad bin Jumayah,KSA,"DF,MF",28,1995,21.5,8,0,0,43,57,5,58,12,43,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,François Kamano,GUI,"MF,FW",27,1996,31,25,2088,23.2,2,1,3,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13,françois kamano||abha||2324,SAU-Pro League,2324,Abha,François Kamano,GUI,"MF,FW",27,1996,23.2,2,36,15,41.7,1.55,0.65,0.06,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,François Kamano,GUI,"MF,FW",27,1996,31,2088,67,68.2,23.2,25,76,2,6,33,0,0.9,24,49,-25,-1.08,1.14,SAU-Pro League,2324,Abha,François Kamano,GUI,"MF,FW",27,1996,23.2,3,0,0,30,27,9,31,11,21,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Grzegorz Krychowiak,POL,MF,33,1990,33,31,2632,29.2,9,1,10,7,2,4,8,0,0.31,0.03,0.34,0.24,0.27,grzegorz krychowiak||abha||2324,SAU-Pro League,2324,Abha,Grzegorz Krychowiak,POL,MF,33,1990,29.2,9,47,17,36.2,1.61,0.58,0.15,0.41,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Grzegorz Krychowiak,POL,MF,33,1990,33,2632,80,86.0,29.2,31,83,22,2,26,0,0.97,31,71,-40,-1.37,0.52,SAU-Pro League,2324,Abha,Grzegorz Krychowiak,POL,MF,33,1990,29.2,8,0,0,40,54,7,19,28,22,,,1,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Hassan Al Ali,KSA,"FW,MF",21,2002,21,14,1281,14.2,3,2,5,3,0,0,5,0,0.21,0.14,0.35,0.21,0.35,hassan al ali||abha||2324,SAU-Pro League,2324,Abha,Hassan Al Ali,KSA,"FW,MF",21,2002,14.2,3,24,8,33.3,1.69,0.56,0.13,0.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Hassan Al Ali,KSA,"FW,MF",21,2002,21,1281,61,41.9,14.2,14,80,5,7,22,5,0.86,17,33,-16,-1.12,0.55,SAU-Pro League,2324,Abha,Hassan Al Ali,KSA,"FW,MF",21,2002,14.2,5,0,0,20,15,9,36,6,12,,,0,Saudi Arabia,2,2.7
