league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,31,22,1894,21.0,11,7,18,11,0,0,4,0,0.52,0.33,0.86,0.52,0.86,ademola lookman||atalanta||2324,ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,21.0,11,67,24,35.8,3.18,1.14,0.16,0.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,31,1894,61,55.4,21.0,22,73,4,9,32,1,1.61,33,26,7,0.33,-1.02,ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,21.0,4,0,0,28,34,12,69,9,15,,,0,Italy,1,4.6
ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,27,12,1176,13.1,3,5,8,3,0,0,1,0,0.23,0.38,0.61,0.23,0.61,aleksei miranchuk||atalanta||2324,ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,13.1,3,38,22,57.9,2.91,1.68,0.08,0.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,27,1176,44,34.4,13.1,12,76,4,15,18,8,1.96,24,10,14,1.07,0.43,ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,13.1,1,0,0,12,31,3,83,3,6,,,0,Italy,1,4.6
ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,30,1993,37,32,2832,31.5,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,berat djimsiti||atalanta||2324,ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,30,1993,31.5,0,13,0,0.0,0.41,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,30,1993,37,2832,77,82.8,31.5,32,85,28,5,21,1,1.86,60,32,28,0.89,0.58,ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,30,1993,31.5,5,0,0,17,11,0,6,59,24,,,0,Italy,1,4.6
ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,35,25,2026,22.5,10,8,18,9,1,1,1,0,0.44,0.36,0.8,0.4,0.76,charles de ketelaere||atalanta||2324,ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,22.5,10,45,25,55.6,2.0,1.11,0.2,0.36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,35,2026,58,59.2,22.5,25,68,1,10,33,1,1.77,48,27,21,0.93,0.35,ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,22.5,1,0,0,17,47,6,47,6,21,,,1,Italy,1,4.6
ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,MF,31,1992,31,23,1867,20.7,2,1,3,2,0,0,5,0,0.1,0.05,0.14,0.1,0.14,davide zappacosta||atalanta||2324,ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,MF,31,1992,20.7,2,37,10,27.0,1.78,0.48,0.05,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,MF,31,1992,31,1867,60,54.6,20.7,23,71,6,8,29,5,1.81,36,21,15,0.72,-0.15,ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,MF,31,1992,20.7,5,0,0,26,15,2,75,5,21,,,0,Italy,1,4.6
ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32,1991,2,2,112,1.2,1,0,1,1,0,0,0,0,0.8,0.0,0.8,0.8,0.8,duván zapata||atalanta||2324,ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32,1991,1.2,1,5,3,60.0,4.02,2.41,0.2,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32,1991,2,112,56,3.3,1.2,2,56,0,0,,0,1.5,1,2,-1,-0.8,-1.65,ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32,1991,1.2,0,0,0,1,4,1,6,0,0,,,0,Italy,1,4.6
ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,21,2001,11,3,394,4.4,2,0,2,2,0,0,2,0,0.46,0.0,0.46,0.46,0.46,el bilal touré||atalanta||2324,ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,21,2001,4.4,2,12,5,41.7,2.74,1.14,0.17,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,21,2001,11,394,36,11.5,4.4,3,75,2,8,21,8,2.18,6,3,3,0.69,-0.12,ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,21,2001,4.4,2,0,0,13,8,3,2,1,1,,,0,Italy,1,4.6
ITA-Serie A,2324,Atalanta,Emil Holm,SWE,MF,23,2000,22,12,947,10.5,1,1,2,1,0,0,5,0,0.1,0.1,0.19,0.1,0.19,emil holm||atalanta||2324,ITA-Serie A,2324,Atalanta,Emil Holm,SWE,MF,23,2000,10.5,1,26,8,30.8,2.47,0.76,0.04,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA-Serie A,2324,Atalanta,Emil Holm,SWE,MF,23,2000,22,947,43,27.7,10.5,12,63,2,10,19,8,1.86,23,12,11,1.05,0.35,ITA-Serie A,2324,Atalanta,Emil Holm,SWE,MF,23,2000,10.5,5,0,0,14,21,1,34,7,20,,,0,Italy,1,4.6
ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,francesco rossi||atalanta||2324,ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,0.1,0,0,0,,0.0,0.0,,,0,0,ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,1,0,5,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,,ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,1,5,5,0.1,0.1,0,,0,1,5,34,3.0,0,0,0,0.0,-0.79,ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,0.1,0,0,0,0,0,0,0,0,0,,,0,Italy,1,4.6
ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,29,17,1453,16.1,12,6,18,12,0,0,1,0,0.74,0.37,1.11,0.74,1.11,gianluca scamacca||atalanta||2324,ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,16.1,12,60,26,43.3,3.72,1.61,0.2,0.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,29,1453,50,42.5,16.1,17,66,1,12,28,3,1.72,37,12,25,1.55,1.32,ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,16.1,1,0,0,28,28,9,5,4,9,,,0,Italy,1,4.6
