league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,pick,position_group,role
BEL-First Division A,2526,Standard Liège,Matthieu Epolo,BEL,GK,21.0,2005.0,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,matthieu epolo||standard liège||2526,1,0,0.0,0.04,0.0,0.0,,30.0,1.3,107.0,77.0,72.0,8.0,4.0,11.0,6.0,26.1,1.0,0.0,1.0,0.0,100.0,90,67.6,90.0,23,0,,1,1.22,19,30,-11,-0.48,-0.84,0,0,4,0,0,0,0,0,Belgium,2,3.2,GK,True,False,False,False,72.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,,,,2.13,37.2265,,,,82.06871393513299,0.0,-0.04,-0.04,0.0,-0.128,75.6,2.0,0.0,1,GK,starter
BEL-First Division A,2324,Gent,Davy Roef,BEL,GK,29.0,1994.0,21,21,1887,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,davy roef||gent||2324,0,0,,0.0,0.0,,,18.0,0.86,70.0,59.0,78.6,14.0,4.0,3.0,8.0,38.1,7.0,3.0,4.0,0.0,57.1,90,52.4,90.0,20,0,,14,2.23,50,18,32,1.53,1.53,0,0,3,0,0,1,0,0,Belgium,2,3.2,GK,True,False,False,False,78.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1523809523809524,0.0,0.0,0.0,0.0,0.0,,,,2.5700000000000003,37.782,,,,83.29685392761601,,,,,,74.12,3.0,0.0,2,GK,backup
BEL-First Division A,2425,Club Brugge,Nordin Jackers,BEL,GK,26.0,1997.0,7,5,527,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,nordin jackers||club brugge||2425,0,0,,0.0,0.0,,,4.0,0.68,23.0,19.0,82.6,3.0,2.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0,,75,14.6,90.0,5,2,39.0,33,2.43,14,4,10,1.71,0.71,0,0,1,0,0,0,0,0,Belgium,2,3.2,GK,True,False,False,False,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.75,37.574,,,,82.83699232827043,0.0,0.0,0.0,0.0,0.0,73.32,3.0,0.0,3,GK,sub
BEL-First Division A,2425,OH Leuven,Tobe Leysen,BEL,GK,22.0,2002.0,38,38,3399,37.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,tobe leysen||oh leuven||2425,0,0,,0.0,0.0,,,48.0,1.27,163.0,121.0,73.6,9.0,18.0,11.0,11.0,28.9,6.0,5.0,1.0,0.0,16.7,89,94.4,89.0,37,0,,1,1.18,38,48,-10,-0.26,1.08,0,2,9,0,0,1,0,0,Belgium,2,3.2,GK,True,False,False,False,73.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0846560846560846,0.0,0.1693121693121693,0.0,0.0,0.1322751322751323,,,,2.16,30.232,,,,66.60476222060092,0.0,0.0,0.0,0.0,0.0,64.91,3.0,0.0,4,GK,alternate
SAU-Pro League,2425,Al-Qadsiah,Koen Casteels,BEL,GK,32.0,1992.0,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,koen casteels||al-qadsiah||2425,0,0,,0.0,0.0,,,29.0,0.88,106.0,81.0,76.4,21.0,5.0,7.0,14.0,42.4,4.0,4.0,0.0,0.0,0.0,90,97.1,90.0,33,0,,0,2.06,53,29,24,0.73,2.73,0,0,4,0,0,0,0,0,Saudi Arabia,2,2.7,GK,True,False,False,False,76.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0606060606060606,,,,2.5500000000000003,32.447,,,,71.50184607901662,,,,,,61.95,2.0,0.0,5,GK,alternate
BEL-First Division A,2425,Club Brugge,Simon Mignolet,BEL,GK,36.0,1988.0,35,35,3073,34.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,simon mignolet||club brugge||2425,0,0,,0.0,0.0,,,38.0,1.11,111.0,76.0,68.5,21.0,8.0,6.0,11.0,31.4,4.0,3.0,1.0,0.0,25.0,88,85.4,88.0,33,0,,3,2.03,72,38,34,1.0,-0.71,0,2,8,0,0,0,1,0,Belgium,2,3.2,GK,True,False,False,False,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.093841642228739,0.0,0.0,0.187683284457478,0.0,0.0,0.0586510263929618,,,,2.3200000000000003,29.803500000000003,,,,65.65740310848756,0.0,0.0,0.0,0.0,0.0,59.76,3.0,0.0,6,GK,alternate
ENG-Premier League,2526,Fulham,Timothy Castagne,BEL,"DF,MF",31.0,1995.0,25,15,1403,15.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,timothy castagne||fulham||2526,10,5,50.0,0.64,0.32,0.0,0.0,,,,,,,,,,,,,,,,56,47.2,85.0,12,10,12.0,8,1.16,21,27,-6,-0.38,-0.56,0,15,6,0,39,23,18,0,England,1,5.0,DF,False,True,False,False,,0.0,0.0,0.0,3.2,1.6,0.0,5.76923076923077,7.371794871794872,12.5,4.807692307692308,0.0,0.0,0.1923076923076923,,,2.634871794871795,0.0,,,,82.02146774257433,,0.0,-0.05,-0.05,0.0,-0.25,82.92,3.0,0.0,1,DF,starter
BEL-First Division A,2526,Club Brugge,Kyriani Sabbe,BEL,DF,21.0,2005.0,26,20,1615,17.9,3,3,6,3,0,0,2,0,0.17,0.17,0.33,0.17,0.33,kyriani sabbe||club brugge||2526,18,9,50.0,1.0,0.5,0.17,0.33,,,,,,,,,,,,,,,,62,52.8,74.0,4,6,22.0,2,2.31,40,22,18,1.0,0.26,0,9,11,2,39,25,22,0,Belgium,2,3.2,DF,False,True,False,False,,0.544,0.544,1.056,3.2,1.6,0.544,3.932960893854749,4.46927374301676,6.972067039106147,1.6089385474860336,0.15,0.33,0.111731843575419,,,2.1730782122905032,0.0,,,,79.42748609628144,,0.09,0.09,0.18,0.288,0.288,80.41,3.0,0.86,2,DF,backup
BEL-First Division A,2526,Club Brugge,Brandon Mechele,BEL,DF,33.0,1993.0,33,33,2893,32.1,5,2,7,5,0,0,4,0,0.16,0.06,0.22,0.16,0.22,brandon mechele||club brugge||2526,30,14,46.7,0.93,0.44,0.17,0.36,,,,,,,,,,,,,,,,88,94.5,88.0,31,0,,1,2.09,67,38,29,0.9,0.36,0,34,20,1,5,43,41,1,Belgium,2,3.2,DF,False,True,False,False,,0.512,0.192,0.7040000000000001,2.9760000000000004,1.408,0.512,4.087227414330218,4.286604361370716,0.4984423676012461,3.389408099688473,0.1044776119402985,0.36,0.1246105919003115,,,1.9822866043613705,0.0,,,,78.35577365179817,,0.09,0.0399999999999999,0.12,0.288,0.128,79.6,3.0,0.86,3,DF,sub
BEL-First Division A,2425,Cercle Brugge,Christiaan Ravych,BEL,DF,22.0,2002.0,34,34,2936,32.6,1,0,1,1,0,0,2,1,0.03,0.0,0.03,0.03,0.03,christiaan ravych||cercle brugge||2425,19,4,21.1,0.58,0.12,0.05,0.25,,,,,,,,,,,,,,,,86,90.6,86.0,30,0,,0,1.12,39,51,-12,-0.37,1.41,0,26,32,1,15,49,54,0,Belgium,2,3.2,DF,False,True,False,False,,0.096,0.0,0.096,1.856,0.384,0.096,5.300613496932516,4.809815950920246,1.4723926380368098,2.552147239263804,0.0256410256410256,0.25,0.1533742331288343,,,2.402223926380369,0.0,,,,80.71464078854301,,0.03,-0.1,-0.07,0.096,-0.32,79.36,3.0,0.29,4,DF,sub
