league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,pick,position_group,role
POR-Primeira Liga,2526,Gil Vicente FC,Andrew,BRA,GK,25.0,2001.0,17,17,1495,16.6,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,andrew||gil vicente fc||2526,0,0,,0.0,0.0,,,12.0,0.72,50.0,42.0,80.0,7.0,7.0,3.0,9.0,52.9,4.0,2.0,2.0,0.0,50.0,88,55.4,88.0,16,0,,0,1.65,22,12,10,0.6,0.38,0,1,1,0,0,0,1,0,Portugal,2,3.4,GK,True,False,False,False,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2048192771084337,0.0,0.0,0.2048192771084337,0.0,0.0,0.3012048192771084,,,,2.71,40.3145,,,,88.89588998695585,0.0,0.0,0.0,0.0,0.0,73.86,3.0,0.0,1,GK,starter
SAU-Pro League,2526,Al-Nassr,Bento,BRA,GK,27.0,1999.0,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bento||al-nassr||2526,0,0,,0.0,0.0,,,6.0,0.37,30.0,22.0,80.0,16.0,0.0,0.0,12.0,75.0,0.0,0.0,0.0,0.0,,90,55.2,90.0,16,0,,3,3.0,42,6,36,2.25,0.56,0,0,0,0,0,1,0,0,Saudi Arabia,2,2.7,GK,True,False,False,False,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16875,0.0,0.0,0.0,0.0,0.0,,,,3.06,39.849,,,,87.86672857111274,0.0,0.0,0.0,0.0,0.0,72.31,2.0,0.0,2,GK,backup
USA-MLS,2324,SJ Earthquakes,Daniel,BRA,GK,29.0,1994.0,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,daniel||sj earthquakes||2024,0,0,,0.0,0.0,,,24.0,2.0,73.0,50.0,67.1,2.0,1.0,9.0,1.0,8.3,1.0,0.0,1.0,0.0,100.0,90,35.3,90.0,12,0,,0,0.58,12,24,-12,-1.0,0.14,0,0,2,0,0,0,0,0,USA,2,2.8,GK,True,False,False,False,67.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,,,,1.4300000000000002,32.1685,,,,70.88611792796976,,,,,,68.45,3.0,0.0,3,GK,sub
SAU-Pro League,2324,Al-Taawoun,Mailson,BRA,GK,26.0,1996.0,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,mailson||al-taawoun||2324,0,0,,0.0,0.0,,,35.0,1.03,111.0,81.0,73.0,16.0,11.0,7.0,8.0,23.5,6.0,5.0,1.0,0.0,16.7,90,100.0,90.0,34,0,,0,1.74,51,35,16,0.47,,0,0,4,0,0,0,0,0,Saudi Arabia,2,2.7,GK,True,False,False,False,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.4000000000000004,28.87,,,,63.593553094116864,,,,,,67.71,3.0,0.0,4,GK,alternate
POR-Primeira Liga,2425,Moreirense,Caio Secco,BRA,GK,33.0,1990.0,5,5,447,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,caio secco||moreirense||2425,0,0,,0.0,0.0,,,8.0,1.61,21.0,15.0,71.4,1.0,3.0,1.0,1.0,20.0,2.0,2.0,0.0,0.0,0.0,89,14.6,89.0,4,0,,28,1.2,9,8,1,0.2,0.51,0,0,3,0,0,0,0,0,Portugal,2,3.4,GK,True,False,False,False,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.82,25.9515,,,,57.14112002829918,0.0,-0.25,-0.25,0.0,-0.85,63.96,2.0,0.0,5,GK,alternate
POR-Primeira Liga,2425,Farense,Kaique,BRA,GK,21.0,2003.0,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,kaique||farense||2425,0,0,,0.0,0.0,,,6.0,1.0,20.0,15.0,70.0,3.0,0.0,3.0,1.0,16.7,1.0,0.0,1.0,0.0,100.0,90,17.6,90.0,6,0,,12,1.5,6,6,0,0.0,0.75,0,0,1,0,0,1,0,0,Portugal,2,3.4,GK,True,False,False,False,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.1666666666666666,,,,2.43,35.06,,,,77.27885742079549,,,,,,61.82,1.0,0.0,6,GK,alternate
FRA-Ligue 1,2324,Monaco,Vanderson,BRA,"MF,DF",22.0,2001.0,20,20,1641,18.2,3,1,4,3,0,0,6,1,0.16,0.05,0.22,0.16,0.22,vanderson||monaco||2324,30,10,33.3,1.65,0.55,0.1,0.3,,,,,,,,,,,,,,,,82,53.6,82.0,11,0,,5,2.0,39,25,14,0.77,0.01,1,45,17,1,48,34,40,0,France,1,4.3,DF,False,True,False,False,,0.688,0.215,0.946,7.095,2.365,0.688,9.45054945054945,8.032967032967033,11.34065934065934,10.631868131868131,0.1025641025641025,0.3,0.6043956043956045,,,3.432972527472528,0.0,,,,86.50455007708202,,,,,,,87.71,3.0,0.0,1,DF,starter
FRA-Ligue 1,2425,Lille,Alexsandro Ribeiro,BRA,DF,24.0,1999.0,30,30,2700,30.0,1,1,2,1,0,0,10,0,0.03,0.03,0.07,0.03,0.07,alexsandro ribeiro||lille||2425,21,4,19.0,0.7,0.13,0.05,0.25,,,,,,,,,,,,,,,,90,88.2,90.0,30,0,,1,1.83,46,30,16,0.53,0.53,0,27,32,2,8,26,19,1,France,1,4.3,DF,False,True,False,False,,0.129,0.129,0.301,3.01,0.5589999999999999,0.129,2.723333333333333,3.7266666666666666,1.1466666666666665,3.87,0.0434782608695652,0.25,0.3333333333333333,,,1.3943333333333332,0.0,,,,75.05312924214765,,0.03,0.03,0.07,0.129,0.129,82.32,3.0,0.39,2,DF,backup
ITA-Serie A,2526,Juventus,Gleison Bremer,BRA,DF,29.0,1997.0,22,21,1811,20.1,4,3,7,4,0,0,4,0,0.2,0.15,0.35,0.2,0.35,gleison bremer||juventus||2526,15,7,46.7,0.75,0.35,0.27,0.57,,,,,,,,,,,,,,,,82,61.0,86.0,16,1,15.0,1,2.27,43,16,27,1.34,1.26,0,18,8,0,1,24,11,0,Italy,1,4.6,DF,False,True,False,False,,0.92,0.69,1.61,3.45,1.61,0.92,2.5174129353233825,5.492537313432835,0.2288557213930347,4.119402985074626,0.1627906976744186,0.57,0.1990049751243781,,,2.037597014925373,0.0,,,,78.6664626593196,,0.2,0.15,0.35,0.92,0.69,81.62,3.0,2.5,3,DF,sub
ESP-La Liga,2425,Real Madrid,Éder Militão,BRA,DF,26.0,1998.0,12,11,938,10.4,1,1,2,1,0,0,2,0,0.1,0.1,0.19,0.1,0.19,éder militão||real madrid||2425,10,3,30.0,0.96,0.29,0.1,0.33,,,,,,,,,,,,,,,,78,27.4,83.0,9,1,20.0,0,2.25,20,9,11,1.06,0.0,0,18,8,0,2,11,17,0,Spain,1,4.8,DF,False,True,False,False,,0.48,0.48,0.912,4.608,1.392,0.48,7.846153846153846,5.076923076923077,0.9230769230769228,8.307692307692307,0.1,0.33,0.1923076923076923,,,2.6023846153846155,0.0,,,,81.83898112840677,,0.1,0.1,0.19,0.48,0.48,81.53,3.0,1.44,4,DF,sub
