league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
SAU-Pro League,2324,Al-Nassr,David Ospina,COL,GK,34.0,1988.0,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,david ospina||al-nassr||2324,0,0,,0.0,0.0,,,10.0,0.91,29.0,20.0,69.0,8.0,2.0,1.0,4.0,36.4,1.0,1.0,0.0,0.0,0.0,90,32.4,90.0,11,0,,1,2.36,32,10,22,2.0,0.43,0,0,5,0,0,1,0,0,Saudi Arabia,2,2.7,GK,True,False,False,False,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2454545454545454,0.0,0.0,0.0,0.0,0.0,,,,2.52,28.6745,,,,63.16132740819349,,,,,,50.53,1.0,0.0,,1.0,1,GK,starter
POR-Primeira Liga,2526,Vitória Guimarães,Juan Castillo,COL,GK,23.0,2003.0,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,juan castillo||vitória guimarães||2526,0,0,,0.0,0.0,,,19.0,1.27,61.0,44.0,72.1,6.0,3.0,6.0,6.0,40.0,3.0,2.0,0.0,1.0,0.0,90,50.0,90.0,15,0,,15,1.4,16,19,-3,-0.2,0.07,0,0,1,0,0,0,0,1,Portugal,2,3.4,GK,True,False,False,False,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,,,,2.16,30.1805,,,,66.49090225730141,,,,,,49.79,1.0,0.0,8.0,0.936,2,GK,backup
ITA-Serie A,2425,Empoli,Devis Vásquez,COL,GK,26.0,1998.0,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,devis vásquez||empoli||2425,0,0,,0.0,0.0,,,45.0,1.41,125.0,82.0,64.8,6.0,12.0,14.0,6.0,18.8,2.0,1.0,1.0,0.0,50.0,90,84.2,90.0,32,0,,6,0.94,31,45,-14,-0.44,1.56,0,1,4,0,1,0,0,0,Italy,1,4.6,GK,True,False,False,False,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14375,0.14375,0.0,0.0,0.0625,,,,2.0200000000000005,28.939,,,,63.74610333620747,,,,,,46.92,1.0,0.0,0.0,0.92,3,GK,sub
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,MF,28.0,1996.0,37,37,3228,35.9,4,5,9,4,0,0,10,0,0.11,0.14,0.25,0.11,0.25,daniel muñoz||crystal palace||2425,37,18,48.6,1.03,0.5,0.11,0.22,,,,,,,,,,,,,,,,87,94.4,87.0,33,0,,0,1.43,48,46,2,0.06,0.99,0,56,19,15,74,43,77,0,England,1,5.0,DF,False,True,False,False,,0.55,0.7000000000000001,1.25,5.15,2.5,0.55,10.724233983286908,5.988857938718663,10.30640668523677,7.799442896935933,0.1875,0.22,0.2785515320334262,,,3.5449011142061284,0.0,,,,87.13327405817233,,0.11,-0.1099999999999999,0.0,0.55,-0.5499999999999999,87.1,3.0,1.65,39.0,0.998,1,DF,starter
TUR-Super Lig,2324,Galatasaray,Davinson Sánchez,COL,DF,27.0,1996.0,23,17,1591,17.7,2,0,2,2,0,0,4,0,0.11,0.0,0.11,0.11,0.11,davinson sánchez||galatasaray||2324,16,4,25.0,0.91,0.23,0.13,0.5,,,,,,,,,,,,,,,,69,46.5,88.0,14,6,15.0,2,2.74,42,13,29,1.64,-0.18,0,24,14,1,1,22,31,0,Turkey,2,3.1,DF,False,True,False,False,,0.341,0.0,0.341,2.821,0.7130000000000001,0.341,5.429378531073446,3.8531073446327686,0.1751412429378531,4.203389830508475,0.0476190476190476,0.5,0.2259887005649717,,,2.189983050847457,0.0,,,,79.5224437626595,,,,,,,86.12,3.0,0.0,90.0,1.1,2,DF,backup
ITA-Serie A,2526,Bologna,Jhon Lucumí,COL,DF,28.0,1998.0,25,22,1927,21.4,1,0,1,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,jhon lucumí||bologna||2526,7,2,28.6,0.33,0.09,0.14,0.5,,,,,,,,,,,,,,,,77,64.9,85.0,19,3,22.0,4,1.52,27,21,6,0.28,0.54,0,16,17,1,1,29,18,0,Italy,1,4.6,DF,False,True,False,False,,0.2299999999999999,0.0,0.2299999999999999,1.518,0.414,0.2299999999999999,3.869158878504673,6.233644859813084,0.2149532710280373,3.439252336448598,0.037037037037037,0.5,0.1869158878504673,,,2.309429906542056,0.0,,,,80.1933992784275,,0.05,-0.03,0.02,0.2299999999999999,-0.1379999999999999,79.32,3.0,0.69,38.0,0.996,3,DF,sub
ITA-Serie A,2526,Cagliari,Yerry Mina,COL,DF,32.0,1994.0,22,22,1790,19.9,1,0,1,1,0,0,5,1,0.05,0.0,0.05,0.05,0.05,yerry mina||cagliari||2526,7,2,28.6,0.35,0.1,0.14,0.5,,,,,,,,,,,,,,,,81,60.3,81.0,17,0,,2,1.14,19,25,-6,-0.3,0.31,1,25,33,3,1,20,15,0,Italy,1,4.6,DF,False,True,False,False,,0.2299999999999999,0.0,0.2299999999999999,1.61,0.4599999999999999,0.2299999999999999,3.4673366834170856,4.623115577889448,0.2311557788944723,5.778894472361809,0.0526315789473684,0.5,0.5025125628140704,,,1.4060979899497488,0.0,,,,75.11921353714224,,0.01,0.0,0.01,0.0459999999999999,0.0,77.44,3.0,0.14,50.0,1.02,4,DF,sub
INT-Champions League,2526,Qarabağ,Kevin Medina,COL,DF,33.0,1993.0,10,10,870,9.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,kevin medina||qarabağ||2526,3,0,0.0,0.31,0.0,0.0,,,,,,,,,,,,,,,,,87,96.7,87.0,9,0,,0,1.47,16,28,-12,-1.24,4.76,0,6,19,0,1,17,15,0,Europe,1,5.5,DF,False,True,False,False,,0.0,0.0,0.0,1.705,0.0,0.0,8.505154639175258,9.63917525773196,0.5670103092783506,3.4020618556701034,0.0,0.0,0.2061855670103093,,,4.651567010309278,0.0,,,,93.34962511057032,,,,,,,74.68,1.0,0.0,,1.0,5,DF,sub
USA-MLS,2526,Minnesota Utd,Jefferson Díaz,COL,DF,26.0,2000.0,9,9,790,8.8,0,1,1,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11,jefferson díaz||minnesota utd||2026,9,4,44.4,1.03,0.46,0.0,0.0,,,,,,,,,,,,,,,,88,87.8,88.0,8,0,,0,1.78,9,12,-3,-0.34,-0.34,0,16,6,0,3,12,12,0,USA,2,2.8,DF,False,True,False,False,,0.0,0.308,0.308,2.884,1.288,0.0,3.8181818181818175,3.8181818181818175,0.9545454545454544,5.090909090909091,0.1111111111111111,0.0,0.3409090909090909,,,1.263954545454545,0.0,,,,74.32076700157026,,0.0,-0.03,-0.03,0.0,-0.084,74.45,3.0,0.0,,1.0,6,DF,sub
BEL-First Division A,2425,Genk,Carlos Cuesta,COL,DF,25.0,1999.0,10,7,611,6.8,1,0,1,1,0,0,3,0,0.15,0.0,0.15,0.15,0.15,carlos cuesta||genk||2425,5,2,40.0,0.74,0.29,0.2,0.5,,,,,,,,,,,,,,,,61,17.0,76.0,5,3,27.0,9,2.5,16,8,8,1.18,0.67,0,7,1,0,0,5,11,0,Belgium,2,3.2,DF,False,True,False,False,,0.48,0.0,0.48,2.368,0.928,0.48,5.176470588235294,2.3529411764705883,0.0,3.2941176470588243,0.0625,0.5,0.4411764705882353,,,1.8673823529411764,0.0,,,,77.71033480096152,,0.12,0.0,0.12,0.384,0.0,72.65,2.0,1.15,45.0,1.01,7,DF,sub
