league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,pick,position_group,role
USA-MLS,2324,Charlotte,Kristijan Kahlina,CRO,GK,31.0,1992.0,34,34,3060,34.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,kristijan kahlina||charlotte||2024,0,0,,0.0,0.0,,,37.0,1.09,151.0,115.0,75.5,14.0,9.0,11.0,12.0,35.3,1.0,0.0,1.0,0.0,100.0,90,100.0,90.0,34,0,,0,1.43,46,37,9,0.26,,0,0,5,0,0,1,0,0,USA,2,2.8,GK,True,False,False,False,75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0823529411764705,0.0,0.0,0.0,0.0,0.1470588235294117,,,,2.34,40.295,,,,88.85277796201721,,,,,,65.65,3.0,0.0,1,GK,starter
ESP-La Liga,2425,Las Palmas,Dinko Horkaš,CRO,GK,25.0,1999.0,13,11,1085,12.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,dinko horkaš||las palmas||2425,0,0,,0.0,0.0,,,19.0,1.58,53.0,36.0,66.0,2.0,0.0,9.0,1.0,9.1,2.0,1.0,1.0,0.0,50.0,83,31.7,90.0,11,2,48.0,23,0.54,9,19,-10,-0.83,-0.41,0,1,1,0,0,0,0,0,Spain,1,4.8,GK,True,False,False,False,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396694214876033,0.0,0.0,0.0826446280991735,,,,1.85,27.021,,,,59.5056487807035,,,,,,47.6,1.0,0.0,2,GK,backup
TUR-Super Lig,2526,Fatih Karagümrük,Ivo Grbić,CRO,GK,30.0,1996.0,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ivo grbić||fatih karagümrük||2526,0,0,,0.0,0.0,,,53.0,1.77,156.0,107.0,67.9,5.0,5.0,20.0,4.0,13.3,4.0,3.0,1.0,0.0,25.0,90,100.0,90.0,30,0,,0,0.67,27,53,-26,-0.87,,0,0,5,0,0,1,5,0,Turkey,2,3.1,GK,True,False,False,False,67.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5166666666666666,0.1033333333333333,0.0,0.0,0.0,0.0,0.1,,,,1.66,25.945,,,,57.12674935331962,,,,,,45.7,1.0,0.0,3,GK,sub
NED-Eredivisie,2324,Fortuna Sittard,Ivor Pandur,CRO,GK,23.0,2000.0,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ivor pandur||fortuna sittard||2324,0,0,,0.0,0.0,,,28.0,1.75,77.0,51.0,66.2,5.0,4.0,7.0,4.0,25.0,2.0,2.0,0.0,0.0,0.0,90,47.1,90.0,16,0,,0,1.19,17,28,-11,-0.69,-0.24,0,0,1,0,0,0,0,0,Netherlands,2,3.5,GK,True,False,False,False,66.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,,,,1.6800000000000002,25.244,,,,55.57692732860207,,,,,,44.46,1.0,0.0,4,GK,alternate
ITA-Serie A,2526,Pisa,Adrian Šemper,CRO,GK,28.0,1998.0,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,adrian šemper||pisa||2526,0,0,,0.0,0.0,,,31.0,1.55,93.0,64.0,68.8,1.0,9.0,10.0,4.0,20.0,2.0,2.0,0.0,0.0,0.0,90,60.6,90.0,20,0,,8,0.6,14,31,-17,-0.85,0.61,0,0,2,0,0,0,0,0,Italy,1,4.6,GK,True,False,False,False,68.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.88,25.2015,,,,55.48296522296654,,,,,,44.39,1.0,0.0,5,GK,alternate
BEL-First Division A,2425,Beerschot Wilrijk,Davor Matijas,CRO,GK,24.0,1999.0,13,12,1122,12.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,davor matijas||beerschot wilrijk||2425,0,0,,0.0,0.0,,,28.0,2.25,62.0,41.0,64.5,0.0,1.0,11.0,2.0,16.7,7.0,6.0,1.0,0.0,14.3,86,34.6,90.0,12,1,42.0,22,0.36,12,30,-18,-1.44,-0.76,0,1,4,0,0,0,1,0,Belgium,2,3.2,GK,True,False,False,False,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.0,0.256,0.0,0.0,0.24,,,,1.1800000000000002,24.301,,,,53.49207402003052,,,,,,42.79,1.0,0.0,6,GK,alternate
ENG-Premier League,2324,Manchester City,Joško Gvardiol,CRO,DF,21.0,2002.0,28,26,2328,25.9,4,1,5,4,0,0,3,0,0.15,0.04,0.19,0.15,0.19,joško gvardiol||manchester city||2324,32,14,43.8,1.24,0.54,0.13,0.29,,,,,,,,,,,,,,,,83,68.1,87.0,22,2,30.0,7,2.5,68,23,45,1.74,0.34,0,20,23,2,33,27,33,0,England,1,5.0,DF,False,True,False,False,,0.75,0.2,0.95,6.2,2.7,0.75,6.370656370656372,5.212355212355213,6.370656370656372,3.861003861003861,0.0735294117647058,0.29,0.1158301158301158,,,2.902861003861004,0.0,,,,83.52681367145628,,,,,,,81.5,3.0,0.0,1,DF,starter
NED-Eredivisie,2425,Ajax,Josip Šutalo,CRO,DF,24.0,2000.0,29,28,2450,27.2,2,0,2,2,0,0,3,0,0.07,0.0,0.07,0.07,0.07,josip šutalo||ajax||2425,7,2,28.6,0.26,0.07,0.29,1.0,,,,,,,,,,,,,,,,84,80.1,87.0,25,1,27.0,0,2.17,51,28,23,0.84,-0.93,0,13,15,0,3,65,18,0,Netherlands,2,3.5,DF,False,True,False,False,,0.245,0.0,0.245,0.91,0.245,0.245,2.316176470588235,8.363970588235293,0.3860294117647058,1.6727941176470589,0.0392156862745098,1.0,0.1102941176470588,,,2.525742647058824,0.0,,,,81.4084687378673,,0.02,0.0,0.02,0.07,0.0,79.49,3.0,0.21,2,DF,backup
GER-Bundesliga,2526,Bayern Munich,Josip Stanišić,CRO,DF,26.0,2000.0,22,17,1643,18.3,2,3,5,2,0,0,1,0,0.11,0.16,0.27,0.11,0.27,josip stanišić||bayern munich||2526,7,4,57.1,0.38,0.22,0.29,0.5,,,,,,,,,,,,,,,,75,60.9,88.0,14,5,29.0,1,2.64,71,21,50,2.74,0.18,0,7,11,4,31,17,19,0,Germany,1,4.7,DF,False,True,False,False,,0.517,0.752,1.269,1.786,1.034,0.517,4.879781420765028,4.366120218579235,7.961748633879782,1.7978142076502732,0.0704225352112676,0.5,0.0546448087431694,,,2.70396174863388,0.0,,,,82.40955904302137,,0.11,-0.0499999999999999,0.06,0.517,-0.235,76.04,2.0,1.55,3,DF,sub
ITA-Serie A,2425,Como,Ivan Smolčić,CRO,DF,23.0,2000.0,9,7,630,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ivan smolčić||como||2425,7,3,42.9,1.0,0.43,0.0,0.0,,,,,,,,,,,,,,,,70,18.4,85.0,6,2,18.0,6,1.44,8,8,0,0.0,0.1,0,11,5,0,4,10,9,0,Italy,1,4.6,DF,False,True,False,False,,0.0,0.0,0.0,4.6,1.978,0.0,5.914285714285715,6.571428571428571,2.628571428571428,7.228571428571428,0.0,0.0,0.2857142857142857,,,2.3992857142857145,0.0,,,,80.69813629706903,,,,,,,74.55,2.0,0.0,4,DF,sub
