league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,pick,position_group,role
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29.0,1994.0,38,38,3420,38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,jordan pickford||everton||2324,0,0,,0.0,0.0,,,51.0,1.34,164.0,121.0,73.8,13.0,9.0,16.0,10.0,26.3,8.0,8.0,0.0,0.0,0.0,90,100.0,90.0,38,0,,0,1.26,40,51,-11,-0.29,,0,1,6,0,0,0,0,1,England,1,5.0,GK,True,False,False,False,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131578947368421,0.0,0.0,0.131578947368421,,,,2.09,27.9225,,,,61.49875085671332,,,,,,72.55,3.0,0.0,1,GK,starter
ENG-Premier League,2425,Newcastle United,Nick Pope,ENG,GK,32.0,1992.0,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,nick pope||newcastle united||2425,0,0,,0.0,0.0,,,35.0,1.25,120.0,87.0,71.7,13.0,6.0,9.0,8.0,28.6,2.0,1.0,1.0,0.0,50.0,90,73.7,90.0,28,0,,3,1.61,45,35,10,0.36,-0.74,0,2,5,0,0,1,0,0,England,1,5.0,GK,True,False,False,False,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1785714285714285,0.0,0.3571428571428571,0.0,0.0,0.0714285714285714,,,,2.18,32.66400000000001,,,,71.98160553602621,0.0,0.0,0.0,0.0,0.0,65.47,3.0,0.0,2,GK,backup
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27.0,1997.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,dean henderson||crystal palace||2425,1,0,0.0,0.03,0.0,0.0,,51.0,1.34,152.0,102.0,67.1,13.0,14.0,11.0,11.0,28.9,2.0,1.0,1.0,0.0,50.0,90,100.0,90.0,38,0,,0,1.39,51,51,0,0.0,,0,0,2,0,0,1,1,0,England,1,5.0,GK,True,False,False,False,67.1,0.0,0.0,0.0,0.15,0.0,0.0,0.131578947368421,0.131578947368421,0.0,0.0,0.0,0.0,0.0789473684210526,,,,2.09,31.4325,,,,69.25891534567002,0.0,0.0,0.0,0.0,0.0,64.99,3.0,0.0,3,GK,sub
USA-MLS,2526,Houston Dynamo,Jonathan Bond,ENG,GK,33.0,1993.0,9,9,765,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,jonathan bond||houston dynamo||2026,0,0,,0.0,0.0,,,18.0,2.12,37.0,21.0,54.1,4.0,0.0,5.0,2.0,22.2,2.0,1.0,1.0,0.0,50.0,85,94.4,85.0,8,0,,0,1.33,11,18,-7,-0.82,-2.82,0,0,3,0,0,0,0,0,USA,2,2.8,GK,True,False,False,False,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.31,25.574500000000004,,,,56.30762087948532,0.0,0.0,0.0,0.0,0.0,52.65,2.0,0.0,4,GK,alternate
INT-Champions League,2324,Celtic,Joe Hart,ENG,GK,36.0,1987.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,joe hart||celtic||2324,0,0,,0.0,0.0,,,15.0,2.5,34.0,21.0,55.9,1.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,100.0,90,100.0,90.0,6,0,,0,0.67,5,15,-10,-1.67,,0,0,1,0,0,0,0,0,Europe,1,5.5,GK,True,False,False,False,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9300000000000002,27.0025,,,,59.46474762883863,,,,,,47.57,1.0,0.0,5,GK,alternate
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26.0,1998.0,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,aaron ramsdale||southampton||2425,0,0,,0.0,0.0,,,66.0,2.2,182.0,123.0,66.5,2.0,5.0,23.0,3.0,10.0,7.0,5.0,2.0,0.0,28.6,90,78.9,90.0,30,0,,0,0.37,21,66,-45,-1.5,0.38,0,1,4,0,0,1,0,0,England,1,5.0,GK,True,False,False,False,66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0666666666666666,,,,1.23,25.1745,,,,55.42327164997457,,,,,,44.34,1.0,0.0,6,GK,alternate
ENG-Premier League,2526,Newcastle United,Lewis Hall,ENG,DF,22.0,2004.0,26,21,1888,21.0,1,1,2,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,lewis hall||newcastle united||2526,22,5,22.7,1.05,0.24,0.05,0.2,,,,,,,,,,,,,,,,73,63.6,86.0,16,5,18.0,3,1.23,29,35,-6,-0.29,-0.54,0,15,37,0,92,26,28,0,England,1,5.0,DF,False,True,False,False,,0.25,0.25,0.5,5.25,1.2,0.25,6.666666666666666,6.190476190476191,21.904761904761905,3.571428571428572,0.0689655172413793,0.2,0.1428571428571428,,,2.7110000000000003,0.0,,,,82.44909422833871,,0.05,-0.11,-0.06,0.25,-0.55,85.31,3.0,0.75,1,DF,starter
ENG-Premier League,2526,Everton,Jarrad Branthwaite,ENG,DF,24.0,2002.0,9,6,594,6.6,1,0,1,1,0,0,1,0,0.15,0.0,0.15,0.15,0.15,jarrad branthwaite||everton||2526,6,2,33.3,0.91,0.3,0.17,0.5,,,,,,,,,,,,,,,,66,20.6,88.0,4,3,21.0,0,1.67,9,8,1,0.15,0.11,0,3,1,0,3,10,5,0,England,1,5.0,DF,False,True,False,False,,0.75,0.0,0.75,4.55,1.5,0.75,3.787878787878788,7.575757575757576,2.272727272727273,2.272727272727273,0.1111111111111111,0.5,0.1515151515151515,,,2.652560606060605,0.0,,,,82.1208291310805,,0.15,-0.04,0.1099999999999999,0.75,-0.2,83.32,3.0,2.25,2,DF,backup
ENG-Premier League,2425,Liverpool,Joe Gomez,ENG,DF,27.0,1997.0,9,6,519,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,joe gomez||liverpool||2425,3,2,66.7,0.52,0.35,0.0,0.0,,,,,,,,,,,,,,,,58,15.2,77.0,4,3,19.0,10,2.56,17,8,9,1.56,0.44,0,2,3,0,1,7,10,0,England,1,5.0,DF,False,True,False,False,,0.0,0.0,0.0,2.6,1.75,0.0,8.620689655172415,6.0344827586206895,0.8620689655172414,1.7241379310344829,0.0,0.0,0.1724137931034483,,,3.860758620689655,0.0,,,,88.90750524190229,,0.0,-0.05,-0.05,0.0,-0.25,83.19,3.0,0.0,3,DF,sub
ENG-Premier League,2425,West Ham United,Oliver Scarles,ENG,"MF,DF",18.0,2005.0,15,7,665,7.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,oliver scarles||west ham united||2425,3,0,0.0,0.41,0.0,0.0,,,,,,,,,,,,,,,,,44,19.4,70.0,2,8,22.0,6,1.13,6,9,-3,-0.41,0.02,0,5,2,1,15,11,9,0,England,1,5.0,DF,False,True,False,False,,0.0,0.0,0.0,2.05,0.0,0.0,6.081081081081081,7.432432432432432,10.135135135135132,3.378378378378378,0.0,0.0,0.1351351351351351,,,2.954783783783784,0.0,,,,83.81847371876862,,,,,,,82.3,2.0,0.0,4,DF,sub
