league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
ITA-Serie A,2526,Milan,Mike Maignan,FRA,GK,31.0,1995.0,32,32,2845,31.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,mike maignan||milan||2526,0,0,,0.0,0.0,,,27.0,0.85,107.0,87.0,79.4,18.0,9.0,5.0,13.0,40.6,8.0,5.0,2.0,1.0,28.6,89,95.8,89.0,31,0,,0,1.97,44,27,17,0.54,-2.34,0,0,6,0,0,1,0,0,Italy,1,4.6,GK,True,False,False,False,79.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1455696202531645,0.0,0.0,0.0,0.0,0.0949367088607594,,,,2.58,35.094,,,,77.35402710530389,0.0,0.0,0.0,0.0,0.0,79.2,3.0,0.0,71.0,1.062,1,GK,starter
FRA-Ligue 1,2425,Lens,Brice Samba,FRA,GK,30.0,1994.0,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,brice samba||lens||2425,0,0,,0.0,0.0,,,14.0,0.93,50.0,40.0,80.0,6.0,6.0,3.0,7.0,46.7,4.0,4.0,0.0,0.0,0.0,90,44.1,90.0,15,0,,0,1.6,19,14,5,0.33,0.44,0,0,2,0,0,1,0,0,France,1,4.3,GK,True,False,False,False,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2866666666666666,0.0,0.0,0.0,0.0,0.0666666666666666,,,,2.5,34.031000000000006,,,,75.00386902787913,0.0,0.0,0.0,0.0,0.0,63.36,2.0,0.0,3.0,0.926,2,GK,backup
FRA-Ligue 1,2526,Paris Saint-Germain,Lucas Chevalier,FRA,GK,25.0,2001.0,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,lucas chevalier||paris saint-germain||2526,0,0,,0.0,0.0,,,13.0,0.76,43.0,32.0,72.1,12.0,3.0,2.0,9.0,52.9,3.0,1.0,1.0,1.0,50.0,90,60.7,90.0,17,0,,10,2.29,33,13,20,1.18,-0.37,0,0,1,0,0,0,0,0,France,1,4.3,GK,True,False,False,False,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.67,37.822,,,,83.38528885056708,,,,,,63.11,1.0,0.0,13.0,0.946,3,GK,sub
FRA-Ligue 1,2526,Toulouse,Guillaume Restes,FRA,GK,21.0,2005.0,30,30,2669,29.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,guillaume restes||toulouse||2526,0,0,,0.0,0.0,,,41.0,1.38,112.0,76.0,67.9,10.0,7.0,13.0,9.0,30.0,5.0,5.0,0.0,0.0,0.0,89,98.9,89.0,29,0,,0,1.23,40,41,-1,-0.03,-0.03,0,0,8,0,0,1,0,0,France,1,4.3,GK,True,False,False,False,67.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1447811447811447,0.0,0.0,0.0,0.0,0.101010101010101,,,,2.0500000000000003,26.878,,,,59.189493931153415,0.0,-0.04,-0.04,0.0,-0.172,60.52,3.0,0.0,,1.0,4,GK,alternate
FRA-Ligue 1,2526,Lens,Robin Risser,FRA,GK,22.0,2004.0,29,29,2610,29.0,0,1,1,0,0,0,2,0,0.0,0.03,0.03,0.0,0.03,robin risser||lens||2526,0,0,,0.0,0.0,,,29.0,1.0,95.0,71.0,72.6,20.0,2.0,7.0,10.0,34.5,6.0,3.0,2.0,1.0,40.0,90,100.0,90.0,29,0,,0,2.14,57,29,28,0.97,,0,0,5,0,0,0,0,0,France,1,4.3,GK,True,False,False,False,72.6,0.0,0.129,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175438596491228,0.0,0.0689655172413793,,,,2.43,33.2875,,,,73.36008489752605,,,,,,58.69,1.0,0.0,,1.0,5,GK,alternate
BEL-First Division A,2526,Dender,Gauthier Gallon,FRA,GK,33.0,1993.0,13,13,1145,12.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,gauthier gallon||dender||2526,0,0,,0.0,0.0,,,23.0,1.81,62.0,42.0,64.5,2.0,3.0,8.0,4.0,30.8,3.0,1.0,2.0,0.0,66.7,88,38.6,88.0,12,0,,0,0.69,11,23,-12,-0.94,-0.06,0,1,1,0,0,0,0,0,Belgium,2,3.2,GK,True,False,False,False,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2519685039370078,0.0,0.0,0.0787401574803149,,,,1.62,32.576,,,,71.78704870553382,,,,,,57.43,1.0,0.0,,1.0,6,GK,alternate
GER-Bundesliga,2425,Bayern Munich,Dayot Upamecano,FRA,DF,25.0,1998.0,20,20,1759,19.5,2,0,2,2,0,0,6,0,0.1,0.0,0.1,0.1,0.1,dayot upamecano||bayern munich||2425,13,6,46.2,0.67,0.31,0.15,0.33,,,,,,,,,,,,,,,,88,57.5,88.0,16,0,,2,2.5,60,16,44,2.25,0.66,0,20,11,0,6,31,25,0,Germany,1,4.7,DF,False,True,False,False,,0.47,0.0,0.47,3.1490000000000005,1.457,0.47,6.025641025641026,7.471794871794872,1.4461538461538463,4.82051282051282,0.0333333333333333,0.33,0.3076923076923077,,,3.4259230769230777,0.0,,,,86.46495198383978,,0.05,0.0,0.05,0.235,0.0,90.67,3.0,0.7,79.0,1.078,1,DF,starter
ENG-Premier League,2526,Aston Villa,Lucas Digne,FRA,DF,33.0,1993.0,27,19,1634,18.2,0,4,4,0,0,0,3,0,0.0,0.22,0.22,0.0,0.22,lucas digne||aston villa||2526,12,5,41.7,0.66,0.28,0.0,0.0,,,,,,,,,,,,,,,,61,56.7,79.0,8,8,16.0,5,1.78,24,18,6,0.33,0.4,0,12,11,3,93,11,23,0,England,1,5.0,DF,False,True,False,False,,0.0,1.1,1.1,3.3000000000000003,1.4,0.0,6.318681318681318,3.0219780219780223,25.54945054945055,3.2967032967032965,0.1666666666666666,0.0,0.1648351648351648,,,2.123252747252747,0.0,,,,79.1476070622258,,0.0,0.07,0.07,0.0,0.3500000000000001,88.38,3.0,0.0,125.0,1.12,2,DF,backup
ENG-Premier League,2425,Liverpool,Ibrahima Konaté,FRA,DF,25.0,1999.0,31,30,2560,28.4,1,2,3,1,0,0,5,0,0.04,0.07,0.11,0.04,0.11,ibrahima konaté||liverpool||2425,19,4,21.1,0.67,0.14,0.05,0.25,,,,,,,,,,,,,,,,83,74.9,84.0,24,1,45.0,1,2.26,60,28,32,1.13,-0.24,0,27,20,0,0,19,28,0,England,1,5.0,DF,False,True,False,False,,0.2,0.35,0.55,3.35,0.7000000000000001,0.2,4.929577464788732,3.345070422535211,0.0,4.753521126760564,0.05,0.25,0.176056338028169,,,1.774507042253521,0.0,,,,77.18863666481404,,0.04,0.07,0.11,0.2,0.35,85.61,3.0,0.6,59.0,1.038,3,DF,sub
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23.0,2001.0,35,35,3039,33.8,2,0,2,2,0,0,2,1,0.06,0.0,0.06,0.06,0.06,william saliba||arsenal||2425,6,3,50.0,0.18,0.09,0.33,0.67,,,,,,,,,,,,,,,,87,88.9,87.0,32,0,,0,1.97,62,27,35,1.04,1.04,0,28,17,1,3,22,34,0,England,1,5.0,DF,False,True,False,False,,0.3,0.0,0.3,0.8999999999999999,0.4499999999999999,0.3,5.029585798816568,3.254437869822486,0.4437869822485207,4.142011834319527,0.032258064516129,0.67,0.1479289940828402,,,2.013408284023669,0.0,,,,78.53058999592007,,0.0099999999999999,-0.03,-0.02,0.0499999999999999,-0.15,84.86,3.0,0.15,55.0,1.03,4,DF,sub
