league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
GER-Bundesliga,2526,Hoffenheim,Oliver Baumann,GER,GK,36.0,1990.0,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,oliver baumann||hoffenheim||2526,0,0,,0.0,0.0,,,44.0,1.47,129.0,89.0,69.0,16.0,6.0,8.0,6.0,20.0,6.0,4.0,0.0,2.0,0.0,90,100.0,90.0,30,0,,0,1.8,59,44,15,0.5,,0,0,5,0,0,0,0,0,Germany,1,4.7,GK,True,False,False,False,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,,,,1.96,25.19,,,,55.45754018261812,0.0,0.0,0.0,0.0,0.0,68.14,3.0,0.0,26.0,0.972,1,GK,starter
GER-Bundesliga,2425,Eintracht Frankfurt,Kevin Trapp,GER,GK,34.0,1990.0,26,26,2295,25.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,kevin trapp||eintracht frankfurt||2425,0,0,,0.0,0.0,,,34.0,1.33,114.0,82.0,70.2,12.0,8.0,6.0,6.0,23.1,2.0,0.0,2.0,0.0,100.0,88,75.0,88.0,25,0,,0,1.69,50,34,16,0.63,-0.08,0,0,1,0,0,0,0,0,Germany,1,4.7,GK,True,False,False,False,70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.1,36.193,,,,79.78377661338463,0.0,0.0,0.0,0.0,0.0,65.46,2.0,0.0,36.0,0.992,2,GK,backup
NED-Eredivisie,2526,Feyenoord,Timon Wellenreuther,GER,GK,31.0,1995.0,29,29,2610,29.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,timon wellenreuther||feyenoord||2526,0,0,,0.0,0.0,,,41.0,1.41,121.0,83.0,68.6,15.0,7.0,7.0,8.0,27.6,3.0,3.0,0.0,0.0,0.0,90,96.7,90.0,29,0,,0,1.79,61,41,20,0.69,-0.31,0,1,13,0,0,1,0,0,Netherlands,2,3.5,GK,True,False,False,False,68.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206896551724137,0.0,0.1206896551724137,0.0,0.0,0.2068965517241379,,,,2.0200000000000005,26.558499999999995,,,,58.48311998408171,0.0,-0.03,-0.03,0.0,-0.105,63.64,3.0,0.0,11.0,0.942,3,GK,sub
GER-Bundesliga,2526,Stuttgart,Alexander Nübel,GER,GK,30.0,1996.0,30,30,2700,30.0,0,1,1,0,0,0,0,0,0.0,0.03,0.03,0.0,0.03,alexander nübel||stuttgart||2526,0,0,,0.0,0.0,,,42.0,1.4,125.0,90.0,72.0,17.0,5.0,8.0,11.0,36.7,8.0,7.0,1.0,0.0,12.5,90,100.0,90.0,30,0,,0,1.87,62,42,20,0.67,,0,0,7,0,0,1,0,0,Germany,1,4.7,GK,True,False,False,False,72.0,0.0,0.141,0.141,0.0,0.0,0.0,0.0,0.1566666666666666,0.0,0.0,0.0161290322580645,0.0,0.0,,,,2.03,30.6975,,,,67.63392363644402,0.0,0.0,0.0,0.0,0.0,63.35,3.0,0.0,,1.0,4,GK,alternate
GER-Bundesliga,2526,Gladbach,Moritz Nicolas,GER,GK,29.0,1997.0,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,moritz nicolas||gladbach||2526,0,0,,0.0,0.0,,,50.0,1.67,166.0,121.0,72.9,7.0,10.0,13.0,10.0,33.3,5.0,5.0,0.0,0.0,0.0,90,100.0,90.0,30,0,,0,1.03,36,50,-14,-0.47,,0,0,2,0,0,0,1,0,Germany,1,4.7,GK,True,False,False,False,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1566666666666666,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,,,,1.7600000000000002,28.97,,,,63.81464040149456,0.0,0.0,0.0,0.0,0.0,61.45,3.0,0.0,,1.0,5,GK,alternate
GER-Bundesliga,2526,Augsburg,Finn Dahmen,GER,GK,28.0,1998.0,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,finn dahmen||augsburg||2526,1,0,0.0,0.03,0.0,0.0,,54.0,1.8,135.0,88.0,64.4,10.0,6.0,14.0,5.0,16.7,7.0,6.0,1.0,0.0,14.3,90,100.0,90.0,30,0,,0,1.2,38,54,-16,-0.53,,0,0,8,0,0,0,0,0,Germany,1,4.7,GK,True,False,False,False,64.4,0.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,,,,1.63,24.4975,,,,53.926510579027656,0.0,0.0,0.0,0.0,0.0,58.32,3.0,0.0,19.0,0.958,6,GK,alternate
GER-Bundesliga,2526,Dortmund,Nico Schlotterbeck,GER,DF,27.0,1999.0,24,24,2160,24.0,4,1,5,4,0,0,7,0,0.17,0.04,0.21,0.17,0.21,nico schlotterbeck||dortmund||2526,31,8,25.8,1.29,0.33,0.13,0.5,,,,,,,,,,,,,,,,90,80.0,90.0,24,0,,0,2.08,46,26,20,0.83,-0.83,0,26,22,1,22,20,31,0,Germany,1,4.7,DF,False,True,False,False,,0.799,0.188,0.987,6.063000000000001,1.5510000000000002,0.799,6.070833333333334,3.916666666666667,4.308333333333334,5.091666666666667,0.108695652173913,0.5,0.2916666666666667,,,2.014625,0.0,,,,78.53742451902824,,0.17,-0.1399999999999999,0.03,0.799,-0.6579999999999999,93.66,3.0,2.4,39.0,0.998,1,DF,starter
GER-Bundesliga,2526,Stuttgart,Maximilian Mittelstädt,GER,"DF,MF",29.0,1997.0,28,21,1911,21.2,5,4,9,2,3,3,3,0,0.24,0.19,0.42,0.09,0.28,maximilian mittelstädt||stuttgart||2526,27,14,51.9,1.27,0.66,0.07,0.14,,,,,,,,,,,,,,,,68,70.8,84.0,11,7,20.0,1,1.79,41,26,15,0.71,0.14,0,10,22,2,97,32,37,0,Germany,1,4.7,DF,False,True,False,False,,1.128,0.893,1.974,5.969,3.1020000000000003,0.423,8.202830188679247,7.094339622641511,21.50471698113208,2.216981132075472,0.2195121951219512,0.14,0.1415094339622641,,,3.758518867924528,0.0,,,,88.33320526849897,,0.1999999999999999,-0.07,0.13,0.94,-0.3290000000000002,91.73,3.0,2.5,,1.0,2,DF,backup
GER-Bundesliga,2324,Leverkusen,Jonathan Tah,GER,DF,27.0,1996.0,31,30,2631,29.2,4,1,5,4,0,0,6,0,0.14,0.03,0.17,0.14,0.17,jonathan tah||leverkusen||2324,26,10,38.5,0.89,0.34,0.15,0.4,,,,,,,,,,,,,,,,85,86.0,87.0,27,1,19.0,2,2.68,78,21,57,1.95,0.27,0,33,4,1,3,22,8,0,Germany,1,4.7,DF,False,True,False,False,,0.6580000000000001,0.141,0.799,4.183,1.598,0.6580000000000001,1.2876712328767124,3.541095890410959,0.4828767123287671,5.311643835616439,0.0641025641025641,0.4,0.2054794520547945,,,1.0962534246575342,0.0,,,,73.3787581781072,,,,,,,89.54,2.0,0.0,77.0,1.074,3,DF,sub
GER-Bundesliga,2526,Dortmund,Niklas Süle,GER,DF,31.0,1995.0,10,7,483,5.4,0,1,1,0,0,0,3,0,0.0,0.19,0.19,0.0,0.19,niklas süle||dortmund||2526,2,1,50.0,0.37,0.19,0.0,0.0,,,,,,,,,,,,,,,,48,17.9,61.0,1,3,18.0,8,2.0,12,7,5,0.93,-0.08,0,8,1,0,6,6,5,0,Germany,1,4.7,DF,False,True,False,False,,0.0,0.893,0.893,1.739,0.893,0.0,4.351851851851851,5.222222222222221,5.222222222222221,6.962962962962963,0.0833333333333333,0.0,0.5555555555555555,,,1.843444444444444,0.0,,,,77.57587105431509,,0.0,0.19,0.19,0.0,0.893,86.26,3.0,0.0,97.0,1.114,4,DF,sub
GER-Bundesliga,2526,RB Leipzig,David Raum,GER,DF,28.0,1998.0,29,28,2485,27.6,3,6,9,2,1,1,6,0,0.11,0.22,0.33,0.07,0.29,david raum||rb leipzig||2526,24,8,33.3,0.87,0.29,0.08,0.25,,,,,,,,,,,,,,,,86,92.0,88.0,25,1,12.0,0,2.0,55,34,21,0.76,0.34,0,29,17,6,244,33,35,0,Germany,1,4.7,DF,False,True,False,False,,0.517,1.034,1.5510000000000002,4.089,1.363,0.329,5.960144927536232,5.619565217391305,41.55072463768117,4.938405797101449,0.1636363636363636,0.25,0.217391304347826,,,2.593217391304348,0.0,,,,81.78748710183596,,0.06,-0.03,0.03,0.282,-0.141,85.64,3.0,0.85,52.0,1.024,5,DF,sub
