league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
ITA-Serie A,2526,Parma,Zion Suzuki,JPN,GK,24.0,2002.0,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,zion suzuki||parma||2526,0,0,,0.0,0.0,,,22.0,1.37,69.0,49.0,69.6,2.0,7.0,7.0,4.0,25.0,2.0,1.0,1.0,0.0,50.0,90,48.5,90.0,16,0,,2,0.81,11,22,-11,-0.69,-0.39,0,0,4,0,0,0,0,0,Italy,1,4.6,GK,True,False,False,False,69.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,,,,2.06,31.3365,,,,69.04667153058743,0.0,0.0,0.0,0.0,0.0,73.96,2.0,0.0,27.0,0.974,1,GK,starter
USA-MLS,2526,Vancouver W'caps,Yohei Takaoka,JPN,GK,30.0,1996.0,9,9,810,9.0,0,1,1,0,0,0,0,0,0.0,0.11,0.11,0.0,0.11,yohei takaoka||vancouver w'caps||2026,0,0,,0.0,0.0,,,5.0,0.56,21.0,16.0,76.2,8.0,0.0,1.0,5.0,55.6,0.0,0.0,0.0,0.0,,90,100.0,90.0,9,0,,0,2.67,25,5,20,2.22,,0,1,4,0,0,0,0,0,USA,2,2.8,GK,True,False,False,False,76.2,0.0,0.308,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.311111111111111,0.04,0.0,0.0,,,,2.87,34.697500000000005,,,,76.47741593155139,0.0,0.11,0.11,0.0,0.308,71.03,3.0,0.0,,1.0,2,GK,backup
BEL-First Division A,2526,Antwerp,Taishi Nozawa,JPN,GK,24.0,2002.0,25,25,2204,24.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,taishi nozawa||antwerp||2526,0,0,,0.0,0.0,,,26.0,1.06,96.0,74.0,76.0,9.0,4.0,12.0,7.0,28.0,4.0,3.0,1.0,0.0,25.0,88,72.0,88.0,23,0,,5,1.24,27,26,1,0.04,0.15,0,0,7,0,0,0,2,0,Belgium,2,3.2,GK,True,False,False,False,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612244897959183,0.0,0.0,0.0,0.0,0.0,0.0408163265306122,,,,2.37,31.515000000000004,,,,69.4413123742566,,,,,,55.55,1.0,0.0,,1.0,3,GK,sub
BEL-First Division A,2526,Sint-Truiden,Leo Kokubo,JPN,GK,25.0,2001.0,34,34,3060,34.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,leo kokubo||sint-truiden||2526,0,0,,0.0,0.0,,,38.0,1.12,137.0,102.0,74.5,19.0,4.0,11.0,9.0,26.5,3.0,3.0,0.0,0.0,0.0,90,100.0,90.0,34,0,,0,1.79,50,38,12,0.35,,0,1,11,0,0,0,3,0,Belgium,2,3.2,GK,True,False,False,False,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2823529411764706,0.0,0.0,0.0941176470588235,0.0,0.0,0.1470588235294117,,,,2.31,28.2275,,,,62.17306714421525,0.0,0.0,0.0,0.0,0.0,52.13,2.0,0.0,19.0,0.958,4,GK,alternate
POR-Primeira Liga,2324,Portimonense,Kosuke Nakamura,JPN,GK,28.0,1995.0,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,kosuke nakamura||portimonense||2324,0,0,,0.0,0.0,,,38.0,1.9,95.0,59.0,62.1,4.0,7.0,9.0,2.0,10.0,3.0,2.0,0.0,1.0,0.0,90,58.8,90.0,20,0,,7,0.95,24,38,-14,-0.7,0.66,0,0,1,0,0,0,0,1,Portugal,2,3.4,GK,True,False,False,False,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,,1.5300000000000002,21.1115,,,,46.4404943512193,,,,,,35.74,1.0,0.0,21.0,0.962,5,GK,alternate
USA-MLS,2425,LA Galaxy,Miki Yamane,JPN,DF,31.0,1993.0,31,24,2216,24.6,1,4,5,1,0,0,4,0,0.04,0.16,0.2,0.04,0.2,miki yamane||la galaxy||2025,11,3,27.3,0.45,0.12,0.09,0.33,,,,,,,,,,,,,,,,71,72.4,86.0,16,7,23.0,1,0.97,34,50,-16,-0.65,-0.22,0,19,10,2,47,32,37,1,USA,2,2.8,DF,False,True,False,False,,0.1119999999999999,0.4479999999999999,0.5599999999999999,1.26,0.3359999999999999,0.1119999999999999,4.211382113821138,3.642276422764228,5.349593495934959,2.16260162601626,0.1470588235294117,0.33,0.1626016260162601,,,1.5760243902439026,0.0,,,,76.07372217522203,,0.04,0.04,0.08,0.1119999999999999,0.1119999999999999,79.91,3.0,0.34,,1.0,1,DF,starter
ENG-Premier League,2324,Arsenal,Takehiro Tomiyasu,JPN,DF,24.0,1998.0,22,10,1149,12.8,2,1,3,2,0,0,2,1,0.16,0.08,0.23,0.16,0.23,takehiro tomiyasu||arsenal||2324,17,3,17.6,1.33,0.23,0.12,0.67,,,,,,,,,,,,,,,,52,33.6,85.0,7,12,25.0,1,2.41,30,10,20,1.57,-0.1,1,14,8,1,14,18,8,0,England,1,5.0,DF,False,True,False,False,,0.8,0.4,1.15,6.65,1.15,0.8,3.125,7.03125,5.46875,5.46875,0.1,0.67,0.546875,,,2.26384375,0.0,,,,79.93733323971351,,,,,,,77.49,1.0,0.0,81.0,1.082,2,DF,backup
BEL-First Division A,2425,Sint-Truiden,Shogo Taniguchi,JPN,DF,33.0,1991.0,14,12,951,10.6,1,0,1,1,0,0,1,1,0.09,0.0,0.09,0.09,0.09,shogo taniguchi||sint-truiden||2425,5,1,20.0,0.47,0.09,0.2,1.0,,,,,,,,,,,,,,,,68,29.4,77.0,10,2,12.0,0,1.29,16,15,1,0.09,0.76,0,5,3,0,0,14,10,0,Belgium,2,3.2,DF,False,True,False,False,,0.288,0.0,0.288,1.504,0.288,0.288,3.018867924528302,4.226415094339624,0.0,1.509433962264151,0.0625,1.0,0.3773584905660377,,,1.7735094339622643,0.0,,,,77.18303291089602,,,,,,,76.91,2.0,0.0,32.0,0.984,3,DF,sub
GER-Bundesliga,2324,Gladbach,Ko Itakura,JPN,"DF,MF",26.0,1997.0,20,18,1596,17.7,3,0,3,3,0,0,9,0,0.17,0.0,0.17,0.17,0.17,ko itakura||gladbach||2324,21,7,33.3,1.18,0.39,0.14,0.43,,,,,,,,,,,,,,,,80,52.2,87.0,13,2,20.0,0,0.8,23,35,-12,-0.68,-0.74,0,28,4,0,5,23,20,0,Germany,1,4.7,DF,False,True,False,False,,0.799,0.0,0.799,5.546,1.833,0.799,5.3107344632768365,6.107344632768362,1.3276836158192091,7.435028248587571,0.1304347826086956,0.43,0.5084745762711864,,,1.8385932203389823,0.0,,,,77.54862081358787,,,,,,,76.38,2.0,0.0,77.0,1.074,4,DF,sub
BEL-First Division A,2425,Gent,Tsuyoshi Watanabe,JPN,DF,27.0,1997.0,34,34,3052,33.9,2,2,4,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,tsuyoshi watanabe||gent||2425,31,8,25.8,0.91,0.24,0.06,0.25,,,,,,,,,,,,,,,,90,84.8,90.0,33,0,,1,1.29,37,50,-13,-0.38,0.77,0,23,15,0,2,38,27,0,Belgium,2,3.2,DF,False,True,False,False,,0.192,0.192,0.384,2.9120000000000004,0.768,0.192,2.548672566371682,3.587020648967552,0.1887905604719764,2.1710914454277286,0.1081081081081081,0.25,0.1179941002949852,,,1.3504144542772862,0.0,,,,74.80642861551628,,0.0,-0.03,-0.02,0.0,-0.0959999999999999,75.94,2.0,0.0,,1.0,5,DF,sub
