league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
SAU-Pro League,2526,Al-Hilal,Yassine Bounou,MAR,GK,35.0,1991.0,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,yassine bounou||al-hilal||2526,0,0,,0.0,0.0,,,18.0,0.9,52.0,35.0,69.2,13.0,7.0,0.0,10.0,50.0,2.0,2.0,0.0,0.0,0.0,90,71.4,90.0,20,0,,0,2.3,54,18,36,1.8,0.05,0,0,1,0,0,0,0,0,Saudi Arabia,2,2.7,GK,True,False,False,False,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.53,31.4,,,,69.18706197077226,0.0,0.0,0.0,0.0,0.0,64.1,3.0,0.0,,1.0,1,GK,starter
SAU-Pro League,2324,Al-Wehda,Munir,MAR,GK,34.0,1989.0,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,munir||al-wehda||2324,0,0,,0.0,0.0,,,47.0,1.74,140.0,97.0,68.6,7.0,6.0,14.0,2.0,7.4,4.0,3.0,1.0,0.0,25.0,90,79.4,90.0,27,0,,0,1.0,33,47,-14,-0.52,-0.38,0,0,5,0,0,0,0,0,Saudi Arabia,2,2.7,GK,True,False,False,False,68.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.6900000000000002,24.9255,,,,54.87276425460414,,,,,,43.9,1.0,0.0,,1.0,2,GK,backup
FRA-Ligue 1,2324,Strasbourg,Alaa Bellaarouch,MAR,GK,21.0,2002.0,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,alaa bellaarouch||strasbourg||2324,0,0,,0.0,0.0,,,26.0,1.73,59.0,37.0,61.0,4.0,2.0,9.0,2.0,13.3,4.0,3.0,1.0,0.0,25.0,90,44.1,90.0,15,0,,19,0.93,18,26,-8,-0.53,-0.32,0,0,3,0,0,0,0,0,France,1,4.3,GK,True,False,False,False,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,,,,1.7000000000000002,23.837000000000003,,,,52.46622891379808,,,,,,39.87,1.0,0.0,15.0,0.95,3,GK,sub
FRA-Ligue 1,2526,Marseille,Nayef Aguerd,MAR,DF,30.0,1996.0,16,16,1396,15.5,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,nayef aguerd||marseille||2526,10,2,20.0,0.64,0.13,0.1,0.5,,,,,,,,,,,,,,,,87,51.7,87.0,13,0,,1,1.94,33,17,16,1.03,0.89,0,21,6,0,2,21,16,0,France,1,4.3,DF,False,True,False,False,,0.258,0.0,0.258,2.752,0.5589999999999999,0.258,4.438709677419355,5.825806451612903,0.5548387096774193,5.825806451612903,0.0303030303030303,0.5,0.2580645161290322,,,2.3101451612903228,0.0,,,,80.19741699924349,,,,,,,80.22,1.0,0.0,61.0,1.042,1,DF,starter
FRA-Ligue 1,2324,Paris Saint-Germain,Achraf Hakimi,MAR,"DF,MF",24.0,1998.0,25,20,1932,21.5,4,5,9,4,0,0,3,0,0.19,0.23,0.42,0.19,0.42,achraf hakimi||paris saint-germain||2324,42,12,28.6,1.96,0.56,0.1,0.33,,,,,,,,,,,,,,,,77,63.1,88.0,17,5,33.0,3,2.04,52,24,28,1.3,-0.29,0,22,25,3,79,12,18,0,France,1,4.3,DF,False,True,False,False,,0.817,0.989,1.806,8.427999999999999,2.408,0.817,3.6,2.4,15.8,4.4,0.173076923076923,0.33,0.1395348837209302,,,1.2695232558139535,0.0,,,,74.35204749790172,,,,,,,78.28,3.0,0.0,,1.0,2,DF,backup
ENG-Premier League,2526,Manchester Utd,Noussair Mazraoui,MAR,"DF,MF",29.0,1997.0,17,9,777,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,noussair mazraoui||manchester utd||2526,5,0,0.0,0.58,0.0,0.0,,,,,,,,,,,,,,,,,46,26.2,70.0,2,8,19.0,4,1.94,16,9,7,0.81,0.56,0,12,13,0,12,8,11,0,England,1,5.0,DF,False,True,False,False,,0.0,0.0,0.0,2.9,0.0,0.0,6.395348837209303,4.651162790697675,6.976744186046512,6.976744186046512,0.0,0.0,0.3488372093023256,,,2.292511627906977,0.0,,,,80.09836611659586,,0.0,-0.03,-0.03,0.0,-0.15,74.89,2.0,0.0,37.0,0.994,3,DF,sub
SAU-Pro League,2526,Al-Fateh,Marwane Saâdane,MAR,"DF,MF",34.0,1992.0,25,24,2134,23.7,0,1,1,0,0,0,7,0,0.0,0.04,0.04,0.0,0.04,marwane saâdane||al-fateh||2526,15,2,13.3,0.63,0.08,0.0,0.0,,,,,,,,,,,,,,,,85,84.7,88.0,21,1,18.0,0,1.0,28,45,-17,-0.72,-1.65,0,19,14,2,3,34,21,1,Saudi Arabia,2,2.7,DF,False,True,False,False,,0.0,0.108,0.108,1.701,0.216,0.0,2.39240506329114,3.873417721518988,0.3417721518987342,2.1645569620253164,0.0357142857142857,0.0,0.2953586497890295,,,0.9437320675105486,0.0,,,,72.52201694992586,,0.0,0.04,0.04,0.0,0.108,73.83,3.0,0.0,,1.0,4,DF,sub
BEL-First Division A,2425,Genk,Zakaria El Ouahdi,MAR,DF,22.0,2001.0,36,35,3090,34.3,6,2,8,6,0,0,7,0,0.17,0.06,0.23,0.17,0.23,zakaria el ouahdi||genk||2425,55,25,45.5,1.6,0.73,0.11,0.24,,,,,,,,,,,,,,,,86,85.8,88.0,23,1,27.0,1,2.11,59,36,23,0.67,0.32,0,32,32,3,62,36,42,0,Belgium,2,3.2,DF,False,True,False,False,,0.544,0.192,0.7360000000000001,5.120000000000001,2.336,0.544,3.918367346938776,3.35860058309038,5.784256559766765,2.9854227405247817,0.135593220338983,0.24,0.2040816326530612,,,1.6924956268221576,0.0,,,,76.72796307722038,,0.17,-0.13,0.04,0.544,-0.4160000000000001,73.65,3.0,1.63,21.0,0.962,5,DF,sub
ESP-La Liga,2526,Espanyol,Omar El Hilali,MAR,DF,23.0,2003.0,29,26,2274,25.3,0,2,2,0,0,0,7,0,0.0,0.08,0.08,0.0,0.08,omar el hilali||espanyol||2526,1,0,0.0,0.04,0.0,0.0,,,,,,,,,,,,,,,,,78,81.5,86.0,20,3,14.0,1,1.31,29,40,-11,-0.44,-0.44,0,34,21,1,44,31,44,0,Spain,1,4.8,DF,False,True,False,False,,0.0,0.384,0.384,0.192,0.0,0.0,8.347826086956522,5.881422924901186,8.347826086956522,6.450592885375494,0.0689655172413793,0.0,0.2766798418972332,,,2.744418972332016,0.0,,,,82.63681489864916,,0.0,0.02,0.02,0.0,0.096,73.37,2.0,0.0,12.0,0.944,6,DF,sub
NED-Eredivisie,2425,Utrecht,Souffian El Karouani,MAR,DF,23.0,2000.0,34,34,2971,33.0,2,8,10,2,0,0,3,0,0.06,0.24,0.3,0.06,0.3,souffian el karouani||utrecht||2425,38,12,31.6,1.15,0.36,0.05,0.17,,,,,,,,,,,,,,,,87,97.1,87.0,30,0,,0,1.88,60,44,16,0.48,-0.53,0,43,43,2,287,31,57,0,Netherlands,2,3.5,DF,False,True,False,False,,0.21,0.84,1.05,4.025,1.26,0.21,6.045454545454546,3.287878787878788,30.43939393939394,4.5606060606060606,0.1666666666666666,0.17,0.0909090909090909,,,1.889227272727273,0.0,,,,77.83304183528872,,0.06,0.13,0.19,0.21,0.4549999999999999,72.84,3.0,0.63,4.0,0.928,7,DF,sub
ENG-Premier League,2526,Fulham,Issa Diop,MAR,DF,29.0,1997.0,10,6,596,6.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,issa diop||fulham||2526,1,0,0.0,0.15,0.0,0.0,,,,,,,,,,,,,,,,,60,20.1,89.0,5,4,15.0,10,1.3,8,11,-3,-0.45,-0.45,0,7,3,0,1,4,2,0,England,1,5.0,DF,False,True,False,False,,0.0,0.0,0.0,0.75,0.0,0.0,1.5151515151515151,3.0303030303030303,0.7575757575757576,5.303030303030303,0.0,0.0,0.303030303030303,,,0.4334090909090907,0.0,,,,69.65543654491836,,0.0,0.0,0.0,0.0,0.0,72.57,3.0,0.0,40.0,1.0,8,DF,sub
