league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
ENG-Premier League,2526,Brighton,Bart Verbruggen,NED,GK,24.0,2002.0,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,bart verbruggen||brighton||2526,0,0,,0.0,0.0,,,39.0,1.18,127.0,92.0,73.2,12.0,11.0,10.0,8.0,24.2,6.0,5.0,1.0,0.0,16.7,90,100.0,90.0,33,0,,0,1.42,45,39,6,0.18,,0,2,2,0,0,0,1,1,England,1,5.0,GK,True,False,False,False,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1515151515151515,0.0,0.0,0.303030303030303,0.0,0.0,0.0909090909090909,,,,2.25,29.0325,,,,63.9528199686056,0.0,-0.03,-0.03,0.0,-0.15,70.82,3.0,0.0,,1.0,1,GK,starter
BEL-First Division A,2526,Union SG,Kjell Scherpen,NED,GK,26.0,2000.0,26,26,2295,25.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,kjell scherpen||union sg||2526,0,0,,0.0,0.0,,,11.0,0.43,58.0,50.0,87.9,17.0,7.0,2.0,15.0,57.7,4.0,4.0,0.0,0.0,0.0,88,75.0,88.0,25,0,,2,2.23,35,11,24,0.94,-0.47,0,0,2,0,0,1,0,0,Belgium,2,3.2,GK,True,False,False,False,87.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1254901960784313,0.0,0.0,0.0,0.0,0.0392156862745098,,,,3.0,38.5895,,,,85.08213393469082,,,,,,66.03,1.0,0.0,25.0,0.97,2,GK,backup
NED-Eredivisie,2526,Sparta Rotterdam,Joel Drommel,NED,GK,30.0,1996.0,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,joel drommel||sparta rotterdam||2526,1,0,0.0,0.03,0.0,0.0,,49.0,1.63,169.0,122.0,71.6,12.0,6.0,12.0,11.0,36.7,3.0,1.0,2.0,0.0,66.7,90,100.0,90.0,30,0,,0,1.4,35,49,-14,-0.47,,0,1,5,0,0,0,0,0,Netherlands,2,3.5,GK,True,False,False,False,71.6,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.1166666666666666,0.0,0.0,0.0333333333333333,,,,1.8000000000000005,35.94,,,,79.22442572571909,,,,,,60.34,1.0,0.0,16.0,0.952,3,GK,sub
NED-Eredivisie,2526,Fortuna Sittard,Mattijs Branderhorst,NED,GK,33.0,1993.0,21,21,1890,21.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,mattijs branderhorst||fortuna sittard||2526,0,0,,0.0,0.0,,,36.0,1.71,120.0,86.0,70.8,7.0,4.0,10.0,3.0,14.3,2.0,1.0,1.0,0.0,50.0,90,70.0,90.0,21,0,,0,1.19,31,36,-5,-0.24,0.43,0,1,0,0,0,0,0,0,Netherlands,2,3.5,GK,True,False,False,False,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1428571428571428,,,,1.7200000000000002,29.5945,,,,65.19533063606818,0.0,0.0,0.0,0.0,0.0,59.67,2.0,0.0,,1.0,4,GK,alternate
FRA-Ligue 1,2425,Brest,Marco Bizot,NED,GK,33.0,1991.0,32,32,2880,32.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,marco bizot||brest||2425,0,0,,0.0,0.0,,,54.0,1.69,121.0,76.0,62.0,14.0,5.0,13.0,10.0,31.3,10.0,8.0,1.0,1.0,11.1,90,94.1,90.0,32,0,,0,1.47,47,54,-7,-0.22,-0.22,0,1,5,0,0,0,1,0,France,1,4.3,GK,True,False,False,False,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134375,0.0,0.0,0.134375,0.0,0.0,0.125,,,,1.7400000000000002,26.372,,,,58.070792155822325,0.0,0.0,0.0,0.0,0.0,58.78,2.0,0.0,,1.0,5,GK,alternate
TUR-Super Lig,2526,Kayserispor,Bilal Bayazit,NED,GK,27.0,1999.0,25,25,2250,25.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,bilal bayazit||kayserispor||2526,0,0,,0.0,0.0,,,45.0,1.8,131.0,93.0,71.0,3.0,10.0,12.0,6.0,24.0,7.0,7.0,0.0,0.0,0.0,90,83.3,90.0,25,0,,3,0.76,14,45,-31,-1.24,-0.24,0,2,2,0,0,0,1,1,Turkey,2,3.1,GK,True,False,False,False,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.248,0.0,0.0,0.2,,,,1.63,26.4715,,,,58.29077402666313,0.0,0.0,0.0,0.0,0.0,57.21,3.0,0.0,5.0,0.93,6,GK,alternate
ITA-Serie A,2425,Inter,Stefan de Vrij,NED,DF,32.0,1992.0,26,18,1726,19.2,3,0,3,3,0,0,2,0,0.16,0.0,0.16,0.16,0.16,stefan de vrij||inter||2425,13,3,23.1,0.68,0.16,0.23,1.0,,,,,,,,,,,,,,,,66,50.5,84.0,15,8,26.0,9,2.42,46,19,27,1.41,0.5,0,9,5,0,0,23,12,0,Italy,1,4.6,DF,False,True,False,False,,0.736,0.0,0.736,3.128,0.736,0.736,2.875,5.510416666666667,0.0,2.15625,0.0652173913043478,1.0,0.1041666666666666,,,2.232520833333333,0.0,,,,79.76138650938539,,0.1,0.0,0.1,0.46,0.0,93.76,3.0,1.38,120.0,1.12,1,DF,starter
ENG-Premier League,2526,Brighton,Joël Veltman,NED,DF,34.0,1992.0,20,8,853,9.5,1,0,1,1,0,0,4,0,0.11,0.0,0.11,0.11,0.11,joël veltman||brighton||2526,3,1,33.3,0.32,0.11,0.33,1.0,,,,,,,,,,,,,,,,43,28.7,86.0,7,12,14.0,8,1.8,14,11,3,0.32,0.19,0,9,19,2,12,18,17,0,England,1,5.0,DF,False,True,False,False,,0.55,0.0,0.55,1.6,0.55,0.55,8.947368421052632,9.473684210526317,6.315789473684211,4.7368421052631575,0.0714285714285714,1.0,0.4210526315789473,,,4.203026315789473,0.0,,,,90.83008743597512,,0.11,0.0,0.11,0.55,0.0,89.29,3.0,1.65,,1.0,2,DF,backup
ENG-Premier League,2526,Tottenham Hotspur,Micky van de Ven,NED,DF,25.0,2001.0,30,30,2591,28.8,4,1,5,4,0,0,8,1,0.14,0.03,0.17,0.14,0.17,micky van de ven||tottenham hotspur||2526,15,6,40.0,0.52,0.21,0.27,0.67,,,,,,,,,,,,,,,,86,87.2,86.0,27,0,,1,0.93,37,43,-6,-0.21,0.98,0,23,18,1,3,20,17,0,England,1,5.0,DF,False,True,False,False,,0.7000000000000001,0.15,0.8500000000000001,2.6,1.05,0.7000000000000001,2.951388888888889,3.4722222222222223,0.5208333333333333,3.9930555555555554,0.1351351351351351,0.67,0.3819444444444444,,,1.2924999999999998,0.0,,,,74.48111220334222,,0.14,-0.15,-0.0099999999999999,0.7000000000000001,-0.7499999999999999,87.03,3.0,2.1,25.0,0.97,3,DF,sub
ENG-Premier League,2425,Liverpool,Virgil van Dijk,NED,DF,33.0,1991.0,37,37,3330,37.0,3,1,4,3,0,0,5,0,0.08,0.03,0.11,0.08,0.11,virgil van dijk||liverpool||2425,26,8,30.8,0.7,0.22,0.12,0.38,,,,,,,,,,,,,,,,90,97.4,90.0,37,0,,1,2.27,84,38,46,1.24,2.24,0,17,13,0,1,54,20,0,England,1,5.0,DF,False,True,False,False,,0.4,0.15,0.55,3.5,1.1,0.4,2.702702702702702,7.297297297297297,0.1351351351351351,2.2972972972972974,0.0476190476190476,0.38,0.1351351351351351,,,2.8475135135135137,0.0,,,,83.21591637979786,,0.02,-0.03,0.0,0.1,-0.15,84.91,3.0,0.3,88.0,1.096,4,DF,sub
