league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
POR-Primeira Liga,2526,Porto,Diogo Costa,POR,GK,27.0,1999.0,30,30,2655,29.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,diogo costa||porto||2526,0,0,,0.0,0.0,,,14.0,0.47,65.0,53.0,80.0,25.0,4.0,1.0,19.0,63.3,2.0,1.0,1.0,0.0,50.0,89,98.3,89.0,29,0,,0,2.63,59,14,45,1.53,-2.47,0,0,4,0,0,0,0,0,Portugal,2,3.4,GK,True,False,False,False,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677966101694915,,,,2.96,42.0295,,,,92.68753730848312,0.0,0.0,0.0,0.0,0.0,93.8,3.0,0.0,105.0,1.12,1,GK,starter
POR-Primeira Liga,2526,Gil Vicente FC,Daniel Figueira,POR,GK,28.0,1998.0,6,5,481,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,daniel figueira||gil vicente fc||2526,0,0,,0.0,0.0,,,7.0,1.31,23.0,18.0,73.9,2.0,1.0,2.0,2.0,40.0,2.0,1.0,1.0,0.0,50.0,80,17.8,90.0,5,1,31.0,24,1.67,7,7,0,0.0,-0.53,0,0,2,0,0,0,0,0,Portugal,2,3.4,GK,True,False,False,False,73.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886792452830188,,,,2.12,35.6205,,,,78.51805177864739,,,,,,62.81,1.0,0.0,,1.0,2,GK,backup
POR-Primeira Liga,2526,Sporting CP,Rui Silva,POR,GK,32.0,1994.0,27,27,2430,27.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,rui silva||sporting cp||2526,0,0,,0.0,0.0,,,18.0,0.67,78.0,63.0,80.8,20.0,5.0,2.0,13.0,48.1,3.0,3.0,0.0,0.0,0.0,90,93.1,90.0,27,0,,0,2.41,69,18,51,1.89,-0.11,0,0,1,0,0,0,0,0,Portugal,2,3.4,GK,True,False,False,False,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1481481481481481,,,,2.76,34.5335,,,,76.11483274745197,0.0,0.0,0.0,0.0,0.0,61.35,2.0,0.0,8.0,0.936,3,GK,sub
TUR-Super Lig,2425,BB Bodrumspor,Diogo Fesnard Sousa,POR,GK,25.0,1998.0,32,31,2851,31.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,diogo fesnard sousa||bb bodrumspor||2425,0,0,,0.0,0.0,,,32.0,1.01,117.0,88.0,75.2,9.0,9.0,13.0,13.0,41.9,3.0,3.0,0.0,0.0,0.0,89,88.0,90.0,31,1,61.0,3,1.13,22,32,-10,-0.32,1.3,0,0,6,0,0,0,1,0,Turkey,2,3.1,GK,True,False,False,False,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0977917981072555,0.0,0.0,0.0,0.0,0.0,0.1261829652996845,,,,2.42,31.74,,,,69.93875881585639,,,,,,55.95,1.0,0.0,,1.0,4,GK,alternate
POR-Primeira Liga,2425,Estrela,João Paulo Santos Costa,POR,GK,28.0,1996.0,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,joão paulo santos costa||estrela||2425,0,0,,0.0,0.0,,,17.0,1.21,51.0,38.0,72.5,3.0,3.0,8.0,4.0,28.6,4.0,3.0,1.0,0.0,25.0,90,41.2,90.0,14,0,,1,0.86,6,17,-11,-0.79,-0.04,0,0,1,0,0,0,0,0,Portugal,2,3.4,GK,True,False,False,False,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.22,30.519,,,,67.23928279277487,,,,,,53.79,1.0,0.0,,1.0,5,GK,alternate
ENG-Premier League,2526,Wolves,José Sá,POR,GK,33.0,1993.0,20,20,1800,20.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,josé sá||wolves||2526,0,0,,0.0,0.0,,,34.0,1.7,85.0,53.0,62.4,3.0,6.0,11.0,4.0,20.0,2.0,2.0,0.0,0.0,0.0,90,60.6,90.0,20,0,,11,0.75,18,34,-16,-0.8,0.82,0,0,6,0,0,0,0,0,England,1,5.0,GK,True,False,False,False,62.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,1.7300000000000002,23.2755,,,,51.22482368287237,0.0,0.0,0.0,0.0,0.0,53.32,3.0,0.0,34.0,0.988,6,GK,alternate
ESP-La Liga,2526,Barcelona,João Cancelo,POR,DF,32.0,1994.0,9,6,552,6.1,1,2,3,1,0,0,0,0,0.16,0.33,0.49,0.16,0.49,joão cancelo||barcelona||2526,11,3,27.3,1.79,0.49,0.09,0.33,,,,,,,,,,,,,,,,61,19.8,81.0,3,3,23.0,3,2.67,18,3,15,2.45,0.88,0,6,6,3,17,11,13,0,Spain,1,4.8,DF,False,True,False,False,,0.768,1.584,2.352,8.592,2.352,0.768,10.229508196721312,8.655737704918032,13.377049180327868,4.721311475409836,0.1666666666666666,0.33,0.0,,,4.871180327868852,0.0,,,,94.58323453373882,,0.09,0.19,0.27,0.432,0.912,95.4,2.0,1.3,137.0,1.12,1,DF,starter
ENG-Premier League,2526,Manchester Utd,Diogo Dalot,POR,"MF,DF",27.0,1999.0,31,26,2344,26.0,1,3,4,1,0,0,5,0,0.04,0.12,0.15,0.04,0.15,diogo dalot||manchester utd||2526,22,6,27.3,0.84,0.23,0.05,0.17,,,,,,,,,,,,,,,,76,78.9,85.0,19,5,27.0,0,1.77,50,35,15,0.58,0.86,0,22,14,4,53,24,28,0,England,1,5.0,DF,False,True,False,False,,0.2,0.6,0.75,4.2,1.15,0.2,5.384615384615384,4.615384615384616,10.192307692307692,4.230769230769231,0.08,0.17,0.1923076923076923,,,2.312307692307692,0.0,,,,80.20956434381516,,0.04,0.0199999999999999,0.0499999999999999,0.2,0.0999999999999999,90.5,3.0,0.6,100.0,1.12,2,DF,backup
GER-Bundesliga,2425,Union Berlin,Diogo Leite,POR,DF,25.0,1999.0,30,29,2546,28.3,1,2,3,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,diogo leite||union berlin||2425,18,8,44.4,0.64,0.28,0.06,0.13,,,,,,,,,,,,,,,,85,83.2,86.0,27,1,45.0,0,1.2,31,38,-7,-0.25,1.33,0,25,37,2,9,53,34,1,Germany,1,4.7,DF,False,True,False,False,,0.188,0.329,0.517,3.008,1.3160000000000005,0.188,5.646643109540635,8.802120141342757,1.4946996466431095,4.151943462897527,0.0967741935483871,0.13,0.1060070671378091,,,3.341196113074205,0.0,,,,85.9890246486404,,0.04,0.07,0.11,0.188,0.329,87.84,3.0,0.56,72.0,1.064,3,DF,sub
ENG-Premier League,2526,Manchester City,Rúben Dias,POR,DF,29.0,1997.0,25,23,2051,22.8,2,0,2,2,0,0,3,0,0.09,0.0,0.09,0.09,0.09,rúben dias||manchester city||2526,10,4,40.0,0.44,0.18,0.2,0.5,,,,,,,,,,,,,,,,82,73.5,88.0,21,2,18.0,1,2.2,53,20,33,1.45,1.2,0,14,9,0,9,22,6,0,England,1,5.0,DF,False,True,False,False,,0.4499999999999999,0.0,0.4499999999999999,2.2,0.8999999999999999,0.4499999999999999,1.3157894736842104,4.824561403508772,1.973684210526316,3.0701754385964914,0.0377358490566037,0.5,0.131578947368421,,,1.6914912280701755,0.0,,,,76.72232118000379,,0.09,0.0,0.09,0.4499999999999999,0.0,87.64,3.0,1.35,115.0,1.12,4,DF,sub
