league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
SAU-Pro League,2526,Al-Ahli,Edouard Mendy,SEN,GK,34.0,1992.0,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,edouard mendy||al-ahli||2526,0,0,,0.0,0.0,,,14.0,0.67,43.0,32.0,74.4,14.0,6.0,1.0,12.0,57.1,4.0,3.0,1.0,0.0,25.0,90,75.0,90.0,21,0,,0,2.29,41,14,27,1.29,0.14,0,0,3,0,0,0,0,0,Saudi Arabia,2,2.7,GK,True,False,False,False,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,,,,2.76,36.95100000000001,,,,81.45961840330749,0.0,-0.04,-0.04,0.0,-0.108,75.21,3.0,0.0,39.0,0.998,1,GK,starter
FRA-Ligue 1,2425,Reims,Yehvann Diouf,SEN,GK,24.0,1999.0,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,yehvann diouf||reims||2425,1,1,100.0,0.03,0.03,0.0,0.0,47.0,1.38,176.0,133.0,75.6,8.0,9.0,17.0,7.0,20.6,5.0,4.0,1.0,0.0,20.0,90,100.0,90.0,34,0,,0,0.97,33,47,-14,-0.41,,0,0,3,0,0,0,2,0,France,1,4.3,GK,True,False,False,False,75.6,0.0,0.0,0.0,0.129,0.129,0.0,0.2529411764705882,0.0,0.0,0.0,0.0,0.0,0.0294117647058823,,,,2.0500000000000003,29.3125,,,,64.57186442926312,0.0,0.0,0.0,0.0,0.0,55.04,2.0,0.0,21.0,0.962,2,GK,backup
FRA-Ligue 1,2526,Le Havre,Mory Diaw,SEN,GK,33.0,1993.0,26,26,2295,25.5,0,1,1,0,0,0,1,0,0.0,0.04,0.04,0.0,0.04,mory diaw||le havre||2526,0,0,,0.0,0.0,,,35.0,1.37,97.0,67.0,68.0,5.0,10.0,11.0,6.0,23.1,5.0,4.0,1.0,0.0,20.0,88,85.0,88.0,25,0,,1,0.96,21,35,-14,-0.55,-0.77,0,0,6,0,0,2,0,0,France,1,4.3,GK,True,False,False,False,68.0,0.0,0.172,0.172,0.0,0.0,0.0,0.0,0.3372549019607843,0.0,0.0,0.0476190476190476,0.0,0.0392156862745098,,,,2.06,27.4195,,,,60.386681700603575,,,,,,48.31,1.0,0.0,,1.0,3,GK,sub
SAU-Pro League,2425,Al-Hilal,Kalidou Koulibaly,SEN,DF,33.0,1991.0,30,30,2601,28.9,2,0,2,2,0,0,2,1,0.07,0.0,0.07,0.07,0.07,kalidou koulibaly||al-hilal||2425,19,4,21.1,0.66,0.14,0.11,0.5,,,,,,,,,,,,,,,,87,85.0,87.0,24,0,,1,2.23,80,35,45,1.56,-0.21,0,29,6,0,1,35,39,0,Saudi Arabia,2,2.7,DF,False,True,False,False,,0.189,0.0,0.189,1.7820000000000005,0.378,0.189,3.643598615916955,3.269896193771627,0.0934256055363322,2.7093425605536336,0.025,0.5,0.1730103806228373,,,1.7292889273356404,0.0,,,,76.93463798531465,,0.0,-0.03,-0.03,0.0,-0.081,78.1,3.0,0.0,,1.0,1,DF,starter
FRA-Ligue 1,2526,Metz,Sadibou Sané,SEN,DF,22.0,2004.0,19,18,1580,17.6,2,1,3,2,0,0,4,2,0.11,0.06,0.17,0.11,0.17,sadibou sané||metz||2526,5,2,40.0,0.28,0.11,0.4,1.0,,,,,,,,,,,,,,,,83,58.5,87.0,16,1,17.0,3,0.21,12,38,-26,-1.48,-0.44,0,17,10,0,0,32,29,1,France,1,4.3,DF,False,True,False,False,,0.473,0.258,0.731,1.204,0.473,0.473,7.085227272727272,7.8181818181818175,0.0,4.153409090909091,0.25,1.0,0.5681818181818181,,,2.9201022727272727,0.0,,,,83.62366113033156,,0.11,0.06,0.17,0.473,0.258,76.23,2.0,1.42,,1.0,2,DF,backup
BEL-First Division A,2526,Anderlecht,Moussa N'Diaye,SEN,DF,24.0,2002.0,17,9,975,10.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,moussa n'diaye||anderlecht||2526,10,1,10.0,0.92,0.09,0.0,0.0,,,,,,,,,,,,,,,,57,31.9,81.0,5,8,30.0,4,1.59,12,17,-5,-0.46,-0.81,0,10,20,0,7,20,16,0,Belgium,2,3.2,DF,False,True,False,False,,0.0,0.0,0.0,2.9440000000000004,0.288,0.0,4.7407407407407405,5.925925925925926,2.074074074074074,2.962962962962963,0.0,0.0,0.1851851851851851,,,2.147611111111111,0.0,,,,79.28443258593518,,0.0,-0.05,-0.05,0.0,-0.16,75.21,3.0,0.0,12.0,0.944,3,DF,sub
FRA-Ligue 1,2425,Le Havre,Arouna Sangante,SEN,DF,22.0,2002.0,16,16,1244,13.8,3,0,3,3,0,0,4,1,0.22,0.0,0.22,0.22,0.22,arouna sangante||le havre||2425,7,4,57.1,0.51,0.29,0.43,0.75,,,,,,,,,,,,,,,,78,40.7,78.0,9,0,,2,1.25,17,28,-11,-0.8,0.2,0,22,16,1,2,22,16,0,France,1,4.3,DF,False,True,False,False,,0.946,0.0,0.946,2.193,1.247,0.946,4.985507246376812,6.855072463768115,0.6231884057971014,6.855072463768115,0.1764705882352941,0.75,0.5072463768115941,,,2.11927536231884,0.0,,,,79.12526534092873,,0.22,0.0,0.22,0.946,0.0,74.67,3.0,2.5,0.0,0.92,4,DF,sub
ESP-La Liga,2425,Real Betis,Youssouf Sabaly,SEN,DF,31.0,1993.0,22,20,1581,17.6,0,1,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,youssouf sabaly||real betis||2425,5,0,0.0,0.28,0.0,0.0,,,,,,,,,,,,,,,,,72,46.2,77.0,10,2,23.0,7,1.68,20,24,-4,-0.23,-0.77,0,18,12,1,30,13,26,0,Spain,1,4.8,DF,False,True,False,False,,0.0,0.288,0.288,1.344,0.0,0.0,7.09090909090909,3.545454545454545,8.18181818181818,4.909090909090909,0.05,0.0,0.0568181818181818,,,2.0038409090909086,0.0,,,,78.47684824654351,,0.0,-0.03,-0.03,0.0,-0.144,74.08,2.0,0.0,59.0,1.038,5,DF,sub
TUR-Super Lig,2526,Galatasaray,Ismail Jakobs,SEN,DF,27.0,1999.0,21,12,1051,11.7,0,1,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09,ismail jakobs||galatasaray||2526,6,0,0.0,0.51,0.0,0.0,,,,,,,,,,,,,,,,,50,38.9,75.0,5,9,17.0,4,2.43,25,8,17,1.46,-0.13,0,9,9,0,43,11,11,0,Turkey,2,3.1,DF,False,True,False,False,,0.0,0.2789999999999999,0.2789999999999999,1.5810000000000002,0.0,0.0,2.914529914529915,2.914529914529915,11.393162393162394,2.384615384615385,0.04,0.0,0.0854700854700854,,,1.4870299145299146,0.0,,,,75.5738234210359,,0.0,-0.06,-0.06,0.0,-0.186,69.79,2.0,0.0,31.0,0.982,6,DF,sub
TUR-Super Lig,2526,Başakşehir,Ousseynou Ba,SEN,DF,31.0,1995.0,14,9,944,10.5,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,ousseynou ba||başakşehir||2526,5,1,20.0,0.48,0.1,0.0,0.0,,,,,,,,,,,,,,,,67,33.8,90.0,8,5,27.0,12,1.36,14,12,2,0.19,-0.74,1,20,10,2,0,17,5,0,Turkey,2,3.1,DF,False,True,False,False,,0.0,0.0,0.0,1.488,0.31,0.0,1.476190476190476,5.019047619047619,0.0,5.904761904761904,0.0,0.0,1.0476190476190477,,,0.907952380952381,0.0,,,,72.32103570258323,,0.0,0.0,0.0,0.0,0.0,69.28,3.0,0.0,2.0,0.924,7,DF,sub
