league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,pick,position_group,role
ESP-La Liga,2425,Getafe,David Soria,ESP,GK,31.0,1993.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,david soria||getafe||2425,0,0,,0.0,0.0,,,39.0,1.03,119.0,89.0,73.9,11.0,9.0,18.0,9.0,23.7,9.0,8.0,1.0,0.0,11.1,90,100.0,90.0,38,0,,0,1.11,34,39,-5,-0.13,,0,0,2,0,0,0,4,0,Spain,1,4.8,GK,True,False,False,False,73.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5052631578947367,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,,,,2.4000000000000004,28.620000000000005,,,,63.04083482567268,0.0,0.0,0.0,0.0,0.0,72.6,3.0,0.0,1,GK,starter
ESP-La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27.0,1997.0,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,unai simón||athletic club||2425,0,0,,0.0,0.0,,,14.0,0.67,59.0,47.0,78.0,10.0,8.0,3.0,10.0,47.6,2.0,1.0,1.0,0.0,50.0,90,55.3,90.0,21,0,,4,1.81,28,14,14,0.67,0.02,0,0,3,0,0,1,0,0,Spain,1,4.8,GK,True,False,False,False,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285714285714285,0.0,0.0,0.0,0.0,0.0,,,,2.76,38.613,,,,85.13408945192457,0.0,0.0,0.0,0.0,0.0,71.65,3.0,0.0,2,GK,backup
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28.0,1995.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,david raya||arsenal||2425,0,0,,0.0,0.0,,,34.0,0.89,117.0,86.0,73.5,20.0,14.0,4.0,13.0,34.2,3.0,3.0,0.0,0.0,0.0,90,100.0,90.0,38,0,,0,1.95,69,34,35,0.92,,0,1,10,0,0,0,0,0,England,1,5.0,GK,True,False,False,False,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131578947368421,0.0,0.0,0.0789473684210526,,,,2.54,29.525,,,,65.0416749574407,0.0,0.0,0.0,0.0,0.0,67.55,3.0,0.0,3,GK,sub
ESP-La Liga,2324,Osasuna,Sergio Herrera,ESP,GK,30.0,1993.0,32,32,2869,31.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,sergio herrera||osasuna||2324,0,0,,0.0,0.0,,,47.0,1.47,131.0,85.0,64.1,12.0,7.0,13.0,9.0,28.1,1.0,0.0,1.0,0.0,100.0,90,83.9,90.0,31,0,,6,1.34,41,47,-6,-0.19,0.63,0,0,7,0,0,0,1,0,Spain,1,4.8,GK,True,False,False,False,64.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1504702194357366,0.0,0.0,0.0,0.0,0.0,0.0626959247648902,,,,1.96,35.43449999999999,,,,78.10682938692489,,,,,,64.74,3.0,0.0,4,GK,alternate
ESP-La Liga,2526,Real Betis,Pau López,ESP,GK,32.0,1994.0,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,pau lópez||real betis||2526,0,0,,0.0,0.0,,,11.0,1.22,39.0,29.0,71.8,4.0,2.0,3.0,2.0,22.2,1.0,0.0,1.0,0.0,100.0,90,29.0,90.0,9,0,,16,1.56,13,11,2,0.22,-0.01,0,0,2,0,0,0,1,0,Spain,1,4.8,GK,True,False,False,False,71.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,,,,2.21,36.531,,,,80.5310517123212,,,,,,64.42,1.0,0.0,5,GK,alternate
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,25.0,1997.0,16,16,1433,15.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,robert sánchez||chelsea||2324,0,0,,0.0,0.0,,,25.0,1.57,74.0,52.0,68.9,5.0,4.0,7.0,3.0,18.8,3.0,2.0,1.0,0.0,33.3,90,41.9,90.0,15,0,,2,1.19,26,25,1,0.06,-0.53,0,0,1,0,0,0,0,0,England,1,5.0,GK,True,False,False,False,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1257861635220125,,,,1.86,28.1455,,,,61.99177555216557,,,,,,62.88,3.0,0.0,6,GK,alternate
ESP-La Liga,2526,Real Betis,Aitor Ruibal,ESP,"DF,MF",30.0,1996.0,25,18,1645,18.3,4,2,6,4,0,0,4,0,0.22,0.11,0.33,0.22,0.33,aitor ruibal||real betis||2526,31,12,38.7,1.7,0.66,0.13,0.33,,,,,,,,,,,,,,,,66,59.0,80.0,9,7,29.0,2,1.64,26,18,8,0.44,0.52,0,28,25,0,30,17,26,0,Spain,1,4.8,DF,False,True,False,False,,1.056,0.528,1.584,8.16,3.168,1.056,6.819672131147541,4.459016393442623,7.868852459016393,7.3442622950819665,0.2307692307692307,0.33,0.2185792349726776,,,2.2403169398907097,0.0,,,,79.80517871024131,,0.15,-0.0999999999999999,0.06,0.72,-0.48,84.48,3.0,2.16,1,DF,starter
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26.0,1998.0,36,33,2988,33.2,5,1,6,5,0,0,10,1,0.15,0.03,0.18,0.15,0.18,marc cucurella||chelsea||2425,24,12,50.0,0.72,0.36,0.21,0.42,,,,,,,,,,,,,,,,83,87.4,88.0,27,3,24.0,0,1.89,60,38,22,0.66,0.87,1,37,38,3,29,26,46,0,England,1,5.0,DF,False,True,False,False,,0.75,0.15,0.8999999999999999,3.6,1.7999999999999998,0.75,6.927710843373493,3.9156626506024095,4.367469879518072,5.572289156626505,0.1,0.42,0.4518072289156626,,,2.3935240963855424,0.0,,,,80.66577220269929,,0.15,-0.07,0.0799999999999999,0.75,-0.35,84.37,3.0,2.25,2,DF,backup
ESP-La Liga,2324,Getafe,Diego Rico,ESP,DF,30.0,1993.0,32,28,2535,28.2,0,7,7,0,0,0,10,0,0.0,0.25,0.25,0.0,0.25,diego rico||getafe||2324,18,5,27.8,0.64,0.18,0.0,0.0,,,,,,,,,,,,,,,,79,74.1,86.0,20,4,32.0,0,1.13,36,42,-6,-0.21,0.4,0,32,56,2,132,39,46,0,Spain,1,4.8,DF,False,True,False,False,,0.0,1.2,1.2,3.072,0.864,0.0,7.829787234042554,6.638297872340426,22.46808510638298,5.446808510638298,0.1944444444444444,0.0,0.3546099290780142,,,3.0726099290780144,0.0,,,,84.48032539855646,,,,,,,83.92,3.0,0.0,3,DF,sub
ESP-La Liga,2526,Real Madrid,Fran Garcia,ESP,"DF,MF",27.0,1999.0,10,8,672,7.5,1,1,2,1,0,0,2,1,0.13,0.13,0.27,0.13,0.27,fran garcia||real madrid||2526,5,2,40.0,0.67,0.27,0.2,0.5,,,,,,,,,,,,,,,,67,24.1,81.0,4,2,13.0,20,2.1,16,8,8,1.07,-0.12,1,5,10,1,23,4,9,0,Spain,1,4.8,DF,False,True,False,False,,0.624,0.624,1.296,3.216,1.296,0.624,5.76,2.56,14.72,3.2,0.125,0.5,0.9333333333333332,,,1.909333333333333,0.0,,,,77.94598136965782,,0.13,0.05,0.19,0.624,0.24,83.01,3.0,1.87,4,DF,sub
