league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
ENG-Premier League,2526,Aston Villa,Emiliano Martínez,ARG,GK,34.0,1992.0,27,27,2385,26.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,emiliano martínez||aston villa||2526,0,0,,0.0,0.0,,,29.0,1.09,104.0,76.0,72.1,14.0,5.0,8.0,8.0,29.6,1.0,0.0,1.0,0.0,100.0,88,82.8,88.0,26,0,,0,1.74,35,29,6,0.23,0.41,0,0,16,0,0,0,0,0,England,1,5.0,GK,True,False,False,False,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754716981132075,,,,2.34,38.19650000000001,,,,84.21326081669653,0.0,0.0,0.0,0.0,0.0,76.59,3.0,0.0,62.0,1.044,1,GK,starter
ESP-La Liga,2526,Girona,Paulo Gazzaniga,ARG,GK,34.0,1992.0,28,28,2472,27.5,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,paulo gazzaniga||girona||2526,0,0,,0.0,0.0,,,37.0,1.35,137.0,104.0,75.9,9.0,10.0,9.0,6.0,21.4,5.0,4.0,0.0,1.0,0.0,88,88.6,88.0,27,0,,2,1.32,31,37,-6,-0.22,1.48,0,1,5,0,0,0,1,0,Spain,1,4.8,GK,True,False,False,False,75.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1745454545454545,0.0,0.0,0.1745454545454545,0.0,0.0,0.2545454545454545,,,,2.08,27.792,,,,61.21023192058544,0.0,0.0,0.0,0.0,0.0,58.75,3.0,0.0,1.0,0.922,2,GK,backup
ESP-La Liga,2526,Rayo Vallecano,Augusto Batalla,ARG,GK,30.0,1996.0,30,30,2700,30.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,augusto batalla||rayo vallecano||2526,0,0,,0.0,0.0,,,35.0,1.17,112.0,82.0,73.2,8.0,11.0,11.0,9.0,30.0,5.0,5.0,0.0,0.0,0.0,90,96.8,90.0,30,0,,1,1.17,29,35,-6,-0.2,2.8,0,0,4,0,0,0,1,0,Spain,1,4.8,GK,True,False,False,False,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,,,,2.26,28.945000000000004,,,,63.75936857465015,0.0,0.0,0.0,0.0,0.0,58.1,2.0,0.0,28.0,0.976,3,GK,sub
NED-Eredivisie,2425,PSV,Walter Benítez,ARG,GK,31.0,1993.0,34,34,3015,33.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,walter benítez||psv||2425,0,0,,0.0,0.0,,,39.0,1.16,102.0,65.0,63.7,25.0,4.0,5.0,9.0,26.5,2.0,2.0,0.0,0.0,0.0,89,98.5,89.0,33,0,,0,2.32,102,39,63,1.88,-0.12,0,0,2,0,0,0,1,0,Netherlands,2,3.5,GK,True,False,False,False,63.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1044776119402985,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.2700000000000005,24.9595,,,,54.94793393911256,0.0,0.0,0.0,0.0,0.0,58.06,2.0,0.0,,1.0,4,GK,alternate
FRA-Ligue 1,2526,Marseille,Gerónimo Rulli,ARG,GK,34.0,1992.0,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,gerónimo rulli||marseille||2526,0,0,,0.0,0.0,,,32.0,1.23,97.0,69.0,71.1,13.0,4.0,9.0,7.0,26.9,4.0,4.0,0.0,0.0,0.0,90,86.7,90.0,26,0,,3,1.7,48,33,15,0.58,-0.17,0,1,13,0,0,0,0,0,France,1,4.3,GK,True,False,False,False,71.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1653846153846153,0.0,0.0,0.0769230769230769,,,,2.2,27.2345,,,,59.977670181954856,0.0,0.0,0.0,0.0,0.0,52.98,2.0,0.0,13.0,0.946,5,GK,alternate
TUR-Super Lig,2324,Fatih Karagümrük,Matías Dituro,ARG,GK,36.0,1987.0,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,matías dituro||fatih karagümrük||2324,0,0,,0.0,0.0,,,13.0,1.18,34.0,24.0,67.6,2.0,3.0,6.0,3.0,27.3,4.0,2.0,1.0,1.0,33.3,90,28.9,90.0,11,0,,2,0.82,12,13,-1,-0.09,-0.02,0,1,2,0,0,1,0,0,Turkey,2,3.1,GK,True,False,False,False,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818181818181818,0.0,0.2818181818181818,0.0,0.0,0.0909090909090909,,,,2.25,29.6295,,,,65.27271119365038,,,,,,52.22,1.0,0.0,,1.0,6,GK,alternate
ESP-La Liga,2526,Atlético Madrid,Nahuel Molina,ARG,DF,28.0,1998.0,22,12,1137,12.6,2,1,3,2,0,0,4,0,0.16,0.08,0.24,0.16,0.24,nahuel molina||atlético madrid||2526,11,3,27.3,0.87,0.24,0.18,0.67,,,,,,,,,,,,,,,,52,40.8,83.0,10,10,14.0,9,1.95,17,15,2,0.16,-0.77,0,12,3,2,41,14,21,0,Spain,1,4.8,DF,False,True,False,False,,0.768,0.384,1.152,4.176,1.152,0.768,8.0,5.333333333333333,15.61904761904762,4.571428571428571,0.1764705882352941,0.67,0.3174603174603174,,,2.77681746031746,0.0,,,,82.8188033159245,,0.16,-0.09,0.0699999999999999,0.768,-0.432,94.4,3.0,2.3,,1.0,1,DF,starter
POR-Primeira Liga,2425,Benfica,Nicolás Otamendi,ARG,DF,36.0,1988.0,31,30,2706,30.1,6,2,8,6,0,0,4,0,0.2,0.07,0.27,0.2,0.27,nicolás otamendi||benfica||2425,30,13,43.3,1.0,0.43,0.2,0.46,,,,,,,,,,,,,,,,87,88.4,90.0,30,1,6.0,2,2.45,78,25,53,1.76,1.0,0,26,25,1,2,60,33,0,Portugal,2,3.4,DF,False,True,False,False,,0.68,0.238,0.918,3.4,1.462,0.68,3.727574750830564,6.777408637873754,0.2259136212624584,2.93687707641196,0.1025641025641025,0.46,0.1328903654485049,,,2.827913621262458,0.0,,,,83.1058200885407,,0.13,0.04,0.17,0.442,0.136,92.43,3.0,1.33,132.0,1.12,2,DF,backup
ENG-Premier League,2526,Tottenham Hotspur,Cristian Romero,ARG,DF,28.0,1998.0,23,22,1868,20.8,4,1,5,4,0,0,11,2,0.19,0.05,0.24,0.19,0.24,cristian romero||tottenham hotspur||2526,17,6,35.3,0.82,0.29,0.24,0.67,,,,,,,,,,,,,,,,81,62.9,84.0,15,1,31.0,0,1.0,26,31,-5,-0.24,0.25,1,32,16,1,1,31,30,0,England,1,5.0,DF,False,True,False,False,,0.95,0.25,1.2,4.1,1.45,0.95,7.211538461538462,7.451923076923077,0.2403846153846153,7.692307692307692,0.1923076923076923,0.67,0.9134615384615384,,,2.8404615384615384,0.0,,,,83.17630410594882,,0.13,0.05,0.18,0.6499999999999999,0.25,88.47,3.0,1.95,53.0,1.026,3,DF,sub
FRA-Ligue 1,2425,Lyon,Nicolás Tagliafico,ARG,DF,31.0,1992.0,24,22,1902,21.1,3,1,4,3,0,0,7,0,0.14,0.05,0.19,0.14,0.19,nicolás tagliafico||lyon||2425,28,7,25.0,1.32,0.33,0.11,0.43,,,,,,,,,,,,,,,,79,62.2,86.0,18,2,4.0,3,1.67,43,29,14,0.66,0.27,0,41,28,1,38,32,39,0,France,1,4.3,DF,False,True,False,False,,0.602,0.215,0.817,5.676,1.419,0.602,7.947867298578197,6.521327014218008,7.744075829383886,8.355450236966824,0.0930232558139534,0.43,0.3317535545023696,,,2.9376658767772503,0.0,,,,83.72231920672519,,0.01,0.01,0.0199999999999999,0.043,0.043,85.21,3.0,0.13,86.0,1.092,4,DF,sub
