league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role,tott_type,tott_position
POR-Primeira Liga,2526,Porto,Diogo Costa,POR,GK,27.0,1999.0,30,30,2655,29.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,diogo costa||porto||2526,0,0,,0.0,0.0,,,14.0,0.47,65.0,53.0,80.0,25.0,4.0,1.0,19.0,63.3,2.0,1.0,1.0,0.0,50.0,89,98.3,89.0,29,0,,0,2.63,59,14,45,1.53,-2.47,0,0,4,0,0,0,0,0,Portugal,2,3.4,GK,True,False,False,False,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677966101694915,,,,2.96,42.0295,,,,92.68753730848312,0.0,0.0,0.0,0.0,0.0,93.8,3.0,0.0,105.0,1.12,1,GK,starter,Team of the Tournament,GK
ENG-Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",24.0,1999.0,19,12,1063,11.8,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,reece james||chelsea||2425,11,3,27.3,0.93,0.25,0.09,0.33,,,,,,,,,,,,,,,,56,31.1,76.0,5,7,22.0,4,1.63,13,14,-1,-0.08,-0.92,0,8,11,0,43,14,9,0,England,1,5.0,DF,False,True,False,False,,0.4,0.4,0.8500000000000001,4.65,1.25,0.4,3.813559322033898,5.932203389830509,18.220338983050844,3.389830508474576,0.1538461538461538,0.33,0.0847457627118644,,,1.939220338983051,0.0,,,,78.11386231699508,,0.08,-0.35,-0.26,0.4,-1.75,96.9,2.0,1.2,,1.0,1,DF,starter,Team of the Tournament,DF
ENG-Premier League,2425,Manchester City,John Stones,ENG,DF,30.0,1994.0,11,6,548,6.1,2,0,2,2,0,0,1,0,0.33,0.0,0.33,0.33,0.33,john stones||manchester city||2425,2,2,100.0,0.33,0.33,1.0,1.0,,,,,,,,,,,,,,,,50,16.0,74.0,3,5,21.0,4,2.0,14,11,3,0.49,-0.29,0,2,2,0,0,4,3,0,England,1,5.0,DF,False,True,False,False,,1.65,0.0,1.65,1.65,1.65,1.65,2.459016393442623,3.278688524590164,0.0,1.639344262295082,0.1428571428571428,1.0,0.1639344262295082,,,1.3167950819672132,0.0,,,,74.61758226073424,,0.25,0.0,0.25,1.25,0.0,95.41,2.0,2.5,100.0,1.12,2,DF,backup,Team of the Tournament,DF
ESP-La Liga,2526,Barcelona,João Cancelo,POR,DF,32.0,1994.0,9,6,552,6.1,1,2,3,1,0,0,0,0,0.16,0.33,0.49,0.16,0.49,joão cancelo||barcelona||2526,11,3,27.3,1.79,0.49,0.09,0.33,,,,,,,,,,,,,,,,61,19.8,81.0,3,3,23.0,3,2.67,18,3,15,2.45,0.88,0,6,6,3,17,11,13,0,Spain,1,4.8,DF,False,True,False,False,,0.768,1.584,2.352,8.592,2.352,0.768,10.229508196721312,8.655737704918032,13.377049180327868,4.721311475409836,0.1666666666666666,0.33,0.0,,,4.871180327868852,0.0,,,,94.58323453373882,,0.09,0.19,0.27,0.432,0.912,95.4,2.0,1.3,137.0,1.12,1,DF,starter,Team of the Tournament,DF
ITA-Serie A,2425,Inter,Denzel Dumfries,NED,MF,28.0,1996.0,29,20,1955,21.7,7,2,9,7,0,0,4,0,0.32,0.09,0.41,0.32,0.41,denzel dumfries||inter||2425,37,19,51.4,1.7,0.87,0.19,0.37,,,,,,,,,,,,,,,,67,57.2,85.0,16,9,28.0,4,2.03,45,23,22,1.01,-0.34,0,53,18,6,56,7,19,0,Italy,1,4.6,DF,False,True,False,False,,1.472,0.414,1.886,7.819999999999999,4.002,1.472,4.027649769585253,1.4838709677419353,11.870967741935482,11.235023041474651,0.2,0.37,0.184331797235023,,,0.3961612903225803,0.0,,,,69.44620862419649,,0.1,-0.13,-0.03,0.4599999999999999,-0.5980000000000001,95.36,3.0,1.38,84.0,1.088,1,DF,starter,Team of the Tournament,DF
FRA-Ligue 1,2526,Paris Saint-Germain,Vitinha,POR,MF,26.0,2000.0,27,23,2007,22.3,1,7,8,1,0,0,2,0,0.04,0.31,0.36,0.04,0.36,vitinha||paris saint-germain||2526,32,10,31.3,1.43,0.45,0.03,0.1,,,,,,,,,,,,,,,,74,79.6,82.0,18,4,32.0,1,2.3,48,19,29,1.3,-0.1,0,13,19,0,21,24,19,0,France,1,4.3,MF,False,False,True,False,,0.172,1.333,1.5479999999999998,6.148999999999999,1.935,0.172,3.663677130044843,4.62780269058296,4.04932735426009,2.506726457399103,0.1666666666666666,0.1,0.0896860986547085,,1.3797970104633783,,0.0,,,49.2165399850289,,,-0.18,0.27,0.0999999999999999,-0.774,1.161,82.4,3.0,0.6,2.0,0.924,1,MF,starter,Team of the Tournament,MF
FRA-Ligue 1,2425,Paris Saint-Germain,João Neves,POR,"MF,DF",19.0,2004.0,29,22,1844,20.5,3,8,11,3,0,0,1,0,0.15,0.39,0.54,0.15,0.54,joão neves||paris saint-germain||2425,28,12,42.9,1.37,0.59,0.11,0.25,,,,,,,,,,,,,,,,64,60.3,78.0,11,7,20.0,4,2.52,60,23,37,1.81,0.33,0,17,33,3,15,23,31,0,France,1,4.3,MF,False,False,True,False,,0.6449999999999999,1.677,2.322,5.891,2.537,0.6449999999999999,6.502439024390244,4.824390243902439,3.146341463414634,3.565853658536585,0.1833333333333333,0.25,0.048780487804878,,2.045610569105691,,0.0,,,54.38704545846092,,,,,,,,76.98,2.0,0.0,45.0,1.01,2,MF,backup,Team of the Tournament,MF
ESP-La Liga,2425,Barcelona,Dani Olmo,ESP,MF,26.0,1998.0,25,13,1212,13.5,10,3,13,8,2,2,1,0,0.74,0.22,0.97,0.59,0.82,dani olmo||barcelona||2425,42,17,40.5,3.12,1.26,0.19,0.47,,,,,,,,,,,,,,,,48,35.4,66.0,0,12,30.0,2,2.28,40,10,30,2.23,0.88,0,21,26,1,21,5,11,0,Spain,1,4.8,MF,False,False,True,False,,3.552,1.056,4.656,14.976,6.048,2.832,3.911111111111111,1.7777777777777777,7.466666666666667,7.466666666666667,0.325,0.47,0.074074074074074,,2.435785185185185,,0.0,,,57.41702278747027,,,,,,,,67.28,2.0,0.0,77.0,1.074,1,MF,starter,Team of the Tournament,MF
GER-Bundesliga,2526,Bayern Munich,Harry Kane,ENG,"FW,MF",33.0,1993.0,27,23,2107,23.4,32,5,37,22,10,10,1,0,1.37,0.21,1.58,0.94,1.15,harry kane||bayern munich||2526,110,62,56.4,4.7,2.65,0.2,0.35,,,,,,,,,,,,,,,,78,78.0,86.0,15,4,35.0,1,2.59,86,24,62,2.65,-0.08,0,24,32,19,10,7,12,0,Germany,1,4.7,FW,False,False,False,True,,6.439000000000001,0.987,7.426000000000001,22.090000000000003,12.455,4.418,2.4102564102564106,1.405982905982906,2.008547008547009,4.820512820512821,0.4302325581395348,0.35,0.0427350427350427,4.39564813158418,,,0.0,,100.0,,,,0.3900000000000001,-0.13,0.26,1.833000000000001,-0.6110000000000001,100.0,3.0,5.0,143.0,1.12,1,FW,starter,Team of the Tournament,FW
ESP-La Liga,2425,Real Madrid,Kylian Mbappé,FRA,FW,25.0,1998.0,34,34,2907,32.3,31,3,34,24,7,9,3,1,0.96,0.09,1.05,0.74,0.84,kylian mbappé||real madrid||2425,161,85,52.8,4.98,2.63,0.15,0.28,,,,,,,,,,,,,,,,86,85.0,86.0,22,0,,0,2.24,67,32,35,1.08,0.21,0,25,40,44,34,1,5,0,Spain,1,4.8,FW,False,False,False,True,,4.608,0.432,5.04,23.904,12.624,3.552,0.7430340557275542,0.1486068111455108,5.052631578947369,3.715170278637771,0.5074626865671642,0.28,0.1857585139318885,3.96743147728848,,,0.0,,90.11239004973984,,,,,,,,,90.75,2.0,0.0,105.0,1.12,1,FW,starter,Team of the Tournament,FW
