league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
USA-MLS,2526,NE Revolution,Matt Turner,USA,GK,32.0,1994.0,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,matt turner||ne revolution||2026,0,0,,0.0,0.0,,,12.0,1.33,57.0,45.0,78.9,5.0,1.0,3.0,2.0,22.2,0.0,0.0,0.0,0.0,,90,100.0,90.0,9,0,,0,1.78,17,12,5,0.56,,0,0,1,0,0,0,0,0,USA,2,2.8,GK,True,False,False,False,78.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,,,,2.1,28.635,,,,63.07399792177932,0.0,0.0,0.0,0.0,0.0,66.14,2.0,0.0,52.0,1.024,1,GK,starter
USA-MLS,2526,Austin FC,Brad Stuver,USA,GK,35.0,1991.0,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,brad stuver||austin fc||2026,0,0,,0.0,0.0,,,19.0,1.9,73.0,55.0,75.3,2.0,4.0,4.0,3.0,30.0,1.0,1.0,0.0,0.0,0.0,90,100.0,90.0,10,0,,0,1.0,14,19,-5,-0.5,,0,0,1,0,0,0,0,0,USA,2,2.8,GK,True,False,False,False,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,1.5300000000000002,28.9725,,,,63.820167584179,0.0,0.0,0.0,0.0,0.0,64.83,3.0,0.0,,1.0,2,GK,backup
USA-MLS,2526,Chicago Fire,Chris Brady,USA,GK,22.0,2004.0,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,chris brady||chicago fire||2026,0,0,,0.0,0.0,,,8.0,0.89,33.0,27.0,81.8,5.0,2.0,2.0,5.0,55.6,2.0,2.0,0.0,0.0,0.0,90,100.0,90.0,9,0,,0,1.89,17,8,9,1.0,,0,0,1,0,0,0,0,0,USA,2,2.8,GK,True,False,False,False,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.54,36.295,,,,80.00928566690988,0.0,0.0,0.0,0.0,0.0,64.21,3.0,0.0,14.0,0.948,3,GK,sub
USA-MLS,2425,Nashville SC,Joe Willis,USA,GK,36.0,1988.0,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,joe willis||nashville sc||2025,1,1,100.0,0.03,0.03,0.0,0.0,45.0,1.32,131.0,91.0,67.9,16.0,6.0,12.0,9.0,26.5,5.0,3.0,2.0,0.0,40.0,90,100.0,90.0,34,0,,0,1.54,58,45,13,0.38,,0,0,5,0,1,0,1,0,USA,2,2.8,GK,True,False,False,False,67.9,0.0,0.0,0.0,0.0839999999999999,0.0839999999999999,0.0,0.0823529411764705,0.0,0.0823529411764705,0.0,0.0,0.0,0.0588235294117647,,,,2.1100000000000003,30.1975,,,,66.52848709955562,0.0,0.0,0.0,0.0,0.0,58.18,2.0,0.0,,1.0,4,GK,alternate
USA-MLS,2526,NYCFC,Matt Freese,USA,GK,28.0,1998.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,matt freese||nycfc||2026,1,0,0.0,0.1,0.0,0.0,,16.0,1.6,48.0,34.0,70.8,3.0,3.0,4.0,1.0,10.0,2.0,2.0,0.0,0.0,0.0,90,100.0,90.0,10,0,,0,1.2,19,16,3,0.3,,0,0,2,0,0,0,0,0,USA,2,2.8,GK,True,False,False,False,70.8,0.0,0.0,0.0,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.83,23.6975,,,,52.15781212000618,0.0,0.0,0.0,0.0,0.0,58.04,3.0,0.0,,1.0,5,GK,alternate
USA-MLS,2526,FC Dallas,Michael Collodi,USA,GK,25.0,2001.0,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,michael collodi||fc dallas||2026,0,0,,0.0,0.0,,,15.0,1.5,38.0,26.0,65.8,3.0,4.0,3.0,2.0,20.0,3.0,2.0,1.0,0.0,33.3,90,100.0,90.0,10,0,,0,1.3,18,15,3,0.3,,0,0,2,0,0,0,0,0,USA,2,2.8,GK,True,False,False,False,65.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,1.93,27.5525,,,,60.68072781941589,0.0,0.0,0.0,0.0,0.0,56.63,2.0,0.0,,1.0,6,GK,alternate
ENG-Premier League,2526,Fulham,Antonee Robinson,USA,"DF,MF",29.0,1997.0,17,13,1122,12.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,antonee robinson||fulham||2526,2,0,0.0,0.16,0.0,0.0,,,,,,,,,,,,,,,,,66,37.8,81.0,8,4,19.0,5,1.35,10,14,-4,-0.32,-0.37,0,10,5,2,65,19,20,0,England,1,5.0,DF,False,True,False,False,,0.0,0.0,0.0,0.8,0.0,0.0,8.0,7.6,26.0,4.0,0.0,0.0,0.24,,,3.3685,0.0,,,,86.14239573093667,,0.0,-0.28,-0.28,0.0,-1.4,89.5,3.0,0.0,53.0,1.026,1,DF,starter
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24.0,2000.0,24,22,1922,21.4,1,0,1,1,0,0,4,1,0.05,0.0,0.05,0.05,0.05,chris richards||crystal palace||2425,12,6,50.0,0.56,0.28,0.08,0.17,,,,,,,,,,,,,,,,80,56.2,87.0,18,2,6.0,5,1.54,30,31,-1,-0.05,-0.11,1,11,5,1,5,18,30,0,England,1,5.0,DF,False,True,False,False,,0.25,0.0,0.25,2.8000000000000003,1.4,0.25,7.009345794392524,4.205607476635515,1.1682242990654208,2.5700934579439254,0.0333333333333333,0.17,0.4205607476635514,,,2.49920093457944,0.0,,,,81.25937893318039,,0.01,-0.04,-0.0399999999999999,0.0499999999999999,-0.2,84.72,3.0,0.15,46.0,1.012,2,DF,backup
USA-MLS,2526,Philadelphia Union,Nathan Harriel,USA,DF,25.0,2001.0,10,10,900,10.0,1,0,1,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,nathan harriel||philadelphia union||2026,14,4,28.6,1.4,0.4,0.07,0.25,,,,,,,,,,,,,,,,90,100.0,90.0,10,0,,0,0.5,9,17,-8,-0.8,,0,14,16,0,22,31,11,1,USA,2,2.8,DF,False,True,False,False,,0.2799999999999999,0.0,0.2799999999999999,3.92,1.12,0.2799999999999999,3.08,8.68,6.16,3.92,0.1111111111111111,0.25,0.2,,,2.378,0.0,,,,80.57857042550204,,0.01,0.0,0.01,0.0279999999999999,0.0,79.72,3.0,0.08,,1.0,3,DF,sub
GER-Bundesliga,2526,Gladbach,Joe Scally,USA,"MF,DF",24.0,2002.0,28,25,2248,25.0,2,3,5,2,0,0,7,0,0.08,0.12,0.2,0.08,0.2,joe scally||gladbach||2526,13,8,61.5,0.52,0.32,0.15,0.25,,,,,,,,,,,,,,,,80,83.3,88.0,19,3,18.0,1,1.11,32,37,-5,-0.2,1.59,0,30,43,1,42,16,23,1,Germany,1,4.7,DF,False,True,False,False,,0.376,0.564,0.94,2.4440000000000004,1.504,0.376,4.324000000000001,3.008,7.896,5.64,0.15625,0.25,0.28,,,1.4535000000000002,0.0,,,,75.38547956747648,,0.08,0.12,0.2,0.376,0.564,79.44,3.0,1.13,52.0,1.024,4,DF,sub
USA-MLS,2526,Charlotte,Tim Ream,USA,DF,39.0,1987.0,8,8,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,tim ream||charlotte||2026,1,0,0.0,0.13,0.0,0.0,,,,,,,,,,,,,,,,,84,75.0,84.0,7,0,,0,1.75,13,9,4,0.53,2.13,0,2,4,0,0,4,2,0,USA,2,2.8,DF,False,True,False,False,,0.0,0.0,0.0,0.364,0.0,0.0,0.7466666666666666,1.4933333333333332,0.0,0.7466666666666666,0.0,0.0,0.0,,,0.9108333333333332,0.0,,,,72.33721855544633,,0.0,0.0,0.0,0.0,0.0,78.41,3.0,0.0,76.0,1.072,5,DF,sub
USA-MLS,2425,FC Cincinnati,Miles Robinson,USA,DF,27.0,1997.0,26,26,2255,25.1,1,0,1,1,0,0,3,0,0.04,0.0,0.04,0.04,0.04,miles robinson||fc cincinnati||2025,15,2,13.3,0.6,0.08,0.07,0.5,,,,,,,,,,,,,,,,87,73.7,87.0,23,0,,0,1.83,40,31,9,0.36,0.02,0,16,13,1,3,40,21,1,USA,2,2.8,DF,False,True,False,False,,0.1119999999999999,0.0,0.1119999999999999,1.68,0.2239999999999999,0.1119999999999999,2.342629482071713,4.46215139442231,0.3346613545816733,1.784860557768924,0.025,0.5,0.1195219123505976,,,1.5917330677290835,0.0,,,,76.16196077926743,,0.0,0.0,0.0,0.0,0.0,76.27,3.0,0.0,49.0,1.018,6,DF,sub
USA-MLS,2526,Colorado Rapids,Jackson Travis,USA,DF,22.0,2004.0,8,8,596,6.6,0,1,1,0,0,0,1,1,0.0,0.15,0.15,0.0,0.15,jackson travis||colorado rapids||2026,1,0,0.0,0.15,0.0,0.0,,,,,,,,,,,,,,,,,75,66.2,75.0,2,0,,0,1.25,13,9,4,0.6,0.6,0,7,9,0,12,14,6,0,USA,2,2.8,DF,False,True,False,False,,0.0,0.42,0.42,0.42,0.0,0.0,2.5454545454545454,5.939393939393939,5.090909090909091,2.9696969696969693,0.0769230769230769,0.0,0.6060606060606061,,,2.003939393939394,0.0,,,,78.47740145451141,,0.0,0.15,0.15,0.0,0.42,76.13,3.0,0.0,,1.0,7,DF,sub
USA-MLS,2425,NY Red Bulls,Dylan Nealis,USA,"DF,MF",26.0,1998.0,18,13,1093,12.1,1,0,1,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08,dylan nealis||ny red bulls||2025,10,3,30.0,0.82,0.25,0.1,0.33,,,,,,,,,,,,,,,,61,35.7,78.0,8,5,15.0,5,1.22,11,13,-2,-0.16,-0.3,0,17,20,0,28,10,18,0,USA,2,2.8,DF,False,True,False,False,,0.2239999999999999,0.0,0.2239999999999999,2.296,0.7,0.2239999999999999,4.1652892561983474,2.31404958677686,6.479338842975207,3.933884297520661,0.0909090909090909,0.33,0.2479338842975206,,,1.1370495867768593,0.0,,,,73.6079179147696,,0.08,-0.12,-0.0399999999999999,0.2239999999999999,-0.3359999999999999,75.41,3.0,0.67,,1.0,8,DF,sub
USA-MLS,2526,Seattle Sounders,Kalani Rienzi,USA,DF,24.0,2002.0,6,4,461,5.1,1,0,1,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,kalani rienzi||seattle sounders||2026,4,2,50.0,0.78,0.39,0.25,0.5,,,,,,,,,,,,,,,,77,64.0,90.0,4,2,51.0,2,2.17,9,2,7,1.37,1.02,0,4,7,1,12,7,13,0,USA,2,2.8,DF,False,True,False,False,,0.5599999999999999,0.0,0.5599999999999999,2.184,1.092,0.5599999999999999,7.137254901960785,3.843137254901961,6.588235294117647,2.196078431372549,0.1111111111111111,0.5,0.0,,,2.952490196078432,0.0,,,,83.80559020406365,,0.01,-0.13,-0.12,0.028,-0.364,75.14,2.0,0.08,,1.0,9,DF,alternate
NED-Eredivisie,2526,PSV,Sergiño Dest,USA,DF,26.0,2000.0,24,24,2014,22.4,1,4,5,1,0,0,4,0,0.04,0.18,0.22,0.04,0.22,sergiño dest||psv||2526,14,5,35.7,0.63,0.22,0.07,0.2,,,,,,,,,,,,,,,,84,74.6,84.0,18,0,,0,2.58,67,28,39,1.74,1.09,0,15,34,1,48,15,33,0,Netherlands,2,3.5,DF,False,True,False,False,,0.14,0.63,0.77,2.205,0.77,0.14,5.15625,2.34375,7.5,2.34375,0.0746268656716417,0.2,0.1785714285714285,,,2.143196428571428,0.0,,,,79.25963448151343,,0.04,-0.06,-0.0199999999999999,0.14,-0.2099999999999999,74.57,2.0,0.42,56.0,1.032,10,DF,alternate
USA-MLS,2526,SJ Earthquakes,Daniel Munie,USA,DF,26.0,2000.0,10,10,900,10.0,2,1,3,2,0,0,1,0,0.2,0.1,0.3,0.2,0.3,daniel munie||sj earthquakes||2026,8,4,50.0,0.8,0.4,0.25,0.5,,,,,,,,,,,,,,,,90,100.0,90.0,10,0,,0,2.7,25,6,19,1.9,,0,4,3,0,0,8,4,0,USA,2,2.8,DF,False,True,False,False,,0.5599999999999999,0.2799999999999999,0.84,2.24,1.12,0.5599999999999999,1.12,2.24,0.0,1.12,0.12,0.5,0.1,,,1.1029999999999998,0.0,,,,73.41665496419041,,0.11,0.01,0.12,0.3079999999999999,0.0279999999999999,74.37,3.0,0.92,,1.0,11,DF,alternate
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25.0,1999.0,28,21,1965,21.8,0,3,3,0,0,0,7,0,0.0,0.14,0.14,0.0,0.14,tyler adams||bournemouth||2425,9,2,22.2,0.41,0.09,0.0,0.0,,,,,,,,,,,,,,,,70,57.5,85.0,15,7,26.0,1,1.46,41,30,11,0.5,0.44,0,46,21,0,2,30,56,0,England,1,5.0,MF,False,False,True,False,,0.0,0.7000000000000001,0.7000000000000001,2.05,0.4499999999999999,0.0,12.844036697247706,6.8807339449541285,0.4587155963302752,10.55045871559633,0.073170731707317,0.0,0.3211009174311926,,2.3040561646900874,,0.0,,,56.39405530259567,,,0.0,0.14,0.14,0.0,0.7000000000000001,60.13,2.0,0.84,92.0,1.104,1,MF,starter
ITA-Serie A,2526,Juventus,Weston McKennie,USA,MF,28.0,1998.0,31,27,2390,26.6,5,5,10,5,0,0,5,0,0.19,0.19,0.38,0.19,0.38,weston mckennie||juventus||2526,41,15,36.6,1.54,0.56,0.12,0.33,,,,,,,,,,,,,,,,77,80.5,87.0,19,4,13.0,1,1.9,49,26,23,0.87,0.09,0,38,11,7,30,21,18,0,Italy,1,4.6,MF,False,False,True,False,,0.8739999999999999,0.8739999999999999,1.7479999999999998,7.084,2.576,0.8739999999999999,3.1127819548872178,3.631578947368421,5.1879699248120295,6.571428571428571,0.2040816326530612,0.33,0.18796992481203,,1.3356539205155746,,0.0,,,48.873738182291895,,,0.11,0.03,0.15,0.5059999999999999,0.1379999999999999,58.52,3.0,0.9,71.0,1.062,2,MF,backup
ITA-Serie A,2324,Milan,Yunus Musah,USA,MF,20.0,2002.0,30,13,1478,16.4,0,2,2,0,0,0,5,0,0.0,0.12,0.12,0.0,0.12,yunus musah||milan||2324,14,5,35.7,0.85,0.3,0.0,0.0,,,,,,,,,,,,,,,,49,43.2,83.0,7,17,23.0,3,1.9,25,23,2,0.12,-1.04,0,22,21,2,27,11,14,0,Italy,1,4.6,MF,False,False,True,False,,0.0,0.5519999999999999,0.5519999999999999,3.91,1.38,0.0,3.926829268292683,3.0853658536585367,7.573170731707317,6.170731707317073,0.08,0.0,0.3048780487804878,,0.6871756097560976,,0.0,,,43.837852968387615,,,,,,,,54.31,2.0,0.0,79.0,1.078,3,MF,sub
