league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
TUR-Super Lig,2324,Adana Demirspor,Abat Ajymbetow,KAZ,FW,27,1995,9,2,270,3.0,1,0,1,1,0,0,0,0,0.33,0.0,0.33,0.33,0.33,abat ajymbetow||adana demirspor||2324,TUR-Super Lig,2324,Adana Demirspor,Abat Ajymbetow,KAZ,FW,27,1995,3.0,1,8,2,25.0,2.67,0.67,0.13,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR-Super Lig,2324,Adana Demirspor,Abat Ajymbetow,KAZ,FW,27,1995,9,270,30,7.9,3.0,2,63,0,7,21,5,0.67,2,10,-8,-2.67,-2.7,TUR-Super Lig,2324,Adana Demirspor,Abat Ajymbetow,KAZ,FW,27,1995,3.0,0,0,0,4,5,4,0,1,1,,,0,Turkey,2,3.1
TUR-Super Lig,2324,Adana Demirspor,Abdulsamet Burak,,DF,27,1996,7,5,445,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,abdulsamet burak||adana demirspor||2324,TUR-Super Lig,2324,Adana Demirspor,Abdulsamet Burak,,DF,27,1996,4.9,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR-Super Lig,2324,Adana Demirspor,Abdulsamet Burak,,DF,27,1996,7,445,64,13.0,4.9,5,86,4,2,9,27,1.43,8,13,-5,-1.01,-0.95,TUR-Super Lig,2324,Adana Demirspor,Abdulsamet Burak,,DF,27,1996,4.9,0,0,0,9,2,0,2,4,4,,,0,Turkey,2,3.1
TUR-Super Lig,2324,Adana Demirspor,Abdurrahim Dursun,TUR,DF,24,1998,9,5,432,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,abdurrahim dursun||adana demirspor||2324,TUR-Super Lig,2324,Adana Demirspor,Abdurrahim Dursun,TUR,DF,24,1998,4.8,0,3,1,33.3,0.62,0.21,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR-Super Lig,2324,Adana Demirspor,Abdurrahim Dursun,TUR,DF,24,1998,9,432,48,12.6,4.8,5,67,0,4,25,13,1.22,9,7,2,0.42,0.69,TUR-Super Lig,2324,Adana Demirspor,Abdurrahim Dursun,TUR,DF,24,1998,4.8,0,0,0,5,3,0,11,9,7,,,0,Turkey,2,3.1
TUR-Super Lig,2324,Adana Demirspor,Andrew Gravillon,GLP,DF,25,1998,33,31,2756,30.6,2,0,2,2,0,0,4,0,0.07,0.0,0.07,0.07,0.07,andrew gravillon||adana demirspor||2324,TUR-Super Lig,2324,Adana Demirspor,Andrew Gravillon,GLP,DF,25,1998,30.6,2,27,3,11.1,0.88,0.1,0.07,0.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR-Super Lig,2324,Adana Demirspor,Andrew Gravillon,GLP,DF,25,1998,33,2756,84,80.6,30.6,31,88,27,2,14,0,1.12,42,51,-9,-0.29,-0.56,TUR-Super Lig,2324,Adana Demirspor,Andrew Gravillon,GLP,DF,25,1998,30.6,4,0,0,23,25,1,6,32,26,,,0,Turkey,2,3.1
TUR-Super Lig,2324,Adana Demirspor,Arber Zeneli,KVX,MF,28,1995,12,2,361,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,arber zeneli||adana demirspor||2324,TUR-Super Lig,2324,Adana Demirspor,Arber Zeneli,KVX,MF,28,1995,4.0,0,5,1,20.0,1.25,0.25,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR-Super Lig,2324,Adana Demirspor,Arber Zeneli,KVX,MF,28,1995,12,361,30,10.6,4.0,2,54,0,10,25,2,1.58,6,6,0,0.0,0.21,TUR-Super Lig,2324,Adana Demirspor,Arber Zeneli,KVX,MF,28,1995,4.0,0,0,0,2,5,3,7,2,2,,,0,Turkey,2,3.1
TUR-Super Lig,2324,Adana Demirspor,Babajide Akintola,NGA,MF,27,1996,12,9,906,10.1,2,1,3,2,0,0,2,0,0.2,0.1,0.3,0.2,0.3,babajide akintola||adana demirspor||2324,TUR-Super Lig,2324,Adana Demirspor,Babajide Akintola,NGA,MF,27,1996,10.1,2,17,4,23.5,1.69,0.4,0.12,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR-Super Lig,2324,Adana Demirspor,Babajide Akintola,NGA,MF,27,1996,12,906,76,26.5,10.1,9,87,8,3,40,1,1.08,10,11,-1,-0.1,0.12,TUR-Super Lig,2324,Adana Demirspor,Babajide Akintola,NGA,MF,27,1996,10.1,2,0,0,17,15,8,10,3,6,,,0,Turkey,2,3.1
TUR-Super Lig,2324,Adana Demirspor,Badou Ndiaye,SEN,MF,32,1990,9,7,601,6.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,badou ndiaye||adana demirspor||2324,TUR-Super Lig,2324,Adana Demirspor,Badou Ndiaye,SEN,MF,32,1990,6.7,0,7,0,0.0,1.05,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR-Super Lig,2324,Adana Demirspor,Badou Ndiaye,SEN,MF,32,1990,9,601,67,17.6,6.7,7,78,4,2,28,1,1.22,9,11,-2,-0.3,-0.14,TUR-Super Lig,2324,Adana Demirspor,Badou Ndiaye,SEN,MF,32,1990,6.7,1,0,0,11,21,0,1,8,9,,,0,Turkey,2,3.1
TUR-Super Lig,2324,Adana Demirspor,Benjamin Stambouli,FRA,MF,32,1990,20,17,1376,15.3,1,0,1,1,0,0,3,1,0.07,0.0,0.07,0.07,0.07,benjamin stambouli||adana demirspor||2324,TUR-Super Lig,2324,Adana Demirspor,Benjamin Stambouli,FRA,MF,32,1990,15.3,1,10,4,40.0,0.65,0.26,0.1,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR-Super Lig,2324,Adana Demirspor,Benjamin Stambouli,FRA,MF,32,1990,20,1376,69,40.2,15.3,17,76,7,3,26,0,1.35,18,12,6,0.39,0.96,TUR-Super Lig,2324,Adana Demirspor,Benjamin Stambouli,FRA,MF,32,1990,15.3,3,1,1,13,20,1,9,15,13,,,0,Turkey,2,3.1
TUR-Super Lig,2324,Adana Demirspor,Breyton Fougeu,FRA,FW,19,2004,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,breyton fougeu||adana demirspor||2324,TUR-Super Lig,2324,Adana Demirspor,Breyton Fougeu,FRA,FW,19,2004,0.1,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR-Super Lig,2324,Adana Demirspor,Breyton Fougeu,FRA,FW,19,2004,1,11,11,0.3,0.1,0,,0,1,11,3,3.0,0,0,0,0.0,0.18,TUR-Super Lig,2324,Adana Demirspor,Breyton Fougeu,FRA,FW,19,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Turkey,2,3.1
TUR-Super Lig,2324,Adana Demirspor,Burhan Ersoy,,MF,20,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,burhan ersoy||adana demirspor||2324,TUR-Super Lig,2324,Adana Demirspor,Burhan Ersoy,,MF,20,2003,0.0,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR-Super Lig,2324,Adana Demirspor,Burhan Ersoy,,MF,20,2003,1,2,2,0.1,0.0,0,,0,1,2,8,0.0,0,1,-1,-45.0,-44.84,TUR-Super Lig,2324,Adana Demirspor,Burhan Ersoy,,MF,20,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,Turkey,2,3.1
