league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
INT-Champions League,2324,Antwerp,Alhassan Yusuf,NGA,MF,23,2000,6,4,380,4.2,1,1,2,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,alhassan yusuf||antwerp||2324,INT-Champions League,2324,Antwerp,Alhassan Yusuf,NGA,MF,23,2000,4.2,1,3,2,66.7,0.71,0.47,0.33,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2324,Antwerp,Alhassan Yusuf,NGA,MF,23,2000,6,380,63,70.4,4.2,4,86,3,2,19,0,0.86,4,10,-6,-1.42,1.39,INT-Champions League,2324,Antwerp,Alhassan Yusuf,NGA,MF,23,2000,4.2,1,0,0,10,3,0,6,5,6,,,0,Europe,1,5.5
INT-Champions League,2324,Antwerp,Anthony Valencia,ECU,MF,20,2003,3,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,anthony valencia||antwerp||2324,INT-Champions League,2324,Antwerp,Anthony Valencia,ECU,MF,20,2003,0.4,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2324,Antwerp,Anthony Valencia,ECU,MF,20,2003,3,38,13,7.0,0.4,0,,0,3,13,0,0.0,0,2,-2,-4.74,-3.12,INT-Champions League,2324,Antwerp,Anthony Valencia,ECU,MF,20,2003,0.4,0,0,0,0,0,0,2,0,0,,,0,Europe,1,5.5
INT-Champions League,2324,Antwerp,Arbnor Muja,ALB,"MF,FW",24,1998,5,4,357,4.0,1,0,1,1,0,0,3,1,0.25,0.0,0.25,0.25,0.25,arbnor muja||antwerp||2324,INT-Champions League,2324,Antwerp,Arbnor Muja,ALB,"MF,FW",24,1998,4.0,1,11,6,54.5,2.77,1.51,0.09,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2324,Antwerp,Arbnor Muja,ALB,"MF,FW",24,1998,5,357,71,66.1,4.0,4,84,0,1,22,0,0.86,3,13,-10,-2.52,-2.03,INT-Champions League,2324,Antwerp,Arbnor Muja,ALB,"MF,FW",24,1998,4.0,3,1,1,3,0,3,13,0,2,,,0,Europe,1,5.5
INT-Champions League,2324,Antwerp,Arthur Vermeeren,BEL,MF,18,2005,6,6,540,6.0,1,2,3,1,0,0,1,0,0.17,0.33,0.5,0.17,0.5,arthur vermeeren||antwerp||2324,INT-Champions League,2324,Antwerp,Arthur Vermeeren,BEL,MF,18,2005,6.0,1,5,2,40.0,0.83,0.33,0.2,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2324,Antwerp,Arthur Vermeeren,BEL,MF,18,2005,6,540,90,100.0,6.0,6,90,6,0,,0,1.13,6,17,-11,-1.83,,INT-Champions League,2324,Antwerp,Arthur Vermeeren,BEL,MF,18,2005,6.0,1,0,0,4,6,0,0,7,8,,,0,Europe,1,5.5
INT-Champions League,2324,Antwerp,Chidera Ejuke,NGA,MF,25,1998,4,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,chidera ejuke||antwerp||2324,INT-Champions League,2324,Antwerp,Chidera Ejuke,NGA,MF,25,1998,1.7,0,3,0,0.0,1.78,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2324,Antwerp,Chidera Ejuke,NGA,MF,25,1998,4,152,38,28.1,1.7,1,79,0,3,24,2,0.75,2,3,-1,-0.59,1.73,INT-Champions League,2324,Antwerp,Chidera Ejuke,NGA,MF,25,1998,1.7,0,0,0,0,5,0,7,3,1,,,0,Europe,1,5.5
INT-Champions League,2324,Antwerp,George Ilenikhena,NGA,FW,16,2006,6,1,157,1.7,1,0,1,1,0,0,0,0,0.57,0.0,0.57,0.57,0.57,george ilenikhena||antwerp||2324,INT-Champions League,2324,Antwerp,George Ilenikhena,NGA,FW,16,2006,1.7,1,2,1,50.0,1.15,0.57,0.5,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2324,Antwerp,George Ilenikhena,NGA,FW,16,2006,6,157,26,29.1,1.7,1,74,0,5,17,0,0.5,1,4,-3,-1.72,0.16,INT-Champions League,2324,Antwerp,George Ilenikhena,NGA,FW,16,2006,1.7,0,0,0,0,2,0,0,0,0,,,0,Europe,1,5.5
INT-Champions League,2324,Antwerp,Gyrano Kerk,SUR,MF,27,1995,5,3,206,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,gyrano kerk||antwerp||2324,INT-Champions League,2324,Antwerp,Gyrano Kerk,SUR,MF,27,1995,2.3,0,3,1,33.3,1.31,0.44,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2324,Antwerp,Gyrano Kerk,SUR,MF,27,1995,5,206,41,38.1,2.3,3,63,0,2,9,1,1.0,2,3,-1,-0.44,2.26,INT-Champions League,2324,Antwerp,Gyrano Kerk,SUR,MF,27,1995,2.3,1,0,0,4,1,2,5,0,3,,,0,Europe,1,5.5
INT-Champions League,2324,Antwerp,Jean Butez,FRA,GK,28,1995,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,jean butez||antwerp||2324,INT-Champions League,2324,Antwerp,Jean Butez,FRA,GK,28,1995,5.0,0,0,0,,0.0,0.0,,,0,0,INT-Champions League,2324,Antwerp,Jean Butez,FRA,GK,28,1995,5,5,450,5.0,15,3.0,31,16,51.6,1,0,4,0,0.0,0,0,0,0,,INT-Champions League,2324,Antwerp,Jean Butez,FRA,GK,28,1995,5,450,90,83.3,5.0,5,90,5,0,,0,1.29,6,15,-9,-1.8,0.2,INT-Champions League,2324,Antwerp,Jean Butez,FRA,GK,28,1995,5.0,0,0,0,0,0,0,0,0,0,,,0,Europe,1,5.5
INT-Champions League,2324,Antwerp,Jelle Bataille,BEL,DF,24,1999,6,4,410,4.6,0,1,1,0,0,0,1,0,0.0,0.22,0.22,0.0,0.22,jelle bataille||antwerp||2324,INT-Champions League,2324,Antwerp,Jelle Bataille,BEL,DF,24,1999,4.6,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2324,Antwerp,Jelle Bataille,BEL,DF,24,1999,6,410,68,75.9,4.6,4,86,3,2,34,0,0.86,4,15,-11,-2.41,-2.41,INT-Champions League,2324,Antwerp,Jelle Bataille,BEL,DF,24,1999,4.6,1,0,0,1,3,0,9,5,6,,,1,Europe,1,5.5
INT-Champions League,2324,Antwerp,Jurgen Ekkelenkamp,NED,MF,23,2000,4,4,274,3.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,jurgen ekkelenkamp||antwerp||2324,INT-Champions League,2324,Antwerp,Jurgen Ekkelenkamp,NED,MF,23,2000,3.0,0,1,0,0.0,0.33,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2324,Antwerp,Jurgen Ekkelenkamp,NED,MF,23,2000,4,274,69,50.7,3.0,4,69,1,0,,0,1.0,3,11,-8,-2.63,-1.61,INT-Champions League,2324,Antwerp,Jurgen Ekkelenkamp,NED,MF,23,2000,3.0,0,1,0,1,2,0,1,1,0,,,0,Europe,1,5.5
